Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
180,Marquise Goodwin,SFO,28,WR,11,8,43,23,395,4,19,269,11.7,126,5.5,13.4,1,23,3,7,4,77.2
181,Tim Patrick,DEN,25,WR,16,4,41,23,315,1,15,203,8.8,112,4.9,10.2,2,11.5,4,9.8,1,78.8
182,Damien Williams,KAN,26,RB,16,3,24,23,160,2,9,-48,-2.1,208,9,-1.8,1,23,0,0,0,122.2
183,DeAndre Carter,2TM,25,WR,14,4,25,22,216,0,10,66,3,150,6.8,3.4,1,22,0,0,0,102.7
184,Corey Clement,PHI,24,RB,11,0,25,22,192,0,10,-72,-3.3,264,12,-1.2,4,5.5,0,0,0,98.7
185,Jason Croom,BUF,24,TE,15,3,35,22,259,1,10,122,5.5,137,6.2,7.6,2,11,1,2.9,2,71
186,Leonard Fournette,JAX,23,RB,8,8,26,22,185,1,10,-28,-1.3,213,9.7,-0.5,0,,2,7.7,0,109.1
187,Mike Gesicki,MIA,23,TE,16,7,32,22,202,0,9,106,4.8,96,4.4,8.6,1,22,0,0,1,72.7
188,Latavius Murray,MIN,28,RB,16,6,26,22,141,0,7,26,1.2,115,5.2,1.1,3,7.3,2,7.7,1,73.2
189,Demarcus Robinson,KAN,24,WR,16,5,33,22,288,4,12,172,7.8,116,5.3,11.7,0,,0,0,1,121
190,Charles Clay,BUF,29,TE,13,12,36,21,184,0,11,113,5.4,71,3.4,8.1,0,,1,2.8,1,60.4
191,Isaiah Crowell,NYJ,25,RB,13,6,28,21,152,0,7,-21,-1,173,8.2,-0.3,2,10.5,2,7.1,0,87.2
192,Jakeem Grant,MIA,26,WR,10,2,34,21,268,2,13,128,6.1,140,6.7,8.1,1,21,1,2.9,1,93.7
193,Mark Ingram,NOR,29,RB,12,6,27,21,170,1,5,15,0.7,155,7.4,0.3,1,21,0,0,1,89.8
194,Cordarrelle Patterson,NWE,27,WR,15,5,28,21,247,3,11,85,4,162,7.7,6.2,0,,1,3.6,0,137.1
195,John Ross,CIN,23,WR,13,10,58,21,210,7,13,151,7.2,59,2.8,13.8,1,21,7,12.1,5,51
196,Equanimeous St. Brown,GNB,22,WR,12,7,36,21,328,0,13,208,9.9,120,5.7,14,0,,2,5.6,0,88.7
197,Levine Toilolo,DET,27,TE,16,10,24,21,263,1,15,153,7.3,110,5.2,7.5,2,10.5,0,0,0,126.2
198,Geronimo Allison,GNB,24,WR,5,4,30,20,303,2,11,197,9.9,106,5.3,12.9,1,20,3,10,0,121.9
199,Peyton Barber,TAM,24,RB,16,16,29,20,92,1,4,28,1.4,64,3.2,1.4,1,20,2,6.9,0,84.3
200,Alfred Blue,HOU,27,RB,16,2,27,20,154,0,4,47,2.4,107,5.4,2.7,2,10,1,3.7,0,87.6
201,Chris Carson,SEA,24,RB,14,14,24,20,163,0,7,0,0,163,8.2,0,2,10,1,4.2,0,95
202,Nick Chubb,CLE,23,RB,16,9,29,20,149,2,5,-32,-1.6,181,9.1,1.6,0,,3,10.3,0,104
203,Chase Edmonds,ARI,22,RB,16,0,23,20,103,0,5,-18,-0.9,121,6.1,-0.5,3,6.7,1,4.3,0,85.3
204,Alex Erickson,CIN,26,WR,16,6,29,20,167,0,7,92,4.6,75,3.8,8.3,0,,1,3.4,0,83.5
205,Jordan Howard,CHI,24,RB,16,15,26,20,145,0,7,18,0.9,127,6.4,0.8,1,20,0,0,0,89.4
206,Allen Hurns,DAL,27,WR,16,7,35,20,295,2,11,217,10.9,78,3.9,11.4,0,,2,5.7,0,103.9
207,Jordan Matthews,PHI,26,WR,14,3,28,20,300,2,14,217,10.9,83,4.2,10.2,2,10,1,3.6,0,130.1
208,Adrian Peterson,WAS,33,RB,16,16,26,20,208,1,9,7,0.4,201,10.1,0.3,7,2.9,3,11.5,0,112.3
209,Paul Richardson,WAS,26,WR,7,4,35,20,262,2,12,216,10.8,46,2.3,12.3,1,20,0,0,0,99.9
210,Jonnu Smith,TEN,23,TE,13,12,30,20,258,3,10,78,3.9,180,9,5.2,4,5,3,10,2,99
