Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
222,Isaiah McKenzie,2TM,23,WR,8,1,30,18,179,0,10,103,5.7,76,4.2,8.2,3,6,1,3.3,1,63.1
223,Jordan Akins,HOU,26,TE,16,6,25,17,225,0,11,102,6,123,7.2,6.9,3,5.7,0,0,0,96.2
224,Trenton Cannon,NYJ,24,RB,16,0,25,17,144,0,4,26,1.5,118,6.9,6.3,1,17,3,12,1,66.1
225,Ted Ginn Jr.,NOR,33,WR,5,3,30,17,209,2,10,161,9.5,48,2.8,16.6,1,17,2,6.7,1,86.7
226,Marlon Mack,IND,22,RB,12,10,26,17,103,1,3,-23,-1.4,126,7.4,-1.1,0,,3,11.5,1,69.9
227,Aldrick Robinson,MIN,30,WR,14,0,35,17,231,5,12,189,11.1,42,2.5,17.2,0,,2,5.7,1,97.7
228,Torrey Smith,CAR,29,WR,11,6,31,17,190,2,12,142,8.4,48,2.8,13.5,2,8.5,1,3.2,0,94.8
229,Deonte Thompson,2TM,29,WR,13,6,30,17,161,0,10,123,7.2,38,2.2,12.6,1,17,2,6.7,2,43.9
230,Chad Williams,ARI,24,WR,10,7,46,17,171,1,9,155,9.1,16,0.9,12.7,0,,3,6.5,2,37.5
231,Kapri Bibbs,2TM,25,RB,12,0,23,16,115,1,4,7,0.4,108,6.8,1.7,0,,3,13,2,59.1
232,Bennie Fowler,NYG,27,WR,10,5,27,16,199,1,11,123,7.7,76,4.8,9.7,3,5.3,2,7.4,2,63.7
233,Josh Hill,NOR,28,TE,16,11,24,16,185,1,11,15,0.9,170,10.6,3,4,4,2,8.3,0,103.6
234,Breshad Perriman,CLE,25,WR,10,2,25,16,340,2,13,265,16.6,75,4.7,18.4,0,,0,0,0,134.2
235,Terrelle Pryor,2TM,29,WR,8,1,30,16,252,2,11,190,11.9,62,3.9,12.4,0,,1,3.3,2,76
236,James Washington,PIT,22,WR,14,6,38,16,217,1,11,164,10.3,53,3.3,16.8,1,16,2,5.3,0,69.7
237,Jordan Wilkins,IND,24,RB,16,3,17,16,85,0,2,-20,-1.3,105,6.6,-1.5,2,8,0,0,0,87.5
238,Maxx Williams,BAL,24,TE,13,6,17,16,143,1,7,46,2.9,97,6.1,2.7,1,16,0,0,0,121.3
239,Marcell Ateman,OAK,24,WR,7,6,31,15,154,1,7,123,8.2,31,2.1,10.9,0,,2,6.5,0,73.9
240,Alex Collins,BAL,24,RB,10,10,21,15,105,1,6,8,0.5,97,6.5,1.3,4,3.8,2,9.5,0,98.3
241,Tyler Eifert,CIN,28,TE,4,2,19,15,179,1,10,125,8.3,54,3.6,9.2,1,15,1,5.3,1,101.5
242,Derrick Henry,TEN,24,RB,16,12,18,15,99,0,4,-16,-1.1,115,7.7,-0.7,3,5,0,0,0,89.6
243,Justin Jackson,LAC,22,RB,13,1,19,15,135,0,5,-17,-1.1,152,10.1,-1,1,15,1,5.3,0,96.3
244,Marshawn Lynch,OAK,32,RB,6,6,20,15,84,0,6,-6,-0.4,90,6,-0.3,1,15,4,20,0,82.1
245,Darren Sproles,PHI,35,RB,6,2,23,15,160,2,6,33,2.2,127,8.5,1.2,2,7.5,2,8.7,0,114.4
246,Luke Stocker,TEN,30,TE,16,11,21,15,165,2,10,101,6.7,64,4.3,7.8,0,,1,4.8,0,126.1
247,Josh Bellamy,CHI,29,WR,16,2,25,14,117,1,8,71,5.1,46,3.3,11.8,1,14,1,4,2,48.2
248,Jaron Brown,SEA,28,WR,16,2,19,14,166,5,9,120,8.6,46,3.3,12.8,0,,0,0,1,117.5
249,Rex Burkhead,NWE,28,RB,8,4,20,14,131,1,4,10,0.7,121,8.6,2.2,0,,0,0,1,83.5
250,DJ Chark,JAX,22,WR,11,0,32,14,174,0,6,129,9.2,45,3.2,9.8,0,,2,6.3,1,48.2
251,Royce Freeman,DEN,22,RB,14,8,20,14,72,0,2,13,0.9,59,4.2,0.8,1,14,2,10,0,75.4
252,Wayne Gallman,NYG,24,RB,15,1,22,14,89,0,5,8,0.6,81,5.8,1.3,3,4.7,2,9.1,0,72
253,Justin Hardy,ATL,27,WR,16,0,22,14,133,2,8,62,4.4,71,5.1,6.3,1,14,1,4.5,1,91.7
254,Jordan Leggett,NYJ,23,TE,15,4,24,14,114,1,6,65,4.6,49,3.5,6.7,0,,0,0,0,84.4
255,Cody Core,CIN,24,WR,14,3,28,13,160,1,7,124,9.5,36,2.8,12.5,1,13,2,7.1,1,61.6
256,Andre Holmes,2TM,30,WR,15,3,24,13,162,0,8,112,8.6,50,3.8,13,1,13,2,8.3,2,40.6
257,Hayden Hurst,BAL,25,TE,12,0,23,13,163,1,8,89,6.8,74,5.7,7.2,1,13,0,0,0,93.2
258,Chris Ivory,BUF,30,RB,13,1,21,13,205,0,7,1,0.1,204,15.7,-0.3,1,13,4,19,0,94.3
259,Keith Kirkwood,NOR,24,WR,8,1,21,13,209,2,10,160,12.3,49,3.8,13.4,1,13,2,9.5,1,107
260,Damion Ratley,CLE,23,WR,13,3,20,13,144,0,5,93,7.2,51,3.9,11.4,0,,2,10,1,65.4
261,Luke Willson,DET,28,TE,14,8,19,13,87,0,5,29,2.2,58,4.5,3.7,2,6.5,2,10.5,2,38.6
262,Dan Arnold,NOR,23,WR,10,1,19,12,150,1,9,120,10,30,2.5,10.8,0,,1,5.3,1,83.2
263,Travis Benjamin,LAC,29,WR,12,3,24,12,186,1,9,124,10.3,62,5.2,19.8,0,,3,12.5,2,55.2
264,James Develin,NWE,30,FB,16,8,17,12,61,0,3,25,2.1,36,3,2.4,0,,0,0,1,51.3
265,Ed Dickson,SEA,31,TE,10,1,13,12,143,3,6,65,5.4,78,6.5,5.5,1,12,0,0,0,152.1
266,Frank Gore,MIA,35,RB,14,14,16,12,124,1,8,9,0.8,115,9.6,1.3,5,2.4,0,0,0,117.7
267,Demetrius Harris,KAN,27,TE,15,3,25,12,164,3,9,89,7.4,75,6.3,7.7,1,12,4,16,1,92.3
268,Brandon LaFell,OAK,32,WR,6,5,16,12,135,2,9,82,6.8,53,4.4,8.3,0,,0,0,0,139.3
269,Eli Rogers,PIT,26,WR,3,3,14,12,79,0,5,39,3.3,40,3.3,4.4,1,12,0,0,0,90.2
270,Dalton Schultz,DAL,22,TE,11,7,17,12,116,0,6,50,4.2,66,5.5,4.1,2,6,1,5.9,0,89.3
271,Logan Thomas,BUF,27,TE,12,3,17,12,77,0,3,43,3.6,34,2.8,7.9,0,,1,5.9,0,79.8
272,Jeff Wilson,SFO,23,RB,6,2,15,12,98,0,5,1,0.1,97,8.1,0.5,1,12,1,6.7,1,66.1
273,Darren Fells,CLE,32,TE,16,11,12,11,117,3,6,51,4.6,66,6,4.8,1,11,0,0,0,146.9
274,C.J. Ham,MIN,25,RB,15,2,15,11,85,0,4,1,0.1,84,7.6,-0.4,2,5.5,2,13.3,0,86.8
275,Darius Jennings,TEN,26,WR,16,0,15,11,101,0,2,64,5.8,37,3.4,10.2,0,,1,6.7,1,63.5
276,Andy Jones,DET,24,WR,8,3,24,11,80,1,6,54,4.9,26,2.4,9.1,2,5.5,1,4.2,0,68.1
277,Cody Latimer,NYG,26,WR,6,2,16,11,190,1,6,167,15.2,23,2.1,19.9,0,,0,0,0,129.7
278,Brandon Marshall,SEA,34,WR,7,2,23,11,136,1,7,113,10.3,23,2.1,11.2,0,,3,13,1,63
279,Marcus Murphy,BUF,27,RB,11,1,19,11,26,0,2,-11,-1,37,3.4,1.4,2,5.5,3,15.8,1,40.9
280,Bilal Powell,NYJ,30,RB,7,7,18,11,110,1,3,26,2.4,84,7.6,4.9,1,11,0,0,1,73.8
281,Brandon Powell,DET,23,WR,6,1,17,11,129,0,6,14,1.3,115,10.5,3.4,1,11,0,0,0,87.6
282,Austin Seferian-Jenkins,JAX,26,TE,5,5,19,11,90,1,6,54,4.9,36,3.3,5,0,,0,0,1,65.7
283,LeGarrette Blount,DET,32,RB,16,8,15,10,67,0,4,-20,-2,87,8.7,-1.3,1,10,2,13.3,0,76.2
284,Deontay Burnett,NYJ,21,WR,5,1,15,10,143,0,7,118,11.8,25,2.5,10.8,1,10,1,6.7,1,69.6
285,Michael Floyd,WAS,29,WR,13,3,24,10,100,1,5,71,7.1,29,2.9,14.3,1,10,4,16.7,1,50.7
286,Marvin Hall,ATL,25,WR,16,0,19,10,149,1,5,92,9.2,57,5.7,10.9,0,,0,0,0,96.2
287,Carlos Hyde,2TM,28,RB,14,7,16,10,33,0,0,-26,-2.6,59,5.9,-0.8,0,,1,6.3,0,66.7
288,Niles Paul,JAX,29,WR,6,1,13,10,98,0,5,66,6.6,32,3.2,8.2,0,,0,0,0,97.6
289,Andre Roberts*+,NYJ,30,WR,16,1,17,10,79,1,4,62,6.2,17,1.7,9,1,10,2,11.8,2,50.5
290,Russell Shepard,NYG,28,WR,12,0,19,10,188,2,7,172,17.2,16,1.6,16.8,0,,1,5.3,2,82.7
291,Lee Smith,OAK,31,TE,16,4,11,10,73,3,5,18,1.8,55,5.5,1.8,0,,0,0,0,133.9
292,Kalen Ballage,MIA,23,RB,12,0,11,9,56,0,2,-20,-2.2,76,8.4,-1.3,0,,1,9.1,1,50
293,Austin Carr,NOR,25,WR,14,2,14,9,97,2,5,75,8.3,22,2.4,9.4,0,,0,0,0,124.1
294,Corey Grant,JAX,27,RB,5,1,12,9,67,0,5,-16,-1.8,83,9.2,-0.3,3,3,0,0,0,87.8
295,Jermaine Gresham,ARI,30,TE,13,11,12,9,94,0,6,19,2.1,75,8.3,2,1,9,2,16.7,0,97.2
296,Dontrell Hilliard,CLE,23,RB,11,0,10,9,105,0,4,15,1.7,90,10,1.9,3,3,0,0,0,110.4
297,Richie James,SFO,23,WR,13,2,14,9,130,1,4,29,3.2,101,11.2,4,3,3,2,14.3,2,78.6
298,Cameron Meredith,NOR,26,WR,6,1,10,9,114,1,4,76,8.4,38,4.2,9.2,0,,0,0,0,147.5
299,Logan Paulsen,ATL,31,TE,15,10,9,9,91,1,6,33,3.7,58,6.4,3.7,0,,0,0,0,145.8
300,Rashaad Penny,SEA,22,RB,14,0,12,9,75,0,3,2,0.2,73,8.1,0.5,1,9,2,16.7,1,55.9
301,MyCole Pruitt,TEN,26,TE,15,1,11,9,102,1,6,74,8.2,28,3.1,9.6,0,,0,0,0,135.6
302,Trey Quinn,WAS,23,WR,3,2,10,9,75,1,5,58,6.4,17,1.9,7.3,0,,0,0,1,91.7
303,Michael Roberts,DET,24,TE,8,2,20,9,100,3,5,77,8.6,23,2.6,6.3,0,,3,15,2,60.4
304,Scott Simonson,NYG,26,TE,16,4,14,9,86,1,6,55,6.1,31,3.4,4.7,0,,0,0,1,75.3
305,Rod Smith,DAL,26,RB,16,1,12,9,60,0,1,3,0.3,57,6.3,-0.4,1,9,0,0,0,85.4
306,Tavon Austin,DAL,28,WR,7,0,13,8,140,2,5,103,12.9,37,4.6,16,0,,2,15.4,1,105.8
307,Cameron Batson,TEN,23,WR,11,2,11,8,82,0,5,28,3.5,54,6.8,6.6,0,,0,0,1,55.9
308,Blake Bell,JAX,27,TE,10,4,11,8,67,0,3,29,3.6,38,4.8,5.3,1,8,0,0,0,88.1
309,Jake Butt,DEN,23,TE,3,3,13,8,85,0,4,41,5.1,44,5.5,7.5,1,8,0,0,2,41
310,Will Dissly,SEA,22,TE,4,4,14,8,156,2,5,63,7.9,93,11.6,10.1,2,4,0,0,0,135.7
311,Andy Janovich,DEN,25,FB,16,7,10,8,112,1,5,49,6.1,63,7.9,5.1,1,8,0,0,0,146.7
312,Jake Kumerow,GNB,26,WR,5,2,11,8,103,1,4,80,10,23,2.9,10.1,0,,0,0,0,132
313,Taquan Mizzell,CHI,25,RB,9,1,10,8,78,1,4,44,5.5,34,4.3,5,0,,0,0,0,132.5
314,Alfred Morris,SFO,30,RB,12,1,13,8,73,0,5,6,0.8,67,8.4,-0.3,2,4,0,0,1,44.7
315,Nick O'Leary,MIA,26,TE,12,7,10,8,86,1,6,21,2.6,65,8.1,3.9,0,,0,0,0,135.8
316,Elijhaa Penny,NYG,25,RB,14,3,9,8,50,0,1,-1,-0.1,51,6.4,0.2,1,8,0,0,0,89.8
317,Anthony Sherman*,KAN,30,RB,16,1,9,8,96,1,5,40,5,56,7,4.9,1,8,1,11.1,0,148.1
318,Erik Swoope,IND,26,TE,7,2,10,8,87,3,5,70,8.8,17,2.1,9.4,0,,1,10,0,142.5
319,Eric Tomlinson,NYJ,26,TE,15,12,14,8,72,0,3,-17,-2.1,89,11.1,3.2,2,4,2,14.3,1,41.4
320,Josh Adams,PHI,22,RB,14,5,13,7,58,0,3,-7,-1,65,9.3,-0.7,0,,2,15.4,0,65.5
321,Mo Alie-Cox,IND,25,TE,9,1,13,7,133,2,6,83,11.9,50,7.1,11.7,1,7,1,7.7,1,97.1
322,Antony Auclair,TAM,25,TE,16,10,8,7,48,0,1,40,5.7,8,1.1,5,0,,0,0,0,91.7
323,Derek Carrier,OAK,28,TE,16,2,12,7,67,1,3,51,7.3,16,2.3,8.8,0,,0,0,1,67
324,Ronald Jones II,TAM,21,RB,9,0,9,7,33,0,2,-9,-1.3,42,6,-1.6,1,7,2,22.2,0,81.9
325,T.J. Logan,ARI,24,FB,10,0,7,7,37,0,1,-2,-0.3,39,5.6,-0.3,0,,0,0,0,88.7
326,Sony Michel,NWE,23,RB,13,8,11,7,50,0,3,0,0,50,7.1,1,0,,2,18.2,0,74.1
327,JJ Nelson,ARI,26,WR,14,2,19,7,64,0,4,40,5.7,24,3.4,18.8,0,,0,0,2,7.2
328,Zach Zenner,DET,27,RB,8,1,10,7,56,0,3,-3,-0.4,59,8.4,0.6,0,,2,20,0,83.7
329,Kamar Aiken,PHI,29,WR,5,1,7,6,53,0,2,42,7,11,1.8,6.7,0,,0,0,0,98.2
330,Tommy Bohanon,JAX,28,FB,16,6,9,6,41,0,1,6,1,35,5.8,3.6,1,6,0,0,0,76.6
331,Brice Butler,2TM,28,WR,8,1,10,6,60,1,4,59,9.8,1,0.2,13.8,0,,0,0,0,110.4
332,Kenneth Dixon,BAL,24,RB,6,0,7,6,51,0,2,-3,-0.5,54,9,-0.9,1,6,0,0,0,97
333,Russell Gage,ATL,22,WR,15,0,10,6,63,0,2,44,7.3,19,3.2,10.5,0,,2,20,0,78.3
334,Rashad Greene,JAX,26,WR,8,1,8,6,60,0,3,45,7.5,15,2.5,7.5,0,,1,12.5,0,95.8
335,Xavier Grimble,PIT,26,TE,16,2,8,6,86,0,4,30,5,56,9.3,7,0,,0,0,0,109.4
336,David Grinnage,JAX,24,TE,4,2,8,6,61,0,2,43,7.2,18,3,7.9,0,,0,0,0,96.4
337,Dwayne Harris,OAK,31,WR,15,1,6,6,40,0,1,-7,-1.2,47,7.8,-1.2,1,6,0,0,0,94.4
338,Marcus Johnson,IND,24,WR,5,0,8,6,102,1,5,74,12.3,28,4.7,13.8,0,,1,12.5,0,156.2
339,Raheem Mostert,SFO,26,RB,9,0,7,6,25,0,1,-19,-3.2,44,7.3,-0.6,0,,0,0,0,81.5
340,Durham Smythe,MIA,23,TE,15,2,11,6,50,0,2,43,7.2,7,1.2,4.3,0,,0,0,1,28.6
341,Neal Sterling,NYJ,26,WR,5,4,8,6,47,0,2,18,3,29,4.8,3.9,1,6,0,0,0,89.1
342,Darren Waller,OAK,26,WR,4,0,6,6,75,0,4,19,3.2,56,9.3,3.2,1,6,0,0,0,118.7
343,Jay Ajayi,PHI,25,RB,4,3,6,5,20,0,1,-10,-2,30,6,0,1,5,0,0,0,80.6
344,C.J. Anderson,2TM,27,RB,11,3,9,5,41,1,2,-4,-0.8,45,9,-0.3,1,5,2,22.2,1,64.8
345,Malcolm Brown,LAR,25,RB,12,0,7,5,52,1,2,13,2.6,39,7.8,2.6,0,,0,0,0,132.1
346,Noah Brown,DAL,22,WR,8,2,8,5,54,0,2,34,6.8,20,4,9.4,0,,0,0,0,82.3
347,Garrett Celek,SFO,30,TE,15,1,8,5,90,2,5,47,9.4,43,8.6,11.3,0,,1,12.5,1,101
348,Corey Coleman,NYG,24,WR,8,1,8,5,71,0,5,63,12.6,8,1.6,12.5,0,,1,12.5,0,91.1
349,Tyler Conklin,MIN,23,TE,16,3,7,5,77,0,3,46,9.2,31,6.2,8.4,0,,1,14.3,0,107.4
350,Seth Devalve,CLE,25,TE,13,4,7,5,74,1,3,59,11.8,15,3,12.4,0,,1,14.3,1,105.7
351,Devonta Freeman,ATL,26,RB,2,2,7,5,23,0,0,3,0.6,20,4,0.1,1,5,1,14.3,0,75.3
352,Zach Line,NOR,28,RB,16,6,10,5,14,2,2,7,1.4,7,1.4,2.5,0,,3,30,0,95.8
353,Rishard Matthews,2TM,29,WR,8,0,9,5,24,0,1,19,3.8,5,1,5,0,,1,11.1,0,60.9
354,Ray-Ray McCloud,BUF,22,WR,10,1,6,5,36,0,2,8,1.6,28,5.6,2.2,0,,0,0,0,91.7
355,David Morgan,MIN,25,TE,11,6,6,5,36,0,2,9,1.8,27,5.4,2,0,,0,0,0,91.7
356,Brian Parker,DEN,26,TE,13,1,10,5,33,0,2,4,0.8,29,5.8,4.3,1,5,1,10,1,17.9
357,Joshua Perkins,PHI,25,TE,9,1,11,5,67,0,4,51,10.2,16,3.2,10.7,0,,2,18.2,1,27.5
358,Eric Saubert,ATL,24,TE,16,1,9,5,48,0,2,35,7,13,2.6,5.3,0,,3,33.3,0,70.6
359,Adam Shaheen,CHI,24,TE,6,4,6,5,48,1,3,35,7,13,2.6,9.8,0,,0,0,0,139.6
360,Keith Smith,OAK,26,DB,16,3,6,5,23,0,3,5,1,18,3.6,3.8,0,,1,16.7,0,82.6
361,Vyncint Smith,HOU,22,WR,7,1,10,5,91,1,3,85,17,6,1.2,19.3,0,,1,10,1,75.4
362,Jeremy Sprinkle,WAS,24,TE,16,9,9,5,41,1,3,20,4,21,4.2,6.4,1,5,0,0,0,104.4
363,Mark Walton,CIN,21,RB,14,0,8,5,41,0,1,-7,-1.4,48,9.6,-1.4,0,,1,12.5,0,75.5
364,Chad Beebe,MIN,24,WR,3,0,4,4,39,0,3,27,6.8,12,3,6.8,0,,0,0,0,107.3
365,Nick Bellore,DET,29,FB,14,4,4,4,15,0,2,1,0.3,14,3.5,0.3,0,,0,0,0,82.3
366,Jawill Davis,NYG,23,WR,7,0,8,4,40,0,3,36,9,4,1,15.9,0,,0,0,0,64.6
367,Jacob Hollister,NWE,25,TE,8,1,5,4,52,0,2,36,9,16,4,8.2,0,,0,0,0,110
368,Tyler Kroft,CIN,26,TE,5,2,6,4,36,0,4,19,4.8,17,4.3,7.2,1,4,1,16.7,1,43.1
369,Byron Marshall,WAS,24,RB,6,0,6,4,30,0,1,2,0.5,28,7,1.7,0,,0,0,0,78.5
370,Roosevelt Nix,PIT,26,RB,16,0,6,4,38,0,2,-5,-1.3,43,10.8,1.5,0,,0,0,0,84
371,Auden Tate,CIN,21,WR,7,0,12,4,35,0,2,33,8.3,2,0.5,10.2,0,,1,8.3,0,42.4
372,Robert Tonyan,GNB,24,TE,16,1,6,4,77,1,3,67,16.8,10,2.5,13.8,0,,1,16.7,0,149.3
373,Delanie Walker,TEN,34,TE,1,1,7,4,52,0,3,32,8,20,5,6.6,0,,0,0,1,41.1
374,Kevin White,CHI,26,WR,9,0,8,4,92,0,3,86,21.5,6,1.5,23.1,0,,0,0,0,91.7
375,Bobo Wilson,TAM,23,WR,5,0,5,4,52,0,2,32,8,20,5,10.8,0,,0,0,0,110
376,Javon Wims,CHI,24,WR,4,0,5,4,32,0,2,30,7.5,2,0.5,6.8,0,,0,0,0,93.3
377,Ameer Abdullah,2TM,25,RB,10,0,4,3,28,0,1,0,0,28,9.3,4.3,0,,0,0,0,93.7
378,Dwayne Allen,NWE,28,TE,13,8,4,3,27,0,2,-1,-0.3,28,9.3,8,0,,0,0,0,92.7
379,Cameron Artis-Payne,CAR,28,RB,9,0,4,3,15,0,1,0,0,15,5,-1.3,1,3,0,0,0,80.2
380,Brandon Bolden,MIA,28,RB,16,0,3,3,13,1,1,-6,-2,19,6.3,-2,0,,0,0,0,124.3
381,Ben Braunecker,CHI,24,TE,15,2,5,3,42,0,2,38,12.7,4,1.3,13.8,0,,0,0,1,47.5
382,Orson Charles,CLE,27,TE,13,2,5,3,23,0,,-1,-0.3,24,8,3.4,0,,1,20,0,71.2
383,A.J. Derby,MIA,27,TE,4,0,5,3,48,1,3,39,13,9,3,8.8,1,3,0,0,0,131.7
384,Patrick DiMarco,BUF,29,FB,16,5,4,3,62,0,2,27,9,35,11.7,6.8,0,,0,0,0,116.7
385,Tyler Ervin,HOU,25,RB,9,0,3,3,35,0,1,23,7.7,12,4,7.7,0,,0,0,0,115.3
386,Keith Ford,BUF,24,RB,2,1,5,3,21,0,1,-1,-0.3,22,7.3,-1.8,0,,0,0,0,69.6
387,Rico Gathers,DAL,24,TE,15,4,7,3,45,0,2,18,6,27,9,10,0,,0,0,0,64.6
388,Taysom Hill,NOR,28,QB,16,4,7,3,4,0,0,-1,-0.3,5,1.7,5.1,0,,2,28.6,0,50.3
389,Justin Hunter,PIT,27,WR,5,0,13,3,21,0,2,19,6.3,2,0.7,20.5,0,,0,0,0,39.6
390,Matt Lengel,CIN,28,TE,11,2,8,3,17,1,2,10,3.3,7,2.3,5,0,,0,0,0,85.4
391,Marcedes Lewis,GNB,34,TE,16,4,4,3,39,0,1,8,2.7,31,10.3,1.3,0,,0,0,0,105.2
392,Tommylee Lewis,NOR,26,WR,7,3,3,3,60,1,3,59,19.7,1,0.3,19.7,0,,0,0,0,158.3
393,Ricky Ortiz,ATL,24,FB,12,9,4,3,11,0,,-2,-0.7,13,4.3,-0.3,2,1.5,0,0,0,77.1
394,Samaje Perine,WAS,23,RB,5,0,4,3,5,0,0,-4,-1.3,9,3,-2.3,0,,0,0,0,77.1
395,John Phillips,ARI,31,TE,8,4,3,3,38,0,1,30,10,8,2.7,10,0,,0,0,0,118.7
396,C.J. Prosise,SEA,24,RB,5,0,3,3,22,0,,5,1.7,17,5.7,1.7,0,,0,0,0,97.2
397,Brian Quick,WAS,29,WR,6,3,3,3,18,0,2,17,5.7,1,0.3,5.7,0,,0,0,0,91.7
398,Stevan Ridley,PIT,29,RB,10,0,4,3,18,0,1,6,2,12,4,2.3,0,,0,0,0,83.3
399,De'Anthony Thomas,KAN,25,RB,5,0,5,3,29,1,3,-1,-0.3,30,10,13.6,0,,0,0,0,115.8
400,Jalen Tolliver,ARI,23,WR,3,1,6,3,37,0,3,23,7.7,14,4.7,13.8,0,,0,0,0,69.4
401,Darrel Williams,KAN,23,RB,6,0,3,3,27,1,1,-7,-2.3,34,11.3,-2.3,0,,0,0,0,143.7
402,Derrick Willies,CLE,24,WR,5,0,5,3,61,0,2,29,9.7,32,10.7,11.4,0,,0,0,0,102.9
403,Shaun Wilson,TAM,23,RB,5,0,5,3,5,0,,0,0,5,1.7,4.8,0,,0,0,1,25
404,Mike Boone,MIN,23,RB,8,0,3,2,1,0,0,-4,-2,5,2.5,-0.7,0,,1,33.3,0,70.1
405,Leonte Carroo,MIA,24,WR,9,0,4,2,94,1,2,58,29,36,18,26.3,0,,0,0,0,135.4
406,Jamaal Charles,JAX,32,RB,2,0,3,2,7,0,,2,1,5,2.5,1.3,0,,1,33.3,0,70.1
407,Derrick Coleman,ARI,28,RB,16,4,3,2,17,0,1,10,5,7,3.5,9,0,,0,0,0,81.2
408,Alan Cross,TAM,25,TE,14,3,5,2,9,0,1,2,1,7,3.5,2.4,0,,1,20,0,47.9
409,Ross Dwelley,SFO,23,TE,11,0,2,2,14,0,,13,6.5,1,0.5,6.5,0,,0,0,0,95.8
410,Gus Edwards,BAL,23,RB,11,6,2,2,20,0,1,3,1.5,17,8.5,1.5,0,,0,0,0,108.3
411,D'Onta Foreman,HOU,22,RB,1,0,2,2,28,1,1,18,9,10,5,9,0,,0,0,0,158.3
412,Jordan Franks,CIN,22,TE,6,0,3,2,37,0,1,23,11.5,14,7,15.3,0,,0,0,1,69.4
413,KhaDarel Hodge,LAR,23,WR,14,0,3,2,17,0,1,17,8.5,0,0,8,0,,0,0,0,81.2
414,John Kelly,LAR,22,RB,4,0,3,2,27,0,1,0,0,27,13.5,-2,0,,1,33.3,0,95.1
415,Jeremy Kerley,BUF,30,WR,1,1,4,2,7,0,,-8,-4,15,7.5,3.8,0,,1,25,0,56.2
416,Tre Madden,SEA,25,RB,14,3,3,2,35,0,1,15,7.5,20,10,8.3,0,,0,0,0,106.2
417,Chris Manhertz,CAR,26,TE,16,4,5,2,52,1,1,7,3.5,45,22.5,6.6,0,,1,20,1,78.7
418,J'Mon Moore,GNB,23,WR,12,0,3,2,15,0,1,9,4.5,6,3,6.3,0,,0,0,0,78.5
419,Detrez Newsome,LAC,24,RB,9,0,2,2,19,0,2,0,0,19,9.5,0,1,2,0,0,0,106.2
420,Jamize Olawale,DAL,29,FB,16,4,4,2,13,0,1,0,0,13,6.5,0.3,0,,1,25,0,57.3
421,Charone Peake,NYJ,26,WR,13,0,3,2,25,0,2,21,10.5,4,2,10.7,0,,1,33.3,1,52.8
422,Dion Sims,CHI,27,TE,8,4,4,2,9,0,,0,0,9,4.5,9,0,,1,25,0,56.2
423,Roc Thomas,MIN,23,RB,5,0,4,2,21,0,0,9,4.5,12,6,2,0,,0,0,0,65.6
424,De'Lance Turner,BAL,23,RB,4,0,2,2,17,0,,3,1.5,14,7,1.5,1,2,0,0,0,102.1
425,Malik Turner,SEA,22,WR,6,0,3,2,20,0,1,6,3,14,7,3.7,0,,0,0,0,85.4
426,Hakeem Valles,DET,26,TE,3,0,3,2,11,0,,10,5,1,0.5,8.3,0,,0,0,0,72.9
427,Joe Webb,HOU,32,WR,16,0,3,2,13,0,,7,3.5,6,3,5.7,0,,0,0,0,75.7
428,Charcandrick West,KAN,27,RB,3,0,3,2,37,1,2,12,6,25,12.5,5.3,0,,0,0,0,148.6
429,Nick Williams,2TM,28,WR,4,0,5,2,17,0,,12,6,5,2.5,9.4,0,,1,20,1,10
430,Terrance Williams,DAL,29,WR,3,2,3,2,18,0,1,12,6,6,3,9,0,,0,0,0,82.6
431,Alex Armah,CAR,24,FB,16,2,1,1,5,0,0,0,0,5,5,0,0,,0,0,0,87.5
432,Kenjon Barner,2TM,29,RB,9,0,1,1,3,0,0,3,3,0,0,3,0,,0,0,0,79.2
433,Victor Bolden,2TM,23,WR,6,0,4,1,10,0,1,9,9,1,1,11.8,0,,0,0,1,0
434,Tom Brady*,NWE,41,QB,16,16,1,1,6,0,0,0,0,6,6,0,0,,0,0,0,91.7
435,Drew Brees*,NOR,39,QB,15,15,1,1,1,0,0,-2,-2,3,3,-2,0,,0,0,0,79.2
436,Michael Burton,CHI,26,RB,8,1,1,1,6,0,1,0,0,6,6,0,0,,0,0,0,91.7
437,Damiere Byrd,CAR,25,WR,8,0,2,1,8,0,1,7,7,1,1,12.5,0,,0,0,0,60.4
438,Travaris Cadet,CAR,29,RB,1,0,1,1,5,0,,1,1,4,4,1,0,,0,0,0,87.5
439,Derek Carr,OAK,27,QB,16,16,1,1,-9,0,0,0,0,-9,-9,0,0,,0,0,0,79.2
440,Jehu Chesson,WAS,25,WR,12,0,2,1,7,0,1,7,7,0,0,11,0,,0,0,0,58.3
441,Sammie Coates,HOU,25,WR,12,0,2,1,12,0,1,7,7,5,5,4.5,1,1,1,50,0,68.7
442,Kirk Cousins,MIN,30,QB,16,16,1,1,-1,0,0,-7,-7,6,6,-7,0,,0,0,0,79.2
443,River Cracraft,DEN,24,WR,8,0,2,1,44,0,1,37,37,7,7,34,0,,0,0,0,95.8
