Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
1,Tua Tagovailoa*,MIA,25,QB,17,17,388,560,4624,4290,7.7,2447,6.3,4.4,2177,5.6
2,Jared Goff,DET,29,QB,17,17,407,605,4575,4064,6.7,2428,6,4,2147,5.3
3,Dak Prescott*,DAL,30,QB,17,17,410,590,4516,4585,7.8,2553,6.2,4.3,1963,4.8
4,Josh Allen,BUF,27,QB,17,17,385,579,4306,5032,8.7,2337,6.1,4,1969,5.1
5,Brock Purdy*,SFO,24,QB,16,16,308,444,4280,3623,8.2,2226,7.2,5,2054,6.7
6,Patrick Mahomes*,KAN,28,QB,16,16,401,597,4183,3876,6.5,1631,4.1,2.7,2552,6.4
7,Jordan Love,GNB,25,QB,17,17,372,579,4159,4902,8.5,2242,6,3.9,1917,5.2
8,C.J. Stroud*,HOU,22,QB,15,15,319,499,4108,4484,9,2346,7.4,4.7,1762,5.5
9,Baker Mayfield*,TAM,28,QB,17,17,364,566,4044,4831,8.5,2103,5.8,3.7,1941,5.3
10,Trevor Lawrence,JAX,24,QB,16,16,370,564,4016,4633,8.2,2244,6.1,4,1772,4.8
11,Matthew Stafford*,LAR,35,QB,15,15,326,521,3965,4033,7.7,2075,6.4,4,1890,5.8
12,Sam Howell,WAS,23,QB,17,17,388,612,3946,4603,7.5,1927,5,3.1,2019,5.2
13,Derek Carr,NOR,32,QB,17,17,375,548,3878,4280,7.8,2182,5.8,4,1696,4.5
14,Jalen Hurts*,PHI,25,QB,17,17,352,538,3858,4656,8.7,2161,6.1,4,1697,4.8
15,Lamar Jackson*+,BAL,26,QB,16,16,307,457,3678,3831,8.4,1926,6.3,4.2,1752,5.7
16,Geno Smith*,SEA,33,QB,15,15,323,499,3624,3500,7,1910,5.9,3.8,1714,5.3
17,Gardner Minshew II*,IND,27,QB,17,13,305,490,3305,3580,7.3,1739,5.7,3.5,1566,5.1
18,Justin Herbert,LAC,25,QB,13,13,297,456,3134,3479,7.6,1571,5.3,3.4,1563,5.3
19,Russell Wilson,DEN,35,QB,15,15,297,447,3070,3193,7.1,1335,4.5,3,1735,5.8
20,Bryce Young,CAR,22,QB,16,16,315,527,2877,3980,7.6,1572,5,3,1305,4.1
21,Desmond Ridder,ATL,24,QB,15,13,249,388,2836,3183,8.2,1614,6.5,4.2,1222,4.9
22,Justin Fields,CHI,24,QB,13,13,227,370,2562,2966,8,1338,5.9,3.6,1224,5.4
23,Joshua Dobbs,2TM,28,QB,13,12,262,417,2464,3307,7.9,1452,5.5,3.5,1012,3.9
