Rk,Player,Tm,Age,Pos,G,GS,Cmp,Att,Yds,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp
73,Russell Gage,ATL,24,WR,16,8,1,2,39,75,37.5,37,37,18.5,2,2
74,Julian Edelman,NWE,34,WR,6,1,2,2,38,-2,-1,-2,-1,-1,40,20
75,Geno Smith,SEA,30,QB,1,0,4,5,33,25,5,19,4.8,3.8,14,3.5
76,Lynn Bowden Jr.,MIA,23,WR,10,4,1,2,32,17,8.5,-2,-2,-1,34,34
77,Nate Sudfeld,PHI,27,QB,1,0,5,12,32,118,9.8,14,2.8,1.2,18,3.6
78,Zay Jones,LVR,25,WR,16,2,1,1,29,26,26,26,26,26,3,3
79,Joseph Charlton,CAR,23,P,16,0,1,1,28,18,18,18,18,18,10,10
80,Logan Thomas,WAS,29,TE,16,15,1,1,28,28,28,28,28,28,0,0
81,Andy Lee,ARI,38,P,16,0,1,1,26,14,14,14,14,14,12,12
82,Nathan Peterman,LVR,26,QB,1,0,3,5,25,9,1.8,4,1.3,0.8,21,7
83,Cedrick Wilson Jr.,DAL,25,WR,16,0,2,2,23,2,1,2,1,1,21,10.5
84,Cole Beasley,BUF,31,WR,15,10,1,1,20,20,20,20,20,20,0,0
85,A.J. McCarron,HOU,30,QB,2,0,1,1,20,18,18,18,18,18,2,2
86,Odell Beckham Jr.,CLE,28,WR,7,7,1,1,18,17,17,17,17,17,1,1
87,Tyler Bray,CHI,29,QB,1,0,1,5,18,43,8.6,5,5,1,13,13
88,Golden Tate,NYG,32,WR,12,4,1,2,18,-9,-4.5,-5,-5,-2.5,23,23
89,Jacoby Brissett,IND,28,QB,11,0,2,8,17,65,8.1,-1,-0.5,-0.1,18,9
90,Tyler Boyd,CIN,26,WR,15,8,1,2,16,2,1,-6,-6,-3,22,22
91,Tyler Huntley,BAL,22,QB,2,0,3,5,15,62,12.4,5,1.7,1,10,3.3
92,Sam Koch,BAL,38,P,15,0,1,1,15,9,9,9,9,9,6,6
93,Greg Ward,PHI,25,WR,16,10,1,1,15,15,15,15,15,15,0,0
94,Kendall Hinton,DEN,23,WR,1,0,1,9,13,134,14.9,-3,-3,-0.3,16,16
95,Jaquan Johnson,BUF,25,DB,14,0,1,1,13,10,10,10,10,10,3,3
96,Tommy Townsend,KAN,24,P,16,0,1,1,13,6,6,6,6,6,7,7
97,Isaiah McKenzie,BUF,25,WR,16,7,1,1,12,-5,-5,-5,-5,-5,17,17
98,Logan Woodside,TEN,25,QB,6,0,1,3,7,17,5.7,7,7,2.3,0,0
99,Travis Kelce*+,KAN,31,TE,15,15,1,2,4,-2,-1,-3,-3,-1.5,7,7
100,Easton Stick,LAC,25,QB,1,0,1,1,4,0,0,0,0,0,4,4
101,Joshua Dobbs,PIT,25,QB,1,0,4,5,2,0,0,-11,-2.8,-2.2,13,3.3
102,Jamal Agnew,DET,25,WR,14,2,0,1,0,15,15,0,,0,0,
103,Keenan Allen*,LAC,28,WR,14,13,0,1,0,15,15,0,,0,0,
104,Randall Cobb,HOU,30,WR,10,2,0,1,0,7,7,0,,0,0,
105,Riley Dixon,NYG,27,P,16,0,0,1,0,8,8,0,,0,0,
106,Alex Erickson,CIN,28,WR,16,2,0,1,0,21,21,0,,0,0,
107,Chris Jones,DAL,31,P,8,0,0,1,0,9,9,0,,0,0,
108,Brett Kern,TEN,34,P,13,0,0,1,0,18,18,0,,0,0,
109,D.J. Moore,CAR,23,WR,15,14,0,1,0,6,6,0,,0,0,
110,Zach Pascal,IND,26,WR,16,14,0,1,0,13,13,0,,0,0,
111,Sammy Watkins,KAN,27,WR,10,9,0,1,0,24,24,0,,0,0,
112,Isaiah Wright,WAS,23,WR,14,6,0,1,0,-3,-3,0,,0,0,
