Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
217,Jonnu Smith,TEN,24,TE,16,14,4,78,0,2,7,1.8,71,17.8,1,4
218,Adam Thielen,MIN,29,WR,10,10,4,6,1,1,0,0,6,1.5,2,2
219,De'Lance Turner,MIA,24,RB,8,0,4,6,0,,1,0.3,5,1.3,0,
220,Keenan Allen*,LAC,27,WR,16,16,3,16,0,1,13,4.3,3,1,0,
221,Odell Beckham Jr.,CLE,27,WR,16,15,3,10,0,1,4,1.3,6,2,1,3
222,A.J. Brown,TEN,22,WR,16,11,3,60,1,2,12,4,48,16,1,3
223,Randall Cobb,DAL,29,WR,15,6,3,11,0,0,6,2,5,1.7,0,
224,Patrick DiMarco,BUF,30,FB,16,4,3,7,0,0,1,0.3,6,2,0,
225,Phillip Dorsett,NWE,26,WR,14,4,3,21,0,1,18,6,3,1,0,
226,Evan Engram,NYG,25,TE,8,6,3,7,0,0,6,2,1,0.3,0,
227,Noah Fant,DEN,22,TE,16,11,3,-12,0,0,-12,-4,0,0,0,
228,Josh Ferguson,WAS,26,RB,2,0,3,9,0,1,9,3,0,0,0,
229,Taylor Gabriel,CHI,28,WR,9,7,3,20,0,1,20,6.7,0,0,0,
230,Garrett Gilbert,CLE,28,QB,5,0,3,-3,0,,-3,-1,0,0,0,
231,Ted Ginn Jr.,NOR,34,WR,16,9,3,18,0,2,16,5.3,2,0.7,0,
232,Kyle Juszczyk*,SFO,28,FB,12,12,3,7,0,1,2,0.7,5,1.7,0,
233,John Kelly,LAR,23,RB,4,0,3,9,0,,5,1.7,4,1.3,0,
234,T.J. Logan,TAM,25,FB,12,0,3,10,0,0,6,2,4,1.3,0,
235,David Moore,SEA,24,WR,14,1,3,25,0,1,8,2.7,17,5.7,1,3
236,Nick Mullens,SFO,24,QB,1,0,3,-3,0,,-3,-1,0,0,0,
237,Senorise Perry,BUF,28,RB,11,0,3,3,0,,0,0,3,1,1,3
238,Josh Rosen,MIA,22,QB,6,3,3,13,0,0,13,4.3,0,0,0,
239,John Ross,CIN,24,WR,8,8,3,4,0,0,2,0.7,2,0.7,0,
240,Mohamed Sanu,2TM,30,WR,15,12,3,11,0,1,6,2,5,1.7,0,
241,Matt Schaub,ATL,38,QB,6,1,3,-3,0,0,-3,-1,0,0,0,
242,Vyncint Smith,NYJ,23,WR,13,4,3,52,1,3,44,14.7,8,2.7,0,
243,Diontae Spencer,DEN,27,WR,16,2,3,6,0,0,2,0.7,4,1.3,0,
244,Courtland Sutton*,DEN,24,WR,16,14,3,17,0,1,13,4.3,4,1.3,0,
245,Zach Zenner,3TM,28,RB,5,0,3,-2,0,0,-2,-0.7,0,0,0,
246,Nelson Agholor,PHI,26,WR,11,10,2,7,0,1,0,0,7,3.5,0,
247,Matt Barkley,BUF,29,QB,2,0,2,-4,0,0,-4,-2,0,0,0,
248,Jordan Berry,PIT,28,P,16,0,2,-8,0,,-8,-4,0,0,0,
249,Devontae Booker,DEN,27,RB,16,0,2,9,0,0,0,0,9,4.5,1,2
250,Blake Bortles,LAR,27,QB,3,0,2,-9,0,,-9,-4.5,0,0,0,
251,John Brown,BUF,29,WR,15,15,2,7,0,0,5,2.5,2,1,0,
252,DJ Chark*,JAX,23,WR,15,14,2,20,0,1,16,8,4,2,0,
253,Keke Coutee,HOU,22,WR,9,4,2,14,1,2,14,7,0,0,0,
254,James Develin,NWE,31,RB,2,2,2,3,0,1,3,1.5,0,0,0,
255,Robert Foster,BUF,25,WR,13,2,2,29,0,1,27,13.5,2,1,0,
256,Mike Glennon,OAK,30,QB,2,0,2,0,0,0,0,0,0,0,0,
257,DeAndre Hopkins*+,HOU,27,WR,15,15,2,18,0,2,15,7.5,3,1.5,0,
258,Richie James,SFO,24,WR,16,1,2,-1,0,0,-3,-1.5,2,1,1,2
259,Julio Jones*,ATL,30,WR,15,15,2,-3,0,0,-4,-2,1,0.5,0,
260,Marvin Jones,DET,29,WR,13,11,2,0,0,0,-1,-0.5,1,0.5,0,
261,Cooper Kupp,LAR,26,WR,16,14,2,4,0,0,4,2,0,0,0,
262,Anthony Levine,BAL,32,DB,16,0,2,62,0,2,62,31,0,0,0,
263,Josh McCown,PHI,40,QB,3,0,2,-2,0,0,-2,-1,0,0,0,
264,Colt McCoy,WAS,33,QB,1,1,2,14,0,1,14,7,0,0,0,
265,D.K. Metcalf,SEA,22,WR,16,15,2,11,0,0,4,2,7,3.5,2,1
266,Scott Miller,TAM,22,WR,10,2,2,16,0,1,6,3,10,5,0,
267,Ryan Nall,CHI,24,RB,8,0,2,8,0,1,3,1.5,5,2.5,0,
268,Zach Pascal,IND,25,WR,16,13,2,16,0,1,12,6,4,2,0,
269,Breshad Perriman,TAM,26,WR,14,4,2,16,0,1,15,7.5,1,0.5,0,
270,Calvin Ridley,ATL,25,WR,13,10,2,34,0,2,30,15,4,2,0,
271,Willie Snead,BAL,27,WR,16,11,2,2,0,0,2,1,0,0,0,
272,Jarrett Stidham,NWE,23,QB,3,0,2,-2,0,0,-2,-1,0,0,0,
273,De'Anthony Thomas,2TM,26,RB,14,0,2,5,0,1,2,1,3,1.5,0,
274,Marquez Valdes-Scantling,GNB,25,WR,16,10,2,9,0,0,6,3,3,1.5,0,
275,Darren Waller,OAK,27,TE,16,16,2,5,0,0,2,1,3,1.5,0,
276,Sammy Watkins,KAN,26,WR,14,13,2,12,0,1,10,5,2,1,0,
277,Jamal Agnew,DET,24,DB,13,0,1,9,0,1,6,6,3,3,0,
278,Geronimo Allison,GNB,25,WR,16,6,1,7,0,0,5,5,2,2,0,
279,Bryan Anger,HOU,31,P,14,0,1,-5,0,,-5,-5,0,0,0,
280,Andrew Beck,DEN,23,TE,16,6,1,3,0,1,2,2,1,1,0,
281,Antonio Brown,NWE,31,WR,1,0,1,5,0,1,5,5,0,0,0,
282,Derek Carrier,OAK,29,TE,16,4,1,27,0,1,27,27,0,0,0,
283,Robbie Chosen,NYJ,26,WR,16,15,1,4,0,0,4,4,0,0,0,
284,Keelan Cole,JAX,26,WR,16,1,1,6,0,0,1,1,5,5,0,
285,Amari Cooper*,DAL,25,WR,16,16,1,6,0,0,5,5,1,1,0,
286,Pharoh Cooper,2TM,24,WR,13,1,1,2,0,0,1,1,1,1,0,
287,Jamison Crowder,NYJ,26,WR,16,12,1,4,0,0,0,0,4,4,1,1
288,Will Dissly,SEA,23,TE,6,6,1,7,0,0,5,5,2,2,0,
289,Tyler Ervin,2TM,26,RB,10,0,1,10,0,1,3,3,7,7,1,1
290,Gerald Everett,LAR,25,TE,13,2,1,0,0,0,0,0,0,0,0,
291,Isaiah Ford,MIA,23,WR,8,0,1,11,0,1,0,0,11,11,1,1
292,Bennie Fowler,NYG,28,WR,8,2,1,20,0,1,17,17,3,3,0,
293,John Franklin,TAM,25,DB,1,0,1,11,0,1,9,9,2,2,0,
294,Chris Godwin*,TAM,23,WR,14,14,1,8,0,0,0,0,8,8,1,1
295,Marquise Goodwin,SFO,29,WR,9,6,1,15,0,1,15,15,0,0,0,
296,Josh Gordon,2TM,28,WR,11,7,1,1,0,0,1,1,0,0,0,
