"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"42","Rhett Ellison (FA)","3","4","75.0%","27","9.0","1","28.6%","0","0","0","0.0%","0","14","11.7","0.8","0.0%"
"43","MyCole Pruitt (PIT)","3","3","100.0%","23","7.7","1","21.4%","0","0","0","0.0%","0","15","11.3","0.8","0.0%"
"44","Virgil Green (FA)","3","5","60.0%","22","7.3","1","35.7%","0","0","0","0%","0","16","11.2","0.7","0.0%"
"45","Logan Paulsen (FA)","2","2","100.0%","22","11.0","1","12.5%","0","0","0","0%","0","15","10.2","0.7","0.0%"
"46","Jordan Leggett (FA)","3","3","100.0%","12","4.0","1","23.1%","0","0","0","0%","0","15","10.2","0.7","0.0%"
"47","Lance Kendricks (FA)","3","3","100.0%","11","3.7","1","23.1%","0","0","0","0%","0","16","10.1","0.6","0.0%"
"48","Jeremy Sprinkle (FA)","2","4","50.0%","15","7.5","1","33.3%","0","0","0","0%","0","16","9.5","0.6","0.0%"
"49","Geoff Swaim (FA)","3","4","75.0%","5","1.7","1","44.4%","0","0","0","0%","0","9","9.5","1.1","0.0%"
"50","Taysom Hill (NO)","1","1","100.0%","-4","-4.0","0","8.3%","13","48","1","100.0%","1","16","9.4","0.6","16.2%"
"51","A.J. Derby (FA)","1","2","50.0%","19","19.0","1","22.2%","0","0","0","0%","0","4","8.9","2.2","0.0%"
"52","Mo Alie-Cox (IND)","2","3","66.7%","8","4.0","1","8.8%","0","0","0","0.0%","0","9","8.8","1.0","0.1%"
"53","Tyler Eifert (FA)","1","2","50.0%","15","15.0","1","16.7%","0","0","0","0%","0","4","8.5","2.1","0.0%"
"54","Garrett Celek (FA)","1","2","50.0%","11","11.0","1","11.1%","0","0","0","0%","0","15","8.1","0.5","0.0%"
"55","Matt LaCosse (FA)","1","2","50.0%","10","10.0","1","11.1%","0","0","0","0%","0","15","8.0","0.5","0.0%"
"56","Derek Carrier (FA)","1","2","50.0%","6","6.0","1","9.5%","0","0","0","0%","0","16","7.6","0.5","0.0%"
"57","Nick O'Leary (FA)","1","2","50.0%","5","5.0","1","22.2%","0","0","0","0%","0","12","7.5","0.6","0.0%"
"58","Austin Seferian-Jenkins (FA)","1","2","50.0%","4","4.0","1","28.6%","0","0","0","0%","0","5","7.4","1.5","0.0%"
"59","Matt Lengel (FA)","1","2","50.0%","4","4.0","1","16.7%","0","0","0","0%","0","11","7.4","0.7","0.0%"
"60","Scott Simonson (FA)","1","4","25.0%","3","3.0","1","28.6%","0","0","0","0.0%","0","16","7.3","0.5","0.0%"
"61","Adam Shaheen (FA)","1","1","100.0%","2","2.0","1","6.7%","0","0","0","0.0%","0","6","7.2","1.2","0.0%"
"62","Josh Hill (FA)","1","1","100.0%","1","1.0","1","8.3%","0","0","0","0.0%","0","16","7.1","0.4","0.0%"
"63","Luke Stocker (FA)","1","1","100.0%","1","1.0","1","7.1%","1","0","0","100.0%","0","16","7.1","0.4","0.0%"
"64","Mike Gesicki (CIN)","3","5","60.0%","21","7.0","0","55.6%","0","0","0","0%","0","16","5.1","0.3","3.4%"
"65","Ryan Griffin (FA)","2","10","20.0%","17","8.5","0","50.0%","0","0","0","0%","0","14","3.7","0.3","0.0%"
"66","James O'Shaughnessy (FA)","2","2","100.0%","12","6.0","0","28.6%","0","0","0","0%","0","14","3.2","0.2","0.0%"
"67","Nick Boyle (FA)","2","7","28.6%","6","3.0","0","36.8%","0","0","0","0%","0","16","2.6","0.2","0.0%"
"68","Jermaine Gresham (FA)","1","2","50.0%","11","11.0","0","28.6%","0","0","0","0%","0","13","2.1","0.2","0.0%"
"69","Jason Croom (FA)","1","1","100.0%","11","11.0","0","9.1%","0","0","0","0%","0","15","2.1","0.1","0.0%"
"70","Vernon Davis (FA)","1","1","100.0%","10","10.0","0","8.3%","0","0","0","0%","0","14","2.0","0.1","1.6%"
"71","David Morgan II (FA)","1","1","100.0%","9","9.0","0","6.3%","0","0","0","0%","0","11","1.9","0.2","0.0%"
"72","John Phillips (FA)","1","1","100.0%","9","9.0","0","14.3%","0","0","0","0%","0","8","1.9","0.2","0.0%"
"73","Joshua Perkins (FA)","1","1","100.0%","8","8.0","0","2.6%","0","0","0","0%","0","9","1.8","0.2","0.0%"
"74","Ross Dwelley (ATL)","1","1","100.0%","8","8.0","0","5.6%","0","0","0","0%","0","11","1.8","0.2","0.0%"
"75","Neal Sterling (FA)","1","2","50.0%","6","6.0","0","15.4%","0","0","0","0%","0","5","1.6","0.3","0.0%"
"76","Charles Clay (FA)","1","2","50.0%","5","5.0","0","18.2%","0","0","0","0%","0","13","1.5","0.1","0.0%"
"77","Tyler Kroft (FA)","1","2","50.0%","5","5.0","0","16.7%","0","0","0","0%","0","5","1.5","0.3","0.0%"
"78","Dalton Schultz (HOU)","1","2","50.0%","-1","-1.0","0","22.2%","0","0","0","0%","0","11","0.9","0.1","76.8%"
"79","Hayden Hurst (LAC)","0","1","0.0%","0","0","0","5.3%","0","0","0","0%","0","12","0.0","0.0","1.6%"
"80","Jordan Akins (CLE)","0","2","0.0%","0","0","0","10.0%","0","0","0","0%","0","16","0.0","0.0","0.1%"
"81","Marcedes Lewis (CHI)","0","1","0.0%","0","0","0","7.7%","0","0","0","0%","0","16","0.0","0.0","0.1%"
"82","Delanie Walker (FA)","0","1","0.0%","0","0","0","7.1%","0","0","0","0.0%","0","1","0.0","0.0","0.1%"
"83","Dan Arnold (FA)","0","1","0.0%","0","0","0","8.3%","0","0","0","0.0%","0","10","0.0","0.0","0.0%"
"84","Seth DeValve (FA)","0","0","0%","0","0","0","0.0%","0","0","0","0%","0","13","0.0","0.0","0.0%"
"85","Ricky Seals-Jones (FA)","0","4","0.0%","0","0","0","57.1%","0","0","0","0%","0","15","0.0","0.0","0.0%"
"86","Eric Saubert (SF)","0","1","0.0%","0","0","0","6.3%","0","0","0","0%","0","16","0.0","0.0","0.0%"
"87","Blake Jarwin (FA)","0","1","0.0%","0","0","0","11.1%","0","0","0","0%","0","16","0.0","0.0","4.0%"
"88","Darrell Daniels (FA)","0","0","0%","0","0","0","0.0%","0","0","0","0%","0","11","0.0","0.0","0.0%"
"89","Rico Gathers (FA)","0","2","0.0%","0","0","0","22.2%","0","0","0","0%","0","15","0.0","0.0","0.0%"
"90","Chris Manhertz (NYG)","0","1","0.0%","0","0","0","4.0%","0","0","0","0%","0","16","0.0","0.0","0.0%"
"91","Brian Parker (FA)","0","1","0.0%","0","0","0","5.6%","0","0","0","0%","0","13","0.0","0.0","0.0%"
"92","Jake Butt (FA)","0","2","0.0%","0","0","0","11.1%","0","0","0","0%","0","3","0.0","0.0","0.1%"
"93","Niles Paul (FA)","0","1","0.0%","0","0","0","14.3%","0","0","0","0%","0","6","0.0","0.0","0.0%"
"94","Alan Cross (FA)","0","1","0.0%","0","0","0","5.0%","0","0","0","0%","0","14","0.0","0.0","0.0%"
"95","Cole Wick (FA)","0","1","0.0%","0","0","0","5.6%","0","0","0","0%","0","5","0.0","0.0","0.0%"
"96","David Grinnage (FA)","0","2","0.0%","0","0","0","28.6%","0","0","0","0%","0","4","0.0","0.0","0.0%"
"97","Ben Braunecker (FA)","0","2","0.0%","0","0","0","13.3%","0","0","0","0.0%","0","15","0.0","0.0","0.0%"
"98","Levine Toilolo (FA)","0","1","0.0%","0","0","0","12.5%","0","0","0","0%","0","16","0.0","0.0","0.0%"
""
""
