"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Eric Ebron (FA)","11","20","55.0%","126","11.5","10","58.8%","2","1","1","100.0%","0","16","89.7","5.6","0.0%"
"2","Travis Kelce (KC)","16","25","64.0%","134","8.4","9","86.2%","0","0","0","0%","0","16","83.4","5.2","99.9%"
"3","Zach Ertz (WAS)","15","26","57.7%","114","7.6","7","68.4%","0","0","0","0%","0","16","68.4","4.3","2.5%"
"4","Cameron Brate (FA)","8","12","66.7%","72","9.0","6","60.0%","0","0","0","0%","0","16","51.2","3.2","2.0%"
"5","Trey Burton (FA)","9","12","75.0%","55","6.1","5","80.0%","1","2","0","100.0%","0","16","44.7","2.8","0.0%"
"6","Austin Hooper (NE)","9","13","69.2%","49","5.4","4","81.3%","0","0","0","0%","0","16","37.9","2.4","0.2%"
"7","Jared Cook (FA)","10","15","66.7%","69","6.9","3","71.4%","0","0","0","0%","0","16","34.9","2.2","0.0%"
"8","Jordan Thomas (ATL)","6","8","75.0%","47","7.8","4","40.0%","0","0","0","0%","0","16","34.7","2.2","0.0%"
"9","O.J. Howard (FA)","5","7","71.4%","50","10.0","4","35.0%","0","0","0","0%","0","10","34.0","3.4","0.0%"
"10","Greg Olsen (FA)","5","6","83.3%","35","7.0","4","24.0%","0","0","0","0%","0","9","32.5","3.6","7.0%"
"11","David Njoku (CLE)","5","6","83.3%","30","6.0","4","75.0%","0","0","0","0%","0","16","32.0","2.0","92.1%"
"12","Chris Herndon IV (FA)","6","8","75.0%","78","13.0","3","61.5%","0","0","0","0%","0","16","31.8","2.0","0.0%"
"13","Kyle Rudolph (FA)","8","15","53.3%","42","5.3","3","93.8%","0","0","0","0%","0","16","30.2","1.9","0.0%"
"14","Nick Vannett (TEN)","5","6","83.3%","40","8.0","3","46.2%","0","0","0","0%","0","15","27.0","1.8","0.0%"
"15","Vance McDonald (FA)","5","10","50.0%","38","7.6","3","66.7%","0","0","0","0%","0","15","26.8","1.8","0.0%"
"16","Erik Swoope (FA)","4","4","100.0%","39","9.8","3","11.8%","0","0","0","0.0%","0","7","25.9","3.7","0.0%"
"17","Dallas Goedert (PHI)","5","7","71.4%","28","5.6","3","18.4%","0","0","0","0%","0","16","25.8","1.6","86.8%"
"18","Ed Dickson (FA)","4","5","80.0%","37","9.3","3","38.5%","0","0","0","0%","0","10","25.7","2.6","0.0%"
"19","C.J. Uzomah (FA)","4","6","66.7%","35","8.8","3","50.0%","0","0","0","0%","0","16","25.5","1.6","0.1%"
"20","George Kittle (SF)","8","14","57.1%","54","6.8","2","77.8%","0","0","0","0%","0","16","25.4","1.6","98.5%"
"21","Demetrius Harris (FA)","3","4","75.0%","43","14.3","3","13.8%","0","0","0","0%","0","15","25.3","1.7","0.0%"
"22","Michael Roberts (FA)","3","7","42.9%","34","11.3","3","87.5%","0","0","0","0%","0","8","24.4","3.1","0.0%"
"23","Lee Smith (FA)","4","4","100.0%","7","1.8","3","19.0%","0","0","0","0%","0","16","22.7","1.4","0.0%"
"24","Jack Doyle (FA)","6","7","85.7%","41","6.8","2","20.6%","0","0","0","0.0%","0","6","22.1","3.7","2.0%"
"25","Benjamin Watson (FA)","6","9","66.7%","36","6.0","2","75.0%","0","0","0","0.0%","0","16","21.6","1.4","2.8%"
"26","Gerald Everett (CHI)","6","11","54.5%","32","5.3","2","64.7%","0","0","0","0%","0","16","21.2","1.3","0.7%"
"27","Jimmy Graham (FA)","4","9","44.4%","35","8.8","2","69.2%","0","0","0","0%","0","16","19.5","1.2","0.0%"
"28","Evan Engram (JAC)","3","6","50.0%","29","9.7","2","42.9%","1","12","0","100.0%","0","11","19.1","1.7","95.5%"
"29","Jeff Heuerman (FA)","4","13","30.8%","25","6.3","2","72.2%","0","0","0","0%","0","11","18.5","1.7","0.0%"
"30","Tyler Higbee (LAR)","3","6","50.0%","29","9.7","2","35.3%","0","0","0","0%","0","16","17.9","1.1","1.4%"
"31","Jordan Reed (FA)","3","7","42.9%","20","6.7","2","58.3%","0","0","0","0%","0","13","17.0","1.3","19.0%"
"32","Mark Andrews (BAL)","3","7","42.9%","17","5.7","2","36.8%","0","0","0","0%","0","16","16.7","1.0","99.8%"
"33","Jonnu Smith (MIA)","3","5","60.0%","14","4.7","2","35.7%","0","0","0","0.0%","0","13","16.4","1.3","4.7%"
"34","Will Dissly (LAC)","2","2","100.0%","17","8.5","2","15.4%","0","0","0","0%","0","4","15.7","3.9","0.6%"
"35","Antonio Gates (FA)","2","9","22.2%","11","5.5","2","64.3%","0","0","0","0%","0","16","15.1","0.9","0.2%"
"36","Darren Fells (FA)","2","2","100.0%","7","3.5","2","25.0%","0","0","0","0%","0","16","14.7","0.9","0.0%"
"37","Anthony Firkser (NYJ)","4","4","100.0%","34","8.5","1","28.6%","0","0","0","0.0%","0","12","13.4","1.1","0.0%"
"38","Rob Gronkowski (FA)","3","8","37.5%","37","12.3","1","100.0%","0","0","0","0%","0","13","12.7","1.0","1.5%"
"39","Ian Thomas (CAR)","4","6","66.7%","23","5.8","1","24.0%","0","0","0","0%","0","16","12.3","0.8","0.0%"
"40","Maxx Williams (FA)","4","4","100.0%","22","5.5","1","21.1%","0","0","0","0%","0","13","12.2","0.9","0.0%"
"41","Jesse James (FA)","3","5","60.0%","29","9.7","1","33.3%","0","0","0","0%","0","16","11.9","0.7","0.0%"
