"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"42","C.J. Uzomah (FA)","4","8","50.0%","28","7.0","1","38.1%","0","0","0","0%","0","16","12.8","0.8","0.1%"
"43","O.J. Howard (FA)","4","8","50.0%","37","9.3","1","47.1%","0","0","0","0%","1","14","11.7","0.8","0.0%"
"44","Jeff Heuerman (FA)","3","4","75.0%","23","7.7","1","21.1%","0","0","0","0%","0","14","11.3","0.8","0.0%"
"45","Virgil Green (FA)","2","3","66.7%","29","14.5","1","20.0%","0","0","0","0%","0","15","10.9","0.7","0.0%"
"46","T.J. Hockenson (MIN)","3","7","42.9%","16","5.3","1","41.2%","0","0","0","0%","0","12","10.6","0.9","78.6%"
"47","Hayden Hurst (LAC)","3","7","42.9%","14","4.7","1","25.9%","0","0","0","0%","0","16","10.4","0.7","1.6%"
"48","Robert Tonyan (MIN)","2","2","100.0%","23","11.5","1","13.3%","0","0","0","0%","0","11","10.3","0.9","0.0%"
"49","Jesper Horsted (CAR)","2","3","66.7%","22","11.0","1","33.3%","0","0","0","0%","0","6","10.2","1.7","0.0%"
"50","Tyler Kroft (FA)","2","3","66.7%","20","10.0","1","14.3%","0","0","0","0%","0","12","10.0","0.8","0.0%"
"51","Anthony Firkser (NYJ)","2","4","50.0%","16","8.0","1","25.0%","0","0","0","0.0%","0","15","9.6","0.6","0.0%"
"52","Daniel Brown (FA)","1","1","100.0%","20","20.0","1","14.3%","0","0","0","0%","0","16","9.0","0.6","0.0%"
"53","Dawson Knox (BUF)","2","6","33.3%","9","4.5","1","75.0%","0","0","0","0%","0","15","8.9","0.6","3.8%"
"54","Derek Carrier (FA)","2","3","66.7%","9","4.5","1","14.3%","0","0","0","0%","0","16","8.9","0.6","0.0%"
"55","Ben Braunecker (FA)","1","1","100.0%","18","18.0","1","11.1%","0","0","0","0%","0","11","8.8","0.8","0.0%"
"56","Jaeden Graham (FA)","1","1","100.0%","18","18.0","1","5.3%","0","0","0","0%","0","16","8.8","0.6","0.0%"
"57","Ian Thomas (CAR)","2","2","100.0%","5","2.5","1","15.4%","0","0","0","0%","0","16","8.5","0.5","0.0%"
"58","Jordan Akins (CLE)","1","6","16.7%","15","15.0","1","33.3%","0","0","0","0%","0","16","8.5","0.5","0.1%"
"59","Noah Fant (SEA)","1","9","11.1%","14","14.0","1","47.4%","0","0","0","0%","0","16","8.4","0.5","15.6%"
"60","Nick O'Leary (FA)","1","3","33.3%","12","12.0","1","21.4%","0","0","0","0%","0","12","8.2","0.7","0.0%"
"61","Ryan Izzo (FA)","1","1","100.0%","10","10.0","1","12.5%","0","0","0","0%","0","6","8.0","1.3","0.0%"
"62","Stephen Carlson (CHI)","1","1","100.0%","8","8.0","1","5.9%","0","0","0","0%","0","9","7.8","0.9","0.0%"
"63","Matt LaCosse (FA)","1","3","33.3%","8","8.0","1","15.8%","0","0","0","0%","0","12","7.8","0.7","0.0%"
"64","Cethan Carter (FA)","1","1","100.0%","8","8.0","1","4.8%","0","0","0","0%","0","15","7.8","0.5","0.0%"
"65","Lee Smith (FA)","1","1","100.0%","8","8.0","1","12.5%","0","0","0","0%","0","16","7.8","0.5","0.0%"
"66","Hale Hentges (FA)","1","3","33.3%","6","6.0","1","30.0%","0","0","0","0%","0","11","7.6","0.7","0.0%"
"67","Dan Arnold (FA)","1","1","100.0%","6","6.0","1","10.0%","0","0","0","0%","0","6","7.6","1.3","0.0%"
"68","Troy Fumagalli (FA)","1","1","100.0%","3","3.0","1","5.3%","0","0","0","0%","0","11","7.3","0.7","0.0%"
"69","David Njoku (CLE)","1","2","50.0%","3","3.0","1","11.8%","0","0","0","0%","0","4","7.3","1.8","92.1%"
"70","Blake Jarwin (FA)","1","2","50.0%","1","1.0","1","16.7%","0","0","0","0%","0","16","7.1","0.4","4.0%"
"71","Jeremy Sprinkle (FA)","1","3","33.3%","1","1.0","1","30.0%","0","0","0","0%","0","16","7.1","0.4","0.0%"
"72","Marcedes Lewis (CHI)","1","2","50.0%","1","1.0","1","13.3%","0","0","0","0%","0","16","7.1","0.4","0.1%"
"73","Benjamin Watson (FA)","3","3","100.0%","6","2.0","0","37.5%","0","0","0","0%","0","10","3.6","0.4","2.8%"
"74","Jesse James (FA)","2","2","100.0%","11","5.5","0","11.8%","0","0","0","0%","0","16","3.1","0.2","0.0%"
"75","Vernon Davis (FA)","2","3","66.7%","11","5.5","0","30.0%","0","0","0","0%","0","4","3.1","0.8","1.6%"
"76","Andrew Beck (HOU)","2","2","100.0%","4","2.0","0","10.5%","0","0","0","0%","0","16","2.4","0.2","0.1%"
"77","Sean Culkin (FA)","1","1","100.0%","12","12.0","0","6.7%","0","0","0","0%","0","4","2.2","0.6","0.0%"
"78","Seth DeValve (FA)","1","4","25.0%","11","11.0","0","28.6%","0","0","0","0%","0","12","2.1","0.2","0.0%"
"79","Scott Simonson (FA)","1","1","100.0%","10","10.0","0","5.3%","0","0","0","0%","0","6","2.0","0.3","0.0%"
"80","Pharaoh Brown (SEA)","1","1","100.0%","9","9.0","0","5.9%","0","0","0","0%","0","9","1.9","0.2","0.1%"
"81","Nick Vannett (TEN)","1","2","50.0%","7","7.0","0","18.2%","0","0","0","0%","0","16","1.7","0.1","0.0%"
"82","J.P. Holtz (FA)","1","1","100.0%","7","7.0","0","10.0%","0","0","0","0%","0","15","1.7","0.1","0.0%"
"83","Josh Oliver (MIN)","1","1","100.0%","6","6.0","0","7.1%","0","0","0","0%","0","4","1.6","0.4","0.2%"
"84","Geoff Swaim (FA)","1","2","50.0%","5","5.0","0","14.3%","0","0","0","0%","0","6","1.5","0.3","0.0%"
"85","Tommy Sweeney (CHI)","1","1","100.0%","3","3.0","0","12.5%","0","0","0","0%","0","6","1.3","0.2","0.0%"
"86","Rhett Ellison (FA)","1","2","50.0%","3","3.0","0","10.5%","0","0","0","0%","0","10","1.3","0.1","0.0%"
"87","Levine Toilolo (FA)","1","1","100.0%","2","2.0","0","4.8%","0","0","0","0.0%","0","13","1.2","0.1","0.0%"
"88","Luke Stocker (FA)","1","2","50.0%","2","2.0","0","10.5%","0","0","0","0%","0","15","1.2","0.1","0.0%"
"89","Adam Shaheen (FA)","0","3","0.0%","0","0","0","33.3%","0","0","0","0%","0","8","0.0","0.0","0.0%"
"90","Luke Willson (FA)","0","1","0.0%","0","0","0","6.3%","0","0","0","0%","0","9","0.0","0.0","0.0%"
"91","Ross Travis (FA)","0","1","0.0%","0","0","0","3.8%","0","0","0","0%","0","3","0.0","0.0","0.0%"
"92","Tanner Hudson (CIN)","0","2","0.0%","0","0","0","11.8%","0","0","0","0%","0","9","0.0","0.0","0.2%"
"93","MyCole Pruitt (PIT)","0","1","0.0%","0","0","0","6.3%","0","0","0","0.0%","0","16","0.0","0.0","0.0%"
"94","Isaac Nauta (FA)","0","1","0.0%","0","0","0","5.9%","0","0","0","0%","0","6","0.0","0.0","0.0%"
"95","Jace Sternberger (FA)","0","1","0.0%","0","0","0","6.7%","0","0","0","0%","0","6","0.0","0.0","0.0%"
"96","Lance Kendricks (FA)","0","1","0.0%","0","0","0","6.7%","0","0","0","0%","0","12","0.0","0.0","0.0%"
"97","Antony Auclair (FA)","0","1","0.0%","0","0","0","5.9%","0","0","0","0%","0","8","0.0","0.0","0.0%"
"98","Mo Alie-Cox (IND)","0","1","0.0%","0","0","0","3.8%","0","0","0","0%","0","16","0.0","0.0","0.1%"
"99","Trey Burton (FA)","0","2","0.0%","0","0","0","22.2%","0","0","0","0%","0","9","0.0","0.0","0.0%"
""
""
