"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Mark Andrews (BAL)","8","15","53.3%","83","10.4","8","55.6%","0","0","0","0%","0","15","64.3","4.3","99.8%"
"2","Darren Fells (FA)","10","12","83.3%","99","9.9","7","66.7%","0","0","0","0%","0","16","61.9","3.9","0.0%"
"3","Austin Hooper (NE)","9","16","56.3%","57","6.3","6","84.2%","0","0","0","0%","0","13","50.7","3.9","0.2%"
"4","Zach Ertz (WAS)","9","19","47.4%","44","4.9","5","63.3%","0","0","0","0%","0","15","43.4","2.9","2.5%"
"5","Kyle Rudolph (FA)","8","11","72.7%","51","6.4","5","55.0%","0","0","0","0%","0","16","43.1","2.7","0.0%"
"6","Foster Moreau (NO)","7","7","100.0%","55","7.9","5","33.3%","0","0","0","0%","0","13","42.5","3.3","0.1%"
"7","Jared Cook (FA)","5","10","50.0%","52","10.4","5","38.5%","0","0","0","0.0%","0","14","40.2","2.9","0.0%"
"8","Dallas Goedert (PHI)","8","11","72.7%","43","5.4","4","36.7%","0","0","0","0%","0","15","36.3","2.4","86.8%"
"9","Jason Witten (FA)","7","10","70.0%","50","7.1","4","83.3%","0","0","0","0%","0","16","36.0","2.3","0.0%"
"10","Taysom Hill (NO)","6","6","100.0%","38","6.3","4","23.1%","6","1","0","100.0%","0","16","33.9","2.1","16.2%"
"11","Ryan Griffin (FA)","5","6","83.3%","37","7.4","4","85.7%","0","0","0","0%","0","13","32.7","2.5","0.0%"
"12","Will Dissly (LAC)","4","6","66.7%","39","9.8","4","37.5%","0","0","0","0%","0","6","31.9","5.3","0.6%"
"13","Darren Waller (FA)","7","11","63.6%","60","8.6","3","52.4%","0","0","0","0%","0","16","31.0","1.9","3.4%"
"14","Hunter Henry (NE)","7","10","70.0%","50","7.1","3","66.7%","0","0","0","0%","0","12","30.0","2.5","20.3%"
"15","Travis Kelce (KC)","7","19","36.8%","41","5.9","2","100.0%","1","4","1","100.0%","0","16","29.5","1.8","99.9%"
"16","Tyler Higbee (LAR)","11","15","73.3%","61","5.5","2","65.2%","0","0","0","0.0%","0","15","29.1","1.9","1.4%"
"17","Vance McDonald (FA)","7","9","77.8%","38","5.4","3","81.8%","0","0","0","0%","0","14","28.8","2.1","0.0%"
"18","Josh Hill (FA)","8","10","80.0%","25","3.1","3","38.5%","0","0","0","0.0%","0","16","28.5","1.8","0.0%"
"19","George Kittle (SF)","11","17","64.7%","58","5.3","2","81.0%","2","-5","0","100.0%","0","14","28.3","2.0","98.5%"
"20","Cameron Brate (FA)","5","6","83.3%","40","8.0","3","35.3%","0","0","0","0%","0","16","27.0","1.7","2.0%"
"21","Jacob Hollister (CAR)","6","9","66.7%","28","4.7","3","56.3%","0","0","0","0%","0","11","26.8","2.4","0.0%"
"22","Jack Doyle (FA)","5","12","41.7%","36","7.2","3","46.2%","0","0","0","0%","0","16","26.6","1.7","2.0%"
"23","Jimmy Graham (FA)","5","10","50.0%","36","7.2","3","66.7%","0","0","0","0%","0","16","26.6","1.7","0.0%"
"24","Kaden Smith (FA)","5","5","100.0%","20","4.0","3","26.3%","0","0","0","0%","0","9","25.0","2.8","0.0%"
"25","Mike Gesicki (CIN)","3","9","33.3%","38","12.7","3","100.0%","0","0","0","0%","0","16","24.8","1.6","3.4%"
"26","Ricky Seals-Jones (FA)","4","6","66.7%","19","4.8","3","35.3%","0","0","0","0%","0","14","23.9","1.7","0.0%"
"27","Gerald Everett (CHI)","7","8","87.5%","42","6.0","2","34.8%","1","0","0","100.0%","0","13","23.2","1.8","0.7%"
"28","Irv Smith Jr. (KC)","7","9","77.8%","39","5.6","2","45.0%","0","0","0","0%","0","16","22.9","1.4","0.1%"
"29","Jonnu Smith (MIA)","5","6","83.3%","44","8.8","2","37.5%","1","4","0","100.0%","0","16","21.8","1.4","4.7%"
"30","Eric Ebron (FA)","6","11","54.5%","36","6.0","2","42.3%","0","0","0","0%","0","11","21.6","2.0","0.0%"
"31","Tyler Eifert (FA)","4","9","44.4%","39","9.8","2","42.9%","0","0","0","0%","0","16","19.9","1.2","0.0%"
"32","Evan Engram (JAC)","5","11","45.5%","23","4.6","2","57.9%","0","0","0","0%","0","8","19.3","2.4","95.5%"
"33","Greg Olsen (FA)","5","11","45.5%","19","3.8","2","84.6%","0","0","0","0%","0","14","18.9","1.4","7.0%"
"34","James O'Shaughnessy (FA)","3","4","75.0%","32","10.7","2","28.6%","0","0","0","0%","0","5","18.2","3.6","0.0%"
"35","Logan Thomas (FA)","5","7","71.4%","62","12.4","1","41.2%","0","0","0","0%","0","16","17.2","1.1","0.6%"
"36","Ross Dwelley (ATL)","3","3","100.0%","15","5.0","2","14.3%","0","0","0","0.0%","0","16","16.5","1.0","0.0%"
"37","Delanie Walker (FA)","2","5","40.0%","18","9.0","2","31.3%","0","0","0","0.0%","0","7","15.8","2.3","0.1%"
"38","Nick Boyle (FA)","2","5","40.0%","8","4.0","2","18.5%","0","0","0","0%","0","16","14.8","0.9","0.0%"
"39","Demetrius Harris (FA)","2","7","28.6%","3","1.5","2","41.2%","0","0","0","0%","0","15","14.3","1.0","0.0%"
"40","Charles Clay (FA)","4","5","80.0%","38","9.5","1","50.0%","0","0","0","0%","0","15","13.8","0.9","0.0%"
"41","Maxx Williams (FA)","3","4","75.0%","39","13.0","1","40.0%","0","0","0","0%","0","16","12.9","0.8","0.0%"
