"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"85","Trevon Wesco (FA)","1","1","100.0%","5","5.0","0","16.7%","1","0","0","100.0%","0","12","1.5","0.1","0.0%"
"86","Juwan Johnson (NO)","1","1","100.0%","5","5.0","0","5.0%","0","0","0","0.0%","0","7","1.5","0.2","5.5%"
"87","Vance McDonald (FA)","1","1","100.0%","3","3.0","0","5.0%","0","0","0","0%","0","14","1.3","0.1","0.0%"
"88","Marcus Baugh (FA)","1","1","100.0%","2","2.0","0","5.9%","0","0","0","0.0%","0","8","1.2","0.2","0.0%"
"89","Cethan Carter (FA)","1","1","100.0%","1","1.0","0","7.1%","0","0","0","0%","0","15","1.1","0.1","0.0%"
"90","Jake Butt (FA)","1","1","100.0%","0","0.0","0","4.3%","0","0","0","0%","0","5","1.0","0.2","0.1%"
"91","Ben Ellefson (FA)","0","0","0%","0","0","0","0.0%","0","0","0","0%","0","7","0.0","0.0","0.0%"
"92","Devin Asiasi (FA)","0","1","0.0%","0","0","0","8.3%","0","0","0","0%","0","8","0.0","0.0","0.0%"
"93","Ryan Izzo (FA)","0","1","0.0%","0","0","0","8.3%","0","0","0","0%","0","12","0.0","0.0","0.0%"
"94","Darrell Daniels (FA)","0","0","0%","0","0","0","0.0%","0","0","0","0%","0","12","0.0","0.0","0.0%"
"95","Luke Stocker (FA)","0","1","0.0%","0","0","0","7.7%","0","0","0","0%","0","16","0.0","0.0","0.0%"
"96","Kahale Warring (FA)","0","2","0.0%","0","0","0","13.3%","0","0","0","0%","0","7","0.0","0.0","0.0%"
"97","J.P. Holtz (FA)","0","1","0.0%","0","0","0","3.6%","0","0","0","0.0%","0","16","0.0","0.0","0.0%"
"98","Isaac Nauta (FA)","0","1","0.0%","0","0","0","4.0%","0","0","0","0%","0","7","0.0","0.0","0.0%"
"99","Luke Willson (FA)","0","1","0.0%","0","0","0","4.2%","0","0","0","0%","0","8","0.0","0.0","0.0%"
"100","Tyler Davis (GB)","0","1","0.0%","0","0","0","7.1%","0","0","0","0%","0","8","0.0","0.0","0.0%"
""
""
