"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Travis Kelce (KC)","14","22","63.6%","100","7.1","10","95.7%","0","0","0","0%","0","15","84.2","5.6","99.9%"
"2","Taysom Hill (NO)","1","2","50.0%","20","20.0","1","10.0%","26","92","7","100.0%","1","16","73.8","4.6","16.2%"
"3","Jonnu Smith (MIA)","10","16","62.5%","60","6.0","8","57.1%","1","1","1","100.0%","0","15","70.1","4.7","4.7%"
"4","Darren Waller (FA)","18","23","78.3%","109","6.1","6","74.2%","0","0","0","0%","0","16","64.9","4.1","3.4%"
"5","Jimmy Graham (FA)","12","19","63.2%","82","6.8","7","67.9%","0","0","0","0.0%","0","16","62.2","3.9","0.0%"
"6","Logan Thomas (FA)","14","16","87.5%","104","7.4","5","94.1%","1","2","0","100.0%","0","16","54.6","3.4","0.6%"
"7","Robert Tonyan (MIN)","9","10","90.0%","64","7.1","6","58.8%","0","0","0","0%","0","16","51.4","3.2","0.0%"
"8","T.J. Hockenson (MIN)","9","17","52.9%","59","6.6","6","68.0%","0","0","0","0%","0","16","50.9","3.2","78.6%"
"9","Eric Ebron (FA)","10","19","52.6%","90","9.0","5","95.0%","0","0","0","0%","0","15","49.0","3.3","0.0%"
"10","Irv Smith Jr. (KC)","8","12","66.7%","60","7.5","5","66.7%","0","0","0","0%","0","13","44.0","3.4","0.1%"
"11","Jared Cook (FA)","7","13","53.8%","74","10.6","5","65.0%","0","0","0","0.0%","1","15","42.4","2.8","0.0%"
"12","Mike Gesicki (CIN)","6","14","42.9%","56","9.3","5","53.8%","0","0","0","0%","0","15","41.6","2.8","3.4%"
"13","Mark Andrews (BAL)","10","16","62.5%","73","7.3","4","84.2%","0","0","0","0%","0","14","41.3","3.0","99.8%"
"14","Trey Burton (FA)","6","9","66.7%","50","8.3","3","40.9%","2","3","2","100.0%","0","13","41.3","3.2","0.0%"
"15","Rob Gronkowski (FA)","6","16","37.5%","35","5.8","5","69.6%","0","0","0","0%","0","16","39.5","2.5","1.5%"
"16","Jordan Reed (FA)","5","8","62.5%","45","9.0","4","50.0%","0","0","0","0.0%","0","10","33.5","3.4","19.0%"
"17","Hunter Henry (NE)","6","14","42.9%","27","4.5","4","73.7%","0","0","0","0%","0","14","32.7","2.3","20.3%"
"18","Dalton Schultz (HOU)","8","12","66.7%","61","7.6","3","80.0%","0","0","0","0.0%","0","16","32.1","2.0","76.8%"
"19","Noah Fant (SEA)","7","11","63.6%","69","9.9","3","47.8%","0","0","0","0%","0","15","31.9","2.1","15.6%"
"20","Tyler Higbee (LAR)","5","5","100.0%","19","3.8","4","55.6%","0","0","0","0.0%","0","15","30.9","2.1","1.4%"
"21","Jack Doyle (FA)","6","8","75.0%","54","9.0","3","36.4%","0","0","0","0.0%","0","14","29.4","2.1","2.0%"
"22","Jacob Hollister (CAR)","6","9","66.7%","42","7.0","3","37.5%","0","0","0","0%","0","16","28.2","1.8","0.0%"
"23","Dawson Knox (BUF)","6","10","60.0%","38","6.3","3","55.6%","0","0","0","0%","0","12","27.8","2.3","3.8%"
"24","Tyler Kroft (FA)","5","5","100.0%","25","5.0","3","27.8%","0","0","0","0%","0","10","25.5","2.6","0.0%"
"25","Harrison Bryant (LV)","4","5","80.0%","21","5.3","3","29.4%","0","0","0","0%","0","15","24.1","1.6","0.0%"
"26","Hayden Hurst (LAC)","4","12","33.3%","21","5.3","3","92.3%","0","0","0","0%","0","16","24.1","1.5","1.6%"
"27","Austin Hooper (NE)","4","8","50.0%","18","4.5","3","47.1%","0","0","0","0%","0","13","23.8","1.8","0.2%"
"28","Marcedes Lewis (CHI)","3","4","75.0%","24","8.0","3","23.5%","0","0","0","0%","0","15","23.4","1.6","0.1%"
"29","Dan Arnold (FA)","4","5","80.0%","10","2.5","3","55.6%","0","0","0","0%","0","16","23.0","1.4","0.0%"
"30","Adam Shaheen (FA)","3","6","50.0%","14","4.7","3","23.1%","0","0","0","0%","0","16","22.4","1.4","0.0%"
"31","Evan Engram (JAC)","5","13","38.5%","39","7.8","1","76.5%","3","5","1","100.0%","0","16","21.4","1.3","95.5%"
"32","Tyler Eifert (FA)","5","11","45.5%","34","6.8","2","78.6%","0","0","0","0%","0","15","20.4","1.4","0.0%"
"33","Dallas Goedert (PHI)","5","6","83.3%","32","6.4","2","35.3%","0","0","0","0%","0","11","20.2","1.8","86.8%"
"34","Jesse James (FA)","5","7","71.4%","28","5.6","2","28.0%","0","0","0","0%","0","16","19.8","1.2","0.0%"
"35","Jason Witten (FA)","4","7","57.1%","16","4.0","2","22.6%","0","0","0","0%","0","16","17.6","1.1","0.0%"
"36","Nick Boyle (FA)","3","3","100.0%","23","7.7","2","15.8%","0","0","0","0%","0","9","17.3","1.9","0.0%"
"37","Durham Smythe (MIA)","4","6","66.7%","13","3.3","2","23.1%","0","0","0","0%","0","15","17.3","1.2","0.2%"
"38","Gerald Everett (CHI)","2","3","66.7%","28","14.0","1","33.3%","1","2","1","100.0%","0","16","17.0","1.1","0.7%"
"39","Will Dissly (LAC)","2","4","50.0%","29","14.5","2","16.7%","0","0","0","0%","0","16","16.9","1.1","0.6%"
"40","Mo Alie-Cox (IND)","3","5","60.0%","16","5.3","2","22.7%","0","0","0","0.0%","0","15","16.6","1.1","0.1%"
"41","Cameron Brate (FA)","3","3","100.0%","11","3.7","2","13.0%","0","0","0","0%","0","16","16.1","1.0","2.0%"
"42","David Njoku (CLE)","2","3","66.7%","17","8.5","2","17.6%","0","0","0","0%","0","13","15.7","1.2","92.1%"
"43","Chris Herndon IV (FA)","2","4","50.0%","17","8.5","2","66.7%","0","0","0","0.0%","0","16","15.7","1.0","0.0%"
"44","Cole Kmet (CHI)","2","5","40.0%","20","10.0","2","17.9%","1","-3","0","100.0%","0","16","15.7","1.0","64.2%"
"45","Darren Fells (FA)","2","4","50.0%","11","5.5","2","26.7%","0","0","0","0%","0","16","15.1","0.9","0.0%"
"46","Greg Olsen (FA)","5","9","55.6%","40","8.0","1","37.5%","0","0","0","0%","0","11","15.0","1.4","7.0%"
"47","Lee Smith (FA)","2","3","66.7%","5","2.5","2","16.7%","0","0","0","0%","0","10","14.5","1.5","0.0%"
"48","Jordan Akins (CLE)","4","7","57.1%","42","10.5","1","46.7%","0","0","0","0%","0","13","14.2","1.1","0.1%"
"49","Drew Sample (CIN)","4","11","36.4%","35","8.8","1","78.6%","0","0","0","0%","0","16","13.5","0.8","0.1%"
"50","Anthony Firkser (NYJ)","4","7","57.1%","26","6.5","1","25.0%","0","0","0","0.0%","0","16","12.6","0.8","0.0%"
"51","Zach Ertz (WAS)","4","6","66.7%","22","5.5","1","35.3%","0","0","0","0%","0","11","12.2","1.1","2.5%"
"52","Geoff Swaim (FA)","3","3","100.0%","29","9.7","1","10.7%","0","0","0","0.0%","0","10","11.9","1.2","0.0%"
"53","Richard Rodgers (FA)","2","3","66.7%","37","18.5","1","17.6%","0","0","0","0%","0","14","11.7","0.8","0.0%"
"54","Adam Trautman (DEN)","3","3","100.0%","19","6.3","1","15.0%","0","0","0","0.0%","0","15","10.9","0.7","0.1%"
"55","Maxx Williams (FA)","3","3","100.0%","18","6.0","1","33.3%","0","0","0","0%","0","9","10.8","1.2","0.0%"
"56","Jace Sternberger (FA)","3","3","100.0%","16","5.3","1","17.6%","0","0","0","0%","0","12","10.6","0.9","0.0%"
"57","Pharaoh Brown (SEA)","2","2","100.0%","22","11.0","1","13.3%","0","0","0","0%","0","13","10.2","0.8","0.1%"
"58","Albert Okwuegbunam Jr. (PHI)","2","4","50.0%","20","10.0","1","17.4%","0","0","0","0%","0","4","10.0","2.5","0.1%"
"59","Nick Vannett (TEN)","2","3","66.7%","17","8.5","1","13.0%","0","0","0","0%","0","15","9.7","0.6","0.0%"
"60","Ross Dwelley (ATL)","2","3","66.7%","17","8.5","1","18.8%","0","0","0","0.0%","0","16","9.7","0.6","0.0%"
"61","George Kittle (SF)","2","4","50.0%","7","3.5","1","25.0%","1","9","0","100.0%","0","8","9.6","1.2","98.5%"
"62","Ian Thomas (CAR)","2","3","66.7%","13","6.5","1","75.0%","0","0","0","0%","0","16","9.3","0.6","0.0%"
"63","O.J. Howard (FA)","2","3","66.7%","12","6.0","1","13.0%","0","0","0","0%","0","4","9.2","2.3","0.0%"
"64","Tyler Conklin (NYJ)","1","1","100.0%","20","20.0","1","5.6%","0","0","0","0%","0","16","9.0","0.6","17.0%"
"65","Kyle Rudolph (FA)","2","5","40.0%","9","4.5","1","27.8%","0","0","0","0%","0","12","8.9","0.7","0.0%"
"66","Donald Parham Jr. (LAC)","1","5","20.0%","19","19.0","1","26.3%","0","0","0","0%","0","13","8.9","0.7","0.6%"
"67","Colin Thompson (FA)","1","1","100.0%","7","7.0","1","25.0%","0","0","0","0%","0","15","7.7","0.5","0.0%"
"68","Jason Croom (FA)","1","1","100.0%","3","3.0","1","5.9%","0","0","0","0%","0","4","7.3","1.8","0.0%"
"69","Jordan Thomas (ATL)","1","1","100.0%","3","3.0","1","11.1%","0","0","0","0%","0","6","7.3","1.2","0.0%"
"70","Josh Hill (FA)","1","1","100.0%","3","3.0","1","5.0%","0","0","0","0.0%","0","14","7.3","0.5","0.0%"
"71","Foster Moreau (NO)","1","1","100.0%","1","1.0","1","3.2%","0","0","0","0%","0","16","7.1","0.4","0.1%"
"72","MyCole Pruitt (PIT)","1","2","50.0%","1","1.0","1","7.1%","0","0","0","0.0%","0","11","7.1","0.6","0.0%"
"73","James O'Shaughnessy (FA)","2","2","100.0%","19","9.5","0","14.3%","0","0","0","0%","0","15","3.9","0.3","0.0%"
"74","Blake Bell (FA)","2","3","66.7%","12","6.0","0","20.0%","1","2","0","100.0%","0","16","3.4","0.2","0.0%"
"75","Troy Fumagalli (FA)","2","4","50.0%","12","6.0","0","17.4%","0","0","0","0%","0","8","3.2","0.4","0.0%"
"76","Charlie Woerner (ATL)","1","1","100.0%","18","18.0","0","6.3%","0","0","0","0.0%","0","14","2.8","0.2","0.1%"
"77","Kaden Smith (FA)","2","4","50.0%","3","1.5","0","23.5%","0","0","0","0.0%","0","15","2.3","0.2","0.0%"
"78","Tanner Hudson (CIN)","1","1","100.0%","12","12.0","0","4.3%","0","0","0","0%","0","11","2.2","0.2","0.2%"
"79","Stephen Carlson (CHI)","1","1","100.0%","11","11.0","0","5.9%","0","0","0","0%","0","16","2.1","0.1","0.0%"
"80","Johnny Mundt (MIN)","1","1","100.0%","7","7.0","0","11.1%","0","0","0","0.0%","0","16","1.7","0.1","2.8%"
"81","Colby Parkinson (LAR)","1","1","100.0%","6","6.0","0","4.2%","0","0","0","0%","0","6","1.6","0.3","2.5%"
"82","C.J. Uzomah (FA)","1","2","50.0%","6","6.0","0","14.3%","0","0","0","0%","0","2","1.6","0.8","0.1%"
"83","Demetrius Harris (FA)","1","3","33.3%","6","6.0","0","10.7%","0","0","0","0.0%","0","15","1.6","0.1","0.0%"
"84","Deon Yelder (FA)","1","1","100.0%","6","6.0","0","4.3%","0","0","0","0%","0","14","1.6","0.1","0.0%"
