"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Travis Kelce (KC)","17","29","58.6%","102","6.0","10","74.4%","2","5","0","66.7%","0","17","87.7","5.2","99.9%"
"2","Taysom Hill (NO)","2","3","66.7%","8","4.0","1","17.6%","18","69","6","100.0%","0","16","51.7","3.2","16.2%"
"3","T.J. Hockenson (MIN)","12","20","60.0%","74","6.2","5","66.7%","0","0","0","0%","0","17","49.4","2.9","78.6%"
"4","Mark Andrews (BAL)","11","18","61.1%","68","6.2","5","48.6%","0","0","0","0%","0","15","47.8","3.2","99.8%"
"5","Mike Gesicki (CIN)","9","12","75.0%","77","8.6","5","80.0%","0","0","0","0.0%","0","17","46.7","2.7","3.4%"
"6","Juwan Johnson (NO)","7","11","63.6%","73","10.4","5","64.7%","0","0","0","0.0%","0","16","44.3","2.8","5.5%"
"7","Dalton Schultz (HOU)","8","16","50.0%","59","7.4","5","76.2%","0","0","0","0.0%","0","15","43.9","2.9","76.8%"
"8","Cole Kmet (CHI)","7","9","77.8%","49","7.0","5","64.3%","0","0","0","0%","0","17","41.9","2.5","64.2%"
"9","David Njoku (CLE)","11","19","57.9%","77","7.0","3","65.5%","0","0","0","0%","0","14","36.7","2.6","92.1%"
"10","Zach Ertz (WAS)","8","15","53.3%","42","5.3","4","93.8%","0","0","0","0%","0","10","36.2","3.6","2.5%"
"11","Dawson Knox (BUF)","6","10","60.0%","48","8.0","4","83.3%","0","0","0","0%","0","15","34.8","2.3","3.8%"
"12","Gerald Everett (CHI)","9","16","56.3%","64","7.1","3","69.6%","0","0","0","0%","0","15","33.4","2.2","0.7%"
"13","Noah Fant (SEA)","6","9","66.7%","25","4.2","4","40.9%","0","0","0","0%","0","17","32.5","1.9","15.6%"
"14","Tyler Higbee (LAR)","8","15","53.3%","61","7.6","3","93.8%","0","0","0","0%","0","16","32.1","2.0","1.4%"
"15","Shane Zylstra (DET)","4","4","100.0%","12","3.0","4","40.0%","0","0","0","0%","0","9","29.2","3.2","0.0%"
"16","George Kittle (SF)","6","13","46.2%","48","8.0","3","100.0%","0","0","0","0%","0","15","28.8","1.9","98.5%"
"17","Daniel Bellinger (NYG)","5","6","83.3%","47","9.4","2","75.0%","1","2","1","100.0%","0","11","27.9","2.5","0.5%"
"18","Brock Wright (DET)","5","5","100.0%","34","6.8","3","50.0%","0","0","0","0%","0","14","26.4","1.9","0.2%"
"19","MyCole Pruitt (PIT)","5","6","83.3%","24","4.8","3","42.9%","0","0","0","0%","0","10","25.4","2.5","0.0%"
"20","Jelani Woods (IND)","4","4","100.0%","29","7.3","3","36.4%","0","0","0","0%","0","12","24.9","2.1","1.0%"
"21","Pat Freiermuth (PIT)","6","12","50.0%","61","10.2","2","80.0%","0","0","0","0%","0","15","24.1","1.6","69.2%"
"22","Tyler Conklin (NYJ)","3","5","60.0%","20","6.7","3","71.4%","1","1","0","100.0%","0","17","23.1","1.4","17.0%"
"23","Dallas Goedert (PHI)","6","8","75.0%","48","8.0","2","72.7%","0","0","0","0%","0","12","22.8","1.9","86.8%"
"24","Peyton Hendershot (DAL)","2","2","100.0%","22","11.0","2","9.5%","1","2","1","100.0%","0","12","22.4","1.9","0.1%"
"25","Austin Hooper (NE)","5","7","71.4%","53","10.6","2","38.9%","0","0","0","0%","0","17","22.3","1.3","0.2%"
"26","Will Dissly (LAC)","5","6","83.3%","47","9.4","2","27.3%","0","0","0","0%","0","15","21.7","1.4","0.6%"
"27","Jordan Akins (CLE)","5","9","55.6%","36","7.2","2","47.4%","0","0","0","0%","0","15","20.6","1.4","0.1%"
"28","Hayden Hurst (LAC)","5","8","62.5%","35","7.0","2","72.7%","0","0","0","0%","0","14","20.5","1.5","1.6%"
"29","Isaiah Likely (BAL)","5","9","55.6%","24","4.8","2","24.3%","0","0","0","0%","0","14","19.4","1.4","13.3%"
"30","Evan Engram (JAC)","4","9","44.4%","30","7.5","2","75.0%","1","0","0","100.0%","0","17","19.0","1.1","95.5%"
"31","Tommy Tremble (CAR)","4","7","57.1%","26","6.5","2","77.8%","0","0","0","0%","0","15","18.6","1.2","0.2%"
"32","Cade Otton (TB)","5","15","33.3%","14","2.8","2","71.4%","0","0","0","0%","0","16","18.4","1.2","17.6%"
"33","Josh Oliver (MIN)","4","10","40.0%","24","6.0","2","27.0%","0","0","0","0%","0","12","18.4","1.5","0.2%"
"34","Irv Smith Jr. (KC)","4","6","66.7%","20","5.0","2","20.0%","0","0","0","0%","0","8","18.0","2.3","0.1%"
