"Rank","Player","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","ATT","YDS","TD","PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Mark Andrews (BAL)","14","21","66.7%","102","7.3","9","87.5%","0","0","0","0%","0","17","78.2","4.6","99.8%"
"2","Hunter Henry (NE)","9","18","50.0%","77","8.6","9","62.1%","0","0","0","0.0%","0","16","70.7","4.4","20.3%"
"3","Pat Freiermuth (PIT)","12","18","66.7%","81","6.8","7","69.2%","0","0","0","0.0%","0","16","62.1","3.9","69.2%"
"4","Travis Kelce (KC)","12","15","80.0%","64","5.3","6","65.2%","2","3","1","66.7%","0","16","60.7","3.8","99.9%"
"5","Dawson Knox (BUF)","11","18","61.1%","64","5.8","6","94.7%","0","0","0","0%","0","15","53.4","3.6","3.8%"
"6","Noah Fant (SEA)","11","15","73.3%","91","8.3","4","71.4%","0","0","0","0%","0","16","44.1","2.8","15.6%"
"7","Cameron Brate (FA)","11","20","55.0%","87","7.9","4","57.1%","0","0","0","0%","0","16","43.7","2.7","2.0%"
"8","Rob Gronkowski (FA)","6","12","50.0%","54","9.0","5","34.3%","0","0","0","0%","0","12","41.4","3.5","1.5%"
"9","Tyler Higbee (LAR)","12","18","66.7%","86","7.2","3","90.0%","0","0","0","0%","0","15","38.6","2.6","1.4%"
"10","T.J. Hockenson (MIN)","7","10","70.0%","60","8.6","4","71.4%","0","0","0","0%","0","12","37.0","3.1","78.6%"
"11","Dalton Schultz (HOU)","7","12","58.3%","60","8.6","4","66.7%","0","0","0","0%","0","17","37.0","2.2","76.8%"
"12","Taysom Hill (NO)","0","0","0%","0","0","0","0.0%","14","71","4","100.0%","0","12","36.5","3.0","16.2%"
"13","George Kittle (SF)","7","8","87.5%","53","7.6","4","100.0%","0","0","0","0%","0","14","36.3","2.6","98.5%"
"14","Tyler Conklin (NYJ)","10","16","62.5%","65","6.5","3","94.1%","0","0","0","0%","0","17","34.5","2.0","17.0%"
"15","Zach Ertz (WAS)","7","17","41.2%","29","4.1","4","85.0%","1","4","0","100.0%","0","17","34.3","2.0","2.5%"
"16","Jared Cook (FA)","6","12","50.0%","35","5.8","4","60.0%","0","0","0","0%","0","16","33.5","2.1","0.0%"
"17","Austin Hooper (NE)","9","12","75.0%","63","7.0","3","44.4%","0","0","0","0%","0","15","33.3","2.2","0.2%"
"18","Hayden Hurst (LAC)","6","7","85.7%","62","10.3","3","30.4%","0","0","0","0%","0","12","30.2","2.5","1.6%"
"19","David Njoku (CLE)","5","9","55.6%","51","10.2","3","33.3%","0","0","0","0%","0","15","28.1","1.9","92.1%"
"20","Foster Moreau (NO)","4","6","66.7%","45","11.3","3","30.0%","0","0","0","0%","0","15","26.5","1.8","0.1%"
"21","Jimmy Graham (FA)","4","8","50.0%","44","11.0","3","32.0%","0","0","0","0.0%","0","11","26.4","2.4","0.0%"
"22","Mo Alie-Cox (IND)","5","9","55.6%","29","5.8","3","42.9%","0","0","0","0%","0","17","25.9","1.5","0.1%"
"23","Jack Doyle (FA)","5","8","62.5%","26","5.2","3","38.1%","0","0","0","0%","0","15","25.6","1.7","2.0%"
"24","Logan Thomas (FA)","4","5","80.0%","34","8.5","3","25.0%","0","0","0","0%","0","5","25.4","5.1","0.6%"
"25","Brevin Jordan (HOU)","4","4","100.0%","31","7.8","3","36.4%","0","0","0","0%","0","8","25.1","3.1","0.1%"
"26","Juwan Johnson (NO)","4","5","80.0%","28","7.0","3","33.3%","0","0","0","0.0%","0","13","24.8","1.9","5.5%"
"27","Geoff Swaim (FA)","5","8","62.5%","15","3.0","3","40.0%","0","0","0","0%","0","16","24.5","1.5","0.0%"
"28","Harrison Bryant (LV)","4","4","100.0%","13","3.3","3","14.8%","0","0","0","0%","0","15","23.3","1.6","0.0%"
"29","MyCole Pruitt (PIT)","3","6","50.0%","21","7.0","3","30.0%","0","0","0","0%","0","13","23.1","1.8","0.0%"
"30","Dallas Goedert (PHI)","5","7","71.4%","52","10.4","2","77.8%","0","0","0","0%","0","15","22.2","1.5","86.8%"
"31","Mike Gesicki (CIN)","7","11","63.6%","31","4.4","2","45.8%","0","0","0","0.0%","0","17","22.1","1.3","3.4%"
"32","Darren Waller (FA)","6","13","46.2%","37","6.2","2","65.0%","0","0","0","0%","0","11","21.7","2.0","3.4%"
"33","Gerald Everett (CHI)","4","7","57.1%","16","4.0","3","63.6%","0","0","0","0%","1","15","21.6","1.4","0.7%"
"34","Ricky Seals-Jones (FA)","7","13","53.8%","53","7.6","1","65.0%","0","0","0","0%","0","11","18.3","1.7","0.0%"
"35","Evan Engram (JAC)","3","5","60.0%","27","9.0","2","35.7%","1","-3","0","100.0%","0","15","17.4","1.2","95.5%"
"36","Tommy Tremble (CAR)","3","3","100.0%","9","3.0","1","23.1%","2","7","1","100.0%","0","15","16.6","1.1","0.2%"
"37","Ryan Griffin (FA)","3","6","50.0%","14","4.7","2","75.0%","0","0","0","0%","0","14","16.4","1.2","0.0%"
"38","Jesper Horsted (CAR)","2","3","66.7%","21","10.5","2","12.0%","0","0","0","0.0%","0","4","16.1","4.0","0.0%"
"39","Blake Jarwin (FA)","2","4","50.0%","19","9.5","2","22.2%","0","0","0","0%","0","8","15.9","2.0","4.0%"
"40","Robert Tonyan (MIN)","5","6","83.3%","43","8.6","1","30.0%","0","0","0","0%","0","8","15.3","1.9","0.0%"
"41","Albert Okwuegbunam Jr. (PHI)","4","5","80.0%","13","3.3","2","23.8%","0","0","0","0%","1","14","15.3","1.1","0.1%"
"42","Donald Parham Jr. (LAC)","2","6","33.3%","12","6.0","2","30.0%","0","0","0","0%","0","14","15.2","1.1","0.6%"
"43","Jody Fortson Jr. (MIA)","2","2","100.0%","4","2.0","2","8.7%","0","0","0","0.0%","0","4","14.4","3.6","0.0%"
"44","Jonnu Smith (MIA)","5","10","50.0%","25","5.0","1","34.5%","2","7","0","100.0%","0","16","14.2","0.9","4.7%"
"45","Kyle Pitts (ATL)","5","14","35.7%","31","6.2","1","60.9%","0","0","0","0%","0","17","14.1","0.8","95.4%"
"46","Anthony Firkser (NYJ)","4","5","80.0%","37","9.3","1","25.0%","0","0","0","0%","0","15","13.7","0.9","0.0%"
"47","Eric Ebron (FA)","1","3","33.3%","5","5.0","1","11.5%","1","1","1","100.0%","0","8","13.6","1.7","0.0%"
"48","Cole Kmet (CHI)","6","14","42.9%","50","8.3","0","56.0%","1","0","0","100.0%","0","17","11.0","0.6","64.2%"
"49","Adam Trautman (DEN)","3","7","42.9%","20","6.7","1","46.7%","0","0","0","0.0%","0","11","11.0","1.0","0.1%"
"50","Kyle Rudolph (FA)","3","8","37.5%","9","3.0","1","57.1%","0","0","0","0.0%","0","15","9.9","0.7","0.0%"
"51","Tyler Kroft (FA)","2","2","100.0%","18","9.0","1","25.0%","0","0","0","0%","0","9","9.8","1.1","0.0%"
"52","Antony Auclair (FA)","2","2","100.0%","17","8.5","1","18.2%","0","0","0","0%","0","4","9.7","2.4","0.0%"
"53","C.J. Uzomah (FA)","3","7","42.9%","7","2.3","1","100.0%","0","0","0","0%","0","16","9.7","0.6","0.1%"
"54","Noah Gray (KC)","2","5","40.0%","6","3.0","1","21.7%","0","0","0","0.0%","0","7","8.6","1.2","0.8%"
"55","Maxx Williams (FA)","1","1","100.0%","14","14.0","1","5.0%","0","0","0","0.0%","0","5","8.4","1.7","0.0%"
"56","Will Dissly (LAC)","2","3","66.7%","3","1.5","1","27.3%","0","0","0","0%","0","13","8.3","0.6","0.6%"
"57","John Bates (WAS)","1","2","50.0%","13","13.0","1","10.0%","0","0","0","0%","0","13","8.3","0.6","0.0%"
"58","Nick Vannett (TEN)","1","3","33.3%","11","11.0","1","20.0%","0","0","0","0.0%","0","7","8.1","1.2","0.0%"
"59","Sean McKeon (DET)","1","1","100.0%","10","10.0","1","5.6%","0","0","0","0%","0","5","8.0","1.6","0.0%"
"60","Jesse James (FA)","1","2","50.0%","8","8.0","1","7.4%","0","0","0","0%","0","5","7.8","1.6","0.0%"
"61","Chris Herndon IV (FA)","1","1","100.0%","2","2.0","1","5.9%","0","0","0","0%","0","6","7.2","1.2","0.0%"
"62","O.J. Howard (FA)","1","2","50.0%","2","2.0","1","5.7%","0","0","0","0%","0","11","7.2","0.7","0.0%"
"63","Stephen Anderson (FA)","1","2","50.0%","2","2.0","1","10.0%","0","0","0","0%","0","14","7.2","0.5","0.0%"
"64","Chris Myarick (JAC)","1","1","100.0%","1","1.0","1","7.1%","0","0","0","0.0%","0","5","7.1","1.4","0.0%"
"65","Lee Smith (FA)","1","2","50.0%","1","1.0","1","8.7%","0","0","0","0%","0","10","7.1","0.7","0.0%"
"66","Tommy Sweeney (CHI)","1","1","100.0%","1","1.0","1","5.3%","0","0","0","0%","0","7","7.1","1.0","0.0%"
"67","Jacob Hollister (CAR)","1","2","50.0%","1","1.0","1","66.7%","0","0","0","0%","0","7","7.1","1.0","0.0%"
"68","Eric Saubert (SF)","1","1","100.0%","1","1.0","1","4.8%","0","0","0","0%","0","10","7.1","0.7","0.0%"
"69","Marcedes Lewis (CHI)","4","6","66.7%","28","7.0","0","30.0%","0","0","0","0%","0","13","6.8","0.5","0.1%"
"70","Durham Smythe (MIA)","4","7","57.1%","16","4.0","0","29.2%","1","2","0","100.0%","0","16","5.8","0.4","0.2%"
"71","Adam Shaheen (FA)","3","6","50.0%","19","6.3","0","25.0%","0","0","0","0.0%","0","9","4.9","0.5","0.0%"
"72","Dan Arnold (FA)","2","4","50.0%","26","13.0","0","30.8%","0","0","0","0.0%","0","11","4.6","0.4","0.0%"
"73","Kylen Granson (IND)","3","4","75.0%","14","4.7","0","19.0%","0","0","0","0%","0","10","4.4","0.4","0.1%"
"74","Josiah Deguara (JAC)","3","7","42.9%","13","4.3","0","35.0%","0","0","0","0%","0","14","4.3","0.3","0.0%"
"75","Zach Gentry (LV)","2","5","40.0%","17","8.5","0","19.2%","0","0","0","0.0%","0","10","3.7","0.4","0.0%"
"76","Jack Stoll (NYG)","2","2","100.0%","13","6.5","0","22.2%","0","0","0","0%","0","6","3.3","0.6","0.0%"
"77","Blake Bell (FA)","1","1","100.0%","7","7.0","0","4.3%","1","3","0","33.3%","0","12","2.0","0.2","0.0%"
"78","Jeremy Sprinkle (FA)","1","1","100.0%","10","10.0","0","5.6%","0","0","0","0%","0","6","2.0","0.3","0.0%"
"79","Ian Thomas (CAR)","2","4","50.0%","0","0.0","0","30.8%","0","0","0","0.0%","0","14","2.0","0.1","0.0%"
"80","Josh Oliver (MIN)","1","2","50.0%","9","9.0","0","8.3%","0","0","0","0%","0","11","1.9","0.2","0.2%"
"81","Luke Farrell (JAC)","1","1","100.0%","7","7.0","0","33.3%","0","0","0","0%","0","9","1.7","0.2","0.1%"
"82","Jordan Akins (CLE)","1","5","20.0%","3","3.0","0","45.5%","0","0","0","0%","0","12","1.3","0.1","0.1%"
"83","Tommy Hudson (NO)","1","1","100.0%","3","3.0","0","5.0%","0","0","0","0%","0","4","1.3","0.3","0.0%"
"84","Kendall Blanton (FA)","1","2","50.0%","2","2.0","0","10.0%","0","0","0","0%","0","4","1.2","0.3","0.0%"
"85","Nick Boyle (FA)","1","1","100.0%","2","2.0","0","4.2%","0","0","0","0%","0","2","1.2","0.6","0.0%"
"86","Tyler Davis (GB)","1","1","100.0%","0","0.0","0","5.0%","0","0","0","0%","0","8","1.0","0.1","0.0%"
"87","Brock Wright (DET)","0","2","0.0%","0","0","0","14.3%","0","0","0","0%","0","8","0.0","0.0","0.2%"
"88","Demetrius Harris (FA)","0","1","0.0%","0","0","0","5.0%","0","0","0","0.0%","0","10","0.0","0.0","0.0%"
"89","Giovanni Ricci (CLE)","0","1","0.0%","0","0","0","7.7%","0","0","0","0.0%","0","9","0.0","0.0","0.0%"
