,pre_breakout_avg,normal_avg,percentage_diff
rank_adp,21.142857142857142,14.739583333333334,43.44270570418979
rank_total_ppr_points,11.357142857142858,8.5,33.61344537815127
ADP,188.7428571428572,141.734375,33.16660629636049
rz_Y/R,7.614285714285714,7.289583333333333,4.454333891315888
rz_G,15.571428571428571,15.364583333333334,1.3462469733656117
rec_G,15.571428571428571,15.40625,1.072152999130685
rec_Rec/Br,23.508333333333336,23.316470588235294,0.8228635820845452
rec_ADOT,7.664285714285714,7.604166666666667,0.7906066536203407
rec_Rat,102.24285714285713,102.609375,-0.35719724161936167
rec_YBC/R,6.307142857142857,6.434375,-1.9773815305626923
rec_YAC/R,4.771428571428571,4.891666666666667,-2.458018982720857
rec_Age,25.071428571428573,26.927083333333332,-6.8914064658745415
rz_TGT,12.571428571428571,13.645833333333334,-7.8735005452562765
rec_TD,4.785714285714286,5.395833333333333,-11.307225592939876
rz_REC,7.0,8.0,-12.5
rz_TD_rush,3.5714285714285716,4.114583333333333,-13.200723327305594
rec_Tgt,81.57142857142857,93.98958333333333,-13.21226706353604
rz_FPTS,33.32142857142858,38.68958333333333,-13.87493557543634
rec_Rec,56.285714285714285,65.38541666666667,-13.917021325018784
rz_YDS_rush,48.92857142857143,56.90625,-14.018984859182549
rec_Drop%,3.642857142857143,4.239583333333333,-14.07511407511407
rec_GS,11.0,12.802083333333334,-14.076484947111476
rz_FPTS/G,2.178571428571429,2.540625,-14.250571077139329
rz_TD_total,3.5714285714285716,4.166666666666667,-14.285714285714288
rz_YDS_total,48.92857142857143,57.291666666666664,-14.59740259740259
PPR_PTS,145.35,171.8635416666667,-15.427089078665865
rec_YBC,341.35714285714283,416.0416666666667,-17.95121253308535
rec_Yds,602.7857142857143,738.5833333333334,-18.38622846182363
rec_YAC,261.42857142857144,322.5416666666667,-18.947348995146438
rec_1D,30.357142857142858,37.6875,-19.45036721156124
rec_BrkTkl,3.0714285714285716,3.84375,-20.09291521486643
rec_Drop,2.9285714285714284,4.145833333333333,-29.361091170136394
rec_Int,1.5714285714285714,2.2291666666666665,-29.506008010680908
rz_ATT,0.07142857142857142,0.23958333333333334,-70.1863354037267
rz_FL,0.0,0.020833333333333332,-100.0
rz_TD_rec,0.0,0.052083333333333336,-100.0
rz_YDS_rec,0.0,0.3854166666666667,-100.0
