,pre_breakout_avg,normal_avg,percentage_diff
rz_FL,0.2692307692307692,0.23351648351648352,15.294117647058817
rush_Att/Br,28.41176470588235,25.756756756756758,10.3080056786618
ADP,449.17820512820515,409.982967032967,9.560211337288663
rank_adp,33.57692307692308,31.071428571428573,8.063660477453586
rz_INT,0.8846153846153846,0.8406593406593407,5.228758169934635
pass_IAY/PA,8.123076923076923,7.877472527472526,3.1178070726093443
rz_Y/A,3.93076923076923,3.8211538461538463,2.868646200301941
pass_YAC/Cmp,5.326923076923077,5.1997252747252745,2.446240819992603
rank_total_ppr_points,31.78205128205128,31.071428571428573,2.287061597406417
pass_CAY/PA,3.6653846153846157,3.6296703296703297,0.9839539812291943
pass_CAY/Cmp,5.746153846153847,5.728296703296702,0.3117356481703893
pass_G,9.935897435897436,9.917582417582418,0.184672206832871
rz_G,9.897435897435898,9.909340659340659,-0.12013677109323523
pass_Age,28.102564102564102,28.38736263736264,-1.0032581696183807
pass_GS,8.448717948717949,8.598901098901099,-1.7465388711395038
rush_TD,1.5128205128205128,1.5467032967032968,-2.190645352279462
pass_IAY,2264.0,2315.8901098901097,-2.2406119214599474
rz_SACKS,2.2435897435897436,2.2994505494505493,-2.4293110314615607
pass_Att,286.62820512820514,293.7857142857143,-2.4363026551210294
pass_CAY,1090.2179487179487,1120.9175824175825,-2.738794910632156
pass_Yds,2047.6923076923076,2106.868131868132,-2.8087103924892505
pass_YAC,957.474358974359,985.9505494505495,-2.888196623254553
pass_Cmp,184.26923076923077,189.8379120879121,-2.933387360530236
rush_YBC/Att,2.630769230769231,2.7153846153846155,-3.1161473087818585
rz_TD_rush,1.358974358974359,1.4038461538461537,-3.196347031963459
rz_YDS_rush,17.743589743589745,18.32967032967033,-3.1974420463628985
rz_FPTS/G,4.048717948717949,4.205494505494506,-3.727898266701493
rush_YAC,31.26923076923077,32.82692307692308,-4.745166959578214
PPR_PTS,136.9679487179487,145.21236263736262,-5.677487625487237
rush_YAC/Att,0.7051282051282052,0.760989010989011,-7.34055354993982
rz_TD_total,9.384615384615385,10.137362637362637,-7.425474254742539
rz_FPTS,46.6423076923077,50.45412087912088,-7.555008630406233
rz_ATT_pass,34.1025641025641,37.035714285714285,-7.919788344089211
rz_ATT_total,39.743589743589745,43.2032967032967,-8.007969816439859
rz_TD_pass,8.025641025641026,8.733516483516484,-8.105274195239595
rz_YDS_total,146.53846153846155,159.76923076923077,-8.281174771304764
rz_ATT_rush,5.641025641025641,6.167582417582418,-8.53749072011878
rush_Att,30.256410256410255,33.10164835164835,-8.595457437685008
rz_YDS_pass,128.7948717948718,141.43956043956044,-8.939994302437002
rz_COMP,18.96153846153846,20.956043956043956,-9.517566858940754
rush_1D,9.935897435897436,11.340659340659341,-12.386950904392767
rush_Yds,123.1025641025641,144.50274725274724,-14.809533768069095
rush_YBC,91.83333333333333,111.67582417582418,-17.767937679376796
rush_BrkTkl,0.8333333333333334,1.0961538461538463,-23.976608187134506
