"Player","year","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_FL","rz_G","rz_FPTS","rz_FPTS/G","rz_ROST %","rz_TD_total","rz_YDS_total"
Saquon Barkley,2022,37,105,2.8,8,"72.5%",0,2,"0.0%",0,0.0,0,"50.0%",0,16,58.5,3.7,"100.0%",8,105
Kenneth WalkerI,2022,43,148,3.4,7,"81.1%",1,1,"100.0%",4,4.0,0,"16.7%",0,15,58.2,3.9,"97.0%",7,152
Dalvin Cook,2022,39,88,2.3,6,"78.0%",5,10,"50.0%",40,8.0,1,"58.8%",1,17,57.8,3.4,"0.7%",7,128
Cordarrelle Patterson,2022,28,129,4.6,7,"33.7%",1,3,"33.3%",2,2.0,0,"42.9%",0,13,56.1,4.3,"0.9%",7,131
Leonard Fournette,2022,27,42,1.6,3,"73.0%",10,10,"100.0%",51,5.1,3,"55.6%",0,16,55.3,3.5,"2.1%",6,93
James Conner,2022,25,82,3.3,6,"67.6%",3,4,"75.0%",19,6.3,1,"66.7%",0,13,55.1,4.2,"91.2%",7,101
David Montgomery,2022,34,120,3.5,5,"57.6%",3,3,"100.0%",15,5.0,1,"60.0%",0,16,52.5,3.3,"93.4%",6,135
Aaron Jones,2022,29,101,3.5,2,"50.9%",9,10,"90.0%",34,3.8,3,"76.9%",1,17,50.5,3.0,"94.7%",5,135
Cam Akers,2022,26,76,2.9,7,"63.4%",1,2,"50.0%",1,1.0,0,"25.0%",1,15,48.7,3.2,"0.8%",7,77
AJ Dillon,2022,27,92,3.4,6,"47.4%",2,3,"66.7%",12,6.0,0,"23.1%",0,17,48.4,2.8,"5.4%",6,104
Clyde Edwards-Helaire,2022,11,27,2.5,3,"17.5%",6,6,"100.0%",28,4.7,3,"27.3%",0,10,47.5,4.8,"5.5%",6,55
Jeff Wilson,2022,27,88,3.3,4,"52.9%",4,5,"80.0%",33,8.3,1,"31.3%",0,16,46.1,2.9,"0.6%",5,121
Devin Singletary,2022,34,88,2.6,4,"58.6%",5,8,"62.5%",16,3.2,1,"47.1%",0,17,45.4,2.7,"84.1%",5,104
Samaje Perine,2022,16,35,2.2,2,"29.6%",6,8,"75.0%",40,6.7,3,"38.1%",0,16,43.5,2.7,"0.9%",5,75
D'Onta Foreman,2022,35,112,3.2,5,"66.0%",1,1,"100.0%",-4,-4.0,0,"33.3%",0,16,41.8,2.6,"2.8%",5,108
Travis Etienne,2022,41,148,3.6,4,"82.0%",4,6,"66.7%",3,0.8,0,"85.7%",1,17,41.1,2.4,"99.8%",4,151
Antonio Gibson,2022,26,52,2.0,3,"49.1%",3,6,"50.0%",29,9.7,2,"54.5%",0,15,41.1,2.7,"32.7%",5,81
Raheem Mostert,2022,20,60,3.0,2,"39.2%",5,6,"83.3%",24,4.8,2,"37.5%",0,16,37.4,2.3,"89.8%",4,84
Alexander Mattison,2022,9,40,4.4,3,"18.0%",5,5,"100.0%",33,6.6,1,"29.4%",0,17,36.3,2.1,"6.2%",4,73
Rhamondre Stevenson,2022,32,53,1.7,3,"64.0%",5,6,"83.3%",20,4.0,1,"46.2%",1,17,34.3,2.0,"92.4%",4,73
Latavius Murray,2022,10,33,3.3,5,"27.8%",0,0,"0%",0,0.0,0,"0.0%",0,14,33.3,2.4,"0.0%",5,33
Alvin Kamara,2022,24,56,2.3,2,"66.7%",7,11,"63.6%",41,5.9,1,"68.8%",1,15,32.7,2.2,"97.1%",3,97
Isiah Pacheco,2022,30,84,2.8,4,"47.6%",1,1,"100.0%",9,9.0,0,"4.5%",1,17,32.3,1.9,"99.8%",4,93
Khalil Herbert,2022,19,66,3.5,4,"32.2%",1,2,"50.0%",-2,-2.0,0,"40.0%",0,13,31.4,2.4,"18.3%",4,64
Kenneth Gainwell,2022,14,53,3.8,4,"20.6%",1,3,"33.3%",5,5.0,0,"100.0%",0,17,30.8,1.8,"2.6%",4,58
Dameon Pierce,2022,33,62,1.9,3,"51.6%",2,2,"100.0%",5,2.5,1,"10.5%",1,13,30.7,2.4,"6.0%",4,67
Tyler Allgeier,2022,33,116,3.5,3,"39.8%",0,0,"0%",0,0.0,0,"0.0%",0,16,29.6,1.9,"44.6%",3,116
Kareem Hunt,2022,24,56,2.3,2,"36.4%",4,8,"50.0%",14,3.5,1,"100.0%",0,17,29.0,1.7,"0.7%",3,70
Michael Carter,2022,19,46,2.4,3,"29.7%",4,7,"57.1%",19,4.8,0,"41.2%",0,16,28.5,1.8,"0.8%",3,65
Rachaad White,2022,10,21,2.1,1,"27.0%",6,8,"75.0%",19,3.2,2,"44.4%",0,17,28.0,1.6,"98.0%",3,40
Kenyan Drake,2022,15,28,1.9,2,"28.8%",4,5,"80.0%",30,7.5,1,"62.5%",0,12,27.8,2.3,"0.0%",3,58
Dontrell Hilliard,2022,0,0,0.0,0,"0.0%",5,7,"71.4%",46,9.2,3,"50.0%",0,12,27.6,2.3,"0.0%",3,46
Breece Hall,2022,15,49,3.3,2,"23.4%",3,5,"60.0%",17,5.7,1,"29.4%",0,7,27.6,3.9,"99.9%",3,66
Jonathan Taylor,2022,32,65,2.0,3,"65.3%",2,3,"66.7%",5,2.5,0,"18.8%",0,12,27.0,2.3,"99.9%",3,70
Damien Harris,2022,11,42,3.8,3,"22.0%",4,6,"66.7%",4,1.0,0,"46.2%",0,11,26.6,2.4,"4.6%",3,46
Brian Robinson,2022,24,52,2.2,2,"45.3%",1,1,"100.0%",14,14.0,1,"9.1%",0,12,25.6,2.1,"86.7%",3,66
Eno Benjamin,2022,14,65,4.6,2,"21.9%",4,5,"80.0%",27,6.8,0,"26.3%",0,13,25.2,1.9,"0.0%",2,92
James Robinson,2022,19,41,2.2,1,"29.7%",2,3,"66.7%",10,5.0,2,"17.6%",0,11,25.1,2.3,"0.0%",3,51
Nyheim Hines,2022,6,4,0.7,1,"12.2%",7,8,"87.5%",54,7.7,1,"50.0%",0,16,24.8,1.6,"0.8%",2,58
Chase Edmonds,2022,5,4,0.8,2,"13.9%",3,4,"75.0%",28,9.3,1,"28.6%",0,13,24.2,1.9,"0.5%",3,32
Darrell Henderson,2022,10,36,3.6,3,"24.4%",1,2,"50.0%",7,7.0,0,"25.0%",0,10,23.3,2.3,"5.0%",3,43
JK Dobbins,2022,14,36,2.6,2,"26.9%",1,2,"50.0%",1,1.0,1,"25.0%",0,8,22.7,2.8,"54.8%",3,37
Gus Edwards,2022,14,30,2.1,3,"26.9%",0,0,"0%",0,0.0,0,"0.0%",0,9,21.0,2.3,"75.4%",3,30
Raheem Blackshear,2022,5,19,3.8,3,"9.4%",1,1,"100.0%",0,0.0,0,"33.3%",0,13,20.9,1.6,"0.1%",3,19
Justin Jackson,2022,5,27,5.4,1,"6.1%",3,4,"75.0%",19,6.3,1,"20.0%",0,15,19.6,1.3,"0.0%",2,46
Deon Jackson,2022,7,28,4.0,1,"14.3%",3,3,"100.0%",16,5.3,1,"18.8%",0,12,19.4,1.6,"0.0%",2,44
Chuba Hubbard,2022,11,42,3.8,2,"20.8%",1,1,"100.0%",6,6.0,0,"33.3%",0,14,17.8,1.3,"41.3%",2,48
Joshua Kelley,2022,13,24,1.8,2,"19.7%",1,1,"100.0%",8,8.0,0,"3.6%",0,12,16.2,1.4,"0.1%",2,32
Kyle Juszczyk,2022,4,19,4.8,1,"6.6%",2,2,"100.0%",3,1.5,1,"12.5%",0,13,16.2,1.2,"0.7%",2,22
Jaylen Warren,2022,12,40,3.3,1,"24.0%",4,4,"100.0%",20,5.0,0,"30.8%",0,16,16.0,1.0,"86.6%",1,60
Alec Ingold,2022,2,1,0.5,1,"3.9%",2,2,"100.0%",15,7.5,1,"12.5%",0,12,15.6,1.3,"0.1%",2,16
Melvin GordonI,2022,14,18,1.3,2,"38.9%",2,2,"100.0%",14,7.0,0,"14.3%",1,10,15.2,1.5,"0.0%",2,32
Caleb Huntley,2022,20,91,4.6,1,"24.1%",0,0,"0%",0,0.0,0,"0.0%",0,12,15.1,1.3,"0.0%",1,91
CJ Ham,2022,2,4,2.0,2,"4.0%",2,2,"100.0%",7,3.5,0,"11.8%",0,11,15.1,1.4,"0.1%",2,11
Rex Burkhead,2022,3,0,0.0,0,"4.7%",6,9,"66.7%",30,5.0,1,"47.4%",0,15,15.0,1.0,"10.0%",1,30
James Cook,2022,13,32,2.5,0,"22.4%",3,6,"50.0%",24,8.0,1,"35.3%",0,17,14.6,0.9,"98.4%",1,56
Zander Horvath,2022,1,3,3.0,0,"1.5%",2,2,"100.0%",2,1.0,2,"7.1%",0,8,14.5,1.8,"0.0%",2,5
Boston Scott,2022,10,23,2.3,2,"14.7%",0,0,"0%",0,0.0,0,"0.0%",0,15,14.3,1.0,"0.1%",2,23
Tevin Coleman,2022,4,3,0.8,1,"6.6%",1,1,"100.0%",9,9.0,1,"6.3%",0,3,14.2,4.7,"0.0%",2,12
Ameer Abdullah,2022,1,3,3.0,0,"2.3%",4,5,"80.0%",38,9.5,1,"50.0%",0,16,14.1,0.9,"0.5%",1,41
Reggie Gilliam,2022,0,0,0.0,0,"0.0%",3,3,"100.0%",26,8.7,1,"17.6%",0,8,11.6,1.5,"0.0%",1,26
Mark Ingram,2022,7,23,3.3,1,"19.4%",4,5,"80.0%",11,2.8,0,"31.3%",1,10,11.4,1.1,"0.1%",1,34
Zonovan Knight,2022,9,25,2.8,1,"14.1%",2,2,"100.0%",9,4.5,0,"11.8%",0,7,11.4,1.6,"0.1%",1,34
Avery Williams,2022,2,6,3.0,1,"2.4%",3,3,"100.0%",11,3.7,0,"42.9%",0,17,10.7,0.6,"0.1%",1,17
Gary Brightwell,2022,4,7,1.8,1,"7.8%",2,2,"100.0%",18,9.0,0,"50.0%",0,15,10.5,0.7,"0.0%",1,25
Matt Breida,2022,10,42,4.2,1,"19.6%",0,0,"0%",0,0.0,0,"0.0%",0,17,10.2,0.6,"0.1%",1,42
Brandon Bolden,2022,3,7,2.3,0,"6.8%",1,1,"100.0%",18,18.0,1,"10.0%",0,12,9.5,0.8,"0.0%",1,25
JaMycal Hasty,2022,8,15,1.9,1,"16.0%",1,1,"100.0%",9,9.0,0,"14.3%",0,14,9.4,0.7,"0.1%",1,24
Travis Homer,2022,3,4,1.3,0,"5.7%",1,1,"100.0%",18,18.0,1,"16.7%",0,12,9.2,0.8,"0.1%",1,22
Dare Ogunbowale,2022,7,25,3.6,1,"10.9%",0,2,"0.0%",0,0.0,0,"10.5%",0,15,8.5,0.6,"0.3%",1,25
Derek Watt,2022,1,2,2.0,0,"2.0%",2,2,"100.0%",2,1.0,1,"15.4%",0,12,8.4,0.7,"0.0%",1,4
Keaontay Ingram,2022,8,11,1.4,1,"21.6%",1,1,"100.0%",-1,-1.0,0,"16.7%",0,11,8.0,0.7,"0.1%",1,10
Chris Evans,2022,0,0,0.0,0,"0.0%",1,1,"100.0%",8,8.0,1,"4.8%",0,10,7.8,0.8,"0.1%",1,8
Kevin Harris,2022,3,18,6.0,1,"6.0%",0,0,"0%",0,0.0,0,"0.0%",0,5,7.8,1.6,"0.1%",1,18
Ty Montgomery,2022,0,0,0.0,0,"0.0%",1,1,"100.0%",6,6.0,1,"7.7%",0,1,7.6,7.6,"0.0%",1,6
Salvon Ahmed,2022,2,16,8.0,1,"3.9%",0,0,"0%",0,0.0,0,"0.0%",0,7,7.6,1.1,"0.0%",1,16
Jordan Mason,2022,2,13,6.5,1,"3.3%",0,0,"0%",0,0.0,0,"0.0%",0,12,7.3,0.6,"2.7%",1,13
Darrel Williams,2022,4,8,2.0,1,"10.8%",0,1,"0.0%",0,0.0,0,"16.7%",0,5,6.8,1.4,"0.0%",1,8
Pierre Strong,2022,3,5,1.7,1,"6.0%",0,0,"0%",0,0.0,0,"0.0%",0,10,6.5,0.7,"0.1%",1,5
Benny Snell,2022,2,4,2.0,1,"4.0%",0,0,"0%",0,0.0,0,"0.0%",0,9,6.4,0.7,"0.0%",1,4
Snoop Conner,2022,1,3,3.0,1,"2.0%",0,0,"0%",0,0.0,0,"0.0%",0,5,6.3,1.3,"0.0%",1,3
Marlon Mack,2022,1,3,3.0,1,"2.8%",0,0,"0%",0,0.0,0,"0.0%",0,8,6.3,0.8,"0.0%",1,3
Malik Davis,2022,3,16,5.3,0,"4.6%",2,2,"100.0%",15,7.5,0,"15.4%",0,6,5.1,0.9,"0.1%",0,31
Elijah Mitchell,2022,10,39,3.9,0,"16.4%",1,1,"100.0%",-1,-1.0,0,"6.3%",0,5,4.8,1.0,"11.2%",0,38
Jordan Wilkins,2022,4,13,3.3,0,"8.2%",2,2,"100.0%",6,3.0,0,"12.5%",0,4,3.9,1.0,"0.0%",0,19
DeeJay Dallas,2022,2,4,2.0,0,"3.8%",2,2,"100.0%",11,5.5,0,"33.3%",0,15,3.5,0.2,"0.1%",0,15
Javonte Williams,2022,4,8,2.0,0,"11.1%",3,6,"50.0%",12,4.0,0,"42.9%",1,4,3.0,0.8,"84.6%",0,20
Ronnie Rivers,2022,1,1,1.0,0,"2.4%",1,1,"100.0%",14,14.0,0,"12.5%",0,2,2.5,1.3,"0.1%",0,15
Royce Freeman,2022,7,25,3.6,0,"10.9%",0,0,"0%",0,0.0,0,"0.0%",0,5,2.5,0.5,"0.4%",0,25
Patrick Ricard,2022,2,3,1.5,0,"3.8%",1,1,"100.0%",12,12.0,0,"12.5%",0,13,2.5,0.2,"0.1%",0,15
Rashaad Penny,2022,5,5,1.0,0,"9.4%",1,1,"100.0%",4,4.0,0,"16.7%",0,5,1.9,0.4,"0.1%",0,9
Trestan Ebner,2022,6,16,2.7,0,"10.2%",0,0,"0%",0,0.0,0,"0.0%",0,11,1.6,0.1,"0.0%",0,16
Justice Hill,2022,4,15,3.8,0,"7.7%",0,0,"0%",0,0.0,0,"0.0%",0,15,1.5,0.1,"2.1%",0,15
Tony Jones,2022,0,0,0.0,0,"0.0%",1,1,"100.0%",5,5.0,0,"16.7%",0,3,1.5,0.5,"0.0%",0,5
Malcolm Brown,2022,4,1,0.3,0,"9.8%",1,2,"50.0%",3,3.0,0,"25.0%",0,7,1.4,0.2,"0.0%",0,4
Jonathan Ward,2022,0,0,0.0,0,"0.0%",1,1,"100.0%",4,4.0,0,"7.1%",0,4,1.4,0.4,"0.0%",0,4
Mike Boone,2022,1,1,1.0,0,"2.8%",1,2,"50.0%",2,2.0,0,"14.3%",0,8,1.3,0.2,"0.0%",0,3
Myles Gaskin,2022,0,0,0.0,0,"0.0%",1,3,"33.3%",2,2.0,0,"18.8%",0,2,1.2,0.6,"0.1%",0,2
Sony Michel,2022,6,11,1.8,0,"9.1%",0,0,"0%",0,0.0,0,"0.0%",0,10,1.1,0.1,"0.0%",0,11
Craig Reynolds,2022,1,5,5.0,0,"1.2%",0,0,"0%",0,0.0,0,"0.0%",0,7,0.5,0.1,"0.3%",0,5
Spencer Brown,2022,2,5,2.5,0,"3.8%",0,0,"0%",0,0.0,0,"0.0%",0,2,0.5,0.3,"0.0%",0,5
Mike Davis,2022,3,4,1.3,0,"5.8%",0,0,"0%",0,0.0,0,"0.0%",0,5,0.4,0.1,"1.0%",0,4
Duke Johnson,2022,1,4,4.0,0,"1.7%",0,0,"0%",0,0.0,0,"0.0%",0,1,0.4,0.4,"0.0%",0,4
Adam Prentice,2022,2,4,2.0,0,"5.6%",0,0,"0%",0,0.0,0,"0.0%",0,6,0.4,0.1,"0.0%",0,4
D'Ernest Johnson,2022,1,4,4.0,0,"1.5%",0,0,"0%",0,0.0,0,"0.0%",0,10,0.4,0.0,"0.4%",0,4
Anthony McFarland,2022,1,3,3.0,0,"2.0%",0,0,"0%",0,0.0,0,"0.0%",0,1,0.3,0.3,"0.0%",0,3
Jonathan Williams,2022,2,3,1.5,0,"3.8%",0,0,"0%",0,0.0,0,"0.0%",0,9,0.3,0.0,"0.0%",0,3
Ronald Jones,2022,1,3,3.0,0,"1.6%",0,0,"0%",0,0.0,0,"0.0%",0,5,0.3,0.1,"0.0%",0,3
Dwayne Washington,2022,1,3,3.0,0,"2.8%",0,0,"0%",0,0.0,0,"0.0%",0,7,0.3,0.0,"0.0%",0,3
Michael Burton,2022,1,2,2.0,0,"1.6%",0,0,"0%",0,0.0,0,"0.0%",0,12,0.2,0.0,"0.0%",0,2
Patrick Taylor,2022,1,2,2.0,0,"1.8%",0,0,"0%",0,0.0,0,"0.0%",0,7,0.2,0.0,"0.0%",0,2
Tyrion Davis-Price,2022,6,2,0.3,0,"9.8%",0,0,"0%",0,0.0,0,"0.0%",0,5,0.2,0.0,"0.1%",0,2
JD McKissic,2022,1,1,1.0,0,"1.9%",0,4,"0.0%",0,0.0,0,"36.4%",0,9,0.1,0.0,"0.0%",0,1
Ty Johnson,2022,2,0,0.0,0,"3.1%",0,0,"0%",0,0.0,0,"0.0%",0,12,0.0,0.0,"0.6%",0,0
Phillip Lindsay,2022,0,0,0.0,0,"0.0%",0,0,"0%",0,0.0,0,"0.0%",0,3,0.0,0.0,"0.0%",0,0
Kyren Williams,2022,0,0,0.0,0,"0.0%",0,1,"0.0%",0,0.0,0,"12.5%",0,8,0.0,0.0,"99.8%",0,0
Isaiah Spiller,2022,0,0,0.0,0,"0.0%",0,0,"0%",0,0.0,0,"0.0%",0,5,0.0,0.0,"0.2%",0,0
Sandro Platzgummer,2022,0,0,0.0,0,"0.0%",0,0,"0%",0,0.0,0,"0.0%",0,1,0.0,0.0,"0.0%",0,0
Jakob Johnson,2022,0,0,0.0,0,"0.0%",0,0,"0%",0,0.0,0,"0.0%",0,11,0.0,0.0,"0.0%",0,0
Keith Smith,2022,0,0,0.0,0,"0.0%",0,1,"0.0%",0,0.0,0,"14.3%",0,10,0.0,0.0,"0.0%",0,0
JJ Taylor,2022,1,-1,-1.0,0,"2.0%",0,0,"0%",0,0.0,0,"0.0%",0,1,-0.1,-0.1,"0.1%",0,-1
Devine Ozigbo,2022,1,-2,-2.0,0,"2.8%",0,0,"0%",0,0.0,0,"0.0%",0,3,-0.2,-0.1,"0.0%",0,-2
Zamir White,2022,2,-5,-2.5,0,"4.5%",0,0,"0%",0,0.0,0,"0.0%",0,11,-0.5,0.0,"90.3%",0,-5
Julius Chestnut,2022,3,-5,-1.7,0,"7.0%",0,0,"0%",0,0.0,0,"0.0%",0,6,-0.5,-0.1,"0.2%",0,-5
Zack Moss,2022,10,12,1.2,0,"17.2%",0,0,"0%",0,0.0,0,"0.0%",1,13,-0.8,-0.1,"83.9%",0,12
David Johnson,2022,2,4,2.0,0,"5.6%",0,0,"0%",0,0.0,0,"0.0%",1,4,-1.6,-0.4,"0.0%",0,4
Christian McCaffrey,2023,65,205,3.2,13,"80.2%",13,17,"76.5%",67,5.2,5,"70.8%",2,16,144.2,9.0,"100.0%",18,272
Raheem Mostert,2023,47,163,3.5,16,"54.7%",6,6,"100.0%",36,6.0,3,"28.6%",0,15,139.9,9.3,"89.8%",19,199
Kyren Williams,2023,55,218,4.0,11,"75.3%",5,13,"38.5%",22,4.4,3,"81.3%",0,12,113.0,9.4,"99.8%",14,240
Joe Mixon,2023,55,150,2.7,8,"87.3%",11,13,"84.6%",68,6.2,2,"86.7%",0,17,92.8,5.5,"98.8%",10,218
Gus Edwards,2023,39,101,2.6,13,"52.7%",0,0,"0%",0,0.0,0,"0.0%",0,17,88.1,5.2,"75.4%",13,101
Isiah Pacheco,2023,42,145,3.5,6,"80.8%",8,9,"88.9%",46,5.8,2,"50.0%",0,14,75.1,5.4,"99.8%",8,191
David Montgomery,2023,51,145,2.8,10,"54.3%",1,1,"100.0%",-7,-7.0,0,"12.5%",0,14,74.8,5.3,"93.4%",10,138
Derrick Henry,2023,34,88,2.6,9,"77.3%",1,2,"50.0%",4,4.0,0,"25.0%",0,17,72.8,4.3,"99.9%",9,92
Jahmyr Gibbs,2023,36,120,3.3,7,"38.3%",4,7,"57.1%",26,6.5,1,"87.5%",0,15,66.6,4.4,"99.8%",8,146
De'Von Achane,2023,23,98,4.3,5,"26.7%",5,6,"83.3%",33,6.6,3,"28.6%",0,11,66.1,6.0,"99.0%",8,131
James Conner,2023,32,93,2.9,6,"86.5%",4,5,"80.0%",29,7.3,2,"83.3%",0,13,64.2,4.9,"91.2%",8,122
Kareem Hunt,2023,35,85,2.4,9,"58.3%",1,1,"100.0%",3,3.0,0,"14.3%",0,15,63.8,4.3,"0.7%",9,88
Alvin Kamara,2023,38,122,3.2,5,"71.7%",8,8,"100.0%",47,5.9,1,"80.0%",0,13,60.9,4.7,"97.1%",6,169
Travis Etienne,2023,38,116,3.1,7,"74.5%",2,2,"100.0%",6,3.0,0,"100.0%",0,17,56.2,3.3,"99.8%",7,122
Jonathan Taylor,2023,31,90,2.9,6,"38.3%",3,4,"75.0%",18,6.0,1,"33.3%",0,10,55.8,5.6,"99.9%",7,108
Rachaad White,2023,37,88,2.4,6,"88.1%",7,8,"87.5%",38,5.4,0,"88.9%",0,17,55.6,3.3,"98.0%",6,126
D'Andre Swift,2023,38,123,3.2,5,"60.3%",5,5,"100.0%",21,4.2,1,"100.0%",0,16,55.4,3.5,"92.0%",6,144
Zack Moss,2023,40,111,2.8,4,"49.4%",4,7,"57.1%",37,9.3,2,"58.3%",0,14,54.8,3.9,"83.9%",6,148
Najee Harris,2023,38,96,2.5,7,"67.9%",1,1,"100.0%",4,4.0,0,"12.5%",0,17,53.0,3.1,"90.3%",7,100
Tony Pollard,2023,57,161,2.8,4,"72.2%",10,11,"90.9%",29,2.9,0,"73.3%",0,17,53.0,3.1,"87.2%",4,190
Bijan Robinson,2023,22,67,3.0,4,"33.8%",6,9,"66.7%",39,6.5,2,"64.3%",0,17,52.6,3.1,"99.9%",6,106
Kenneth WalkerI,2023,38,76,2.0,7,"62.3%",2,3,"66.7%",-4,-2.0,0,"75.0%",0,15,51.2,3.4,"97.0%",7,72
Brian Robinson,2023,25,96,3.8,5,"59.5%",4,4,"100.0%",-2,-0.5,1,"44.4%",0,15,49.4,3.3,"86.7%",6,94
Jerome Ford,2023,16,24,1.5,3,"26.7%",5,6,"83.3%",32,6.4,3,"85.7%",0,17,46.6,2.7,"71.3%",6,56
Saquon Barkley,2023,38,59,1.6,4,"79.2%",4,5,"80.0%",11,2.8,2,"100.0%",1,14,45.0,3.2,"100.0%",6,70
Josh Jacobs,2023,37,69,1.9,5,"75.5%",5,7,"71.4%",22,4.4,0,"63.6%",0,13,44.1,3.4,"99.0%",5,91
Jerick McKinnon,2023,3,6,2.0,1,"5.8%",5,5,"100.0%",40,8.0,4,"27.8%",0,12,43.8,3.7,"0.6%",5,46
Ezekiel Elliott,2023,22,47,2.1,3,"52.4%",3,5,"60.0%",32,10.7,2,"45.5%",0,17,40.9,2.4,"80.7%",5,79
Austin Ekeler,2023,27,47,1.7,5,"56.3%",6,9,"66.7%",12,2.0,0,"75.0%",1,14,39.9,2.9,"84.3%",5,59
James Cook,2023,29,86,3.0,1,"45.3%",4,6,"66.7%",32,8.0,3,"60.0%",0,17,39.8,2.3,"98.4%",4,118
Breece Hall,2023,22,56,2.5,2,"62.9%",5,7,"71.4%",42,8.4,2,"63.6%",0,17,38.8,2.3,"99.9%",4,98
Chuba Hubbard,2023,36,86,2.4,5,"73.5%",0,1,"0.0%",0,0.0,0,"25.0%",0,17,38.6,2.3,"41.3%",5,86
D'Onta Foreman,2023,17,47,2.8,4,"37.0%",2,2,"100.0%",14,7.0,1,"15.4%",0,9,38.1,4.2,"2.8%",5,61
Javonte Williams,2023,41,96,2.3,2,"69.5%",3,3,"100.0%",10,3.3,2,"21.4%",0,16,37.6,2.4,"84.6%",4,106
Devin Singletary,2023,31,87,2.8,3,"51.7%",3,4,"75.0%",15,5.0,0,"44.4%",0,17,35.4,2.1,"84.1%",3,102
Justice Hill,2023,24,69,2.9,3,"32.4%",2,2,"100.0%",22,11.0,1,"28.6%",0,16,35.1,2.2,"2.1%",4,91
Rico Dowdle,2023,15,34,2.3,2,"19.0%",3,4,"75.0%",28,9.3,2,"26.7%",0,16,33.2,2.1,"31.3%",4,62
Latavius Murray,2023,20,41,2.1,4,"31.3%",3,3,"100.0%",10,3.3,0,"30.0%",0,16,32.1,2.0,"0.0%",4,51
Jaylen Warren,2023,18,71,3.9,3,"32.1%",5,5,"100.0%",16,3.2,0,"62.5%",1,17,29.7,1.7,"86.6%",3,87
Rhamondre Stevenson,2023,19,59,3.1,3,"45.2%",3,4,"75.0%",25,8.3,0,"36.4%",0,12,29.4,2.5,"92.4%",3,84
Tyler Allgeier,2023,35,103,2.9,3,"53.8%",1,2,"50.0%",0,0.0,0,"14.3%",0,17,29.3,1.7,"44.6%",3,103
Aaron Jones,2023,31,101,3.3,2,"40.8%",6,9,"66.7%",10,1.7,0,"69.2%",0,11,29.1,2.6,"94.7%",2,111
Alexander Mattison,2023,23,21,0.9,0,"56.1%",5,11,"45.5%",26,5.2,3,"68.8%",0,16,27.7,1.7,"6.2%",3,47
Ty Chandler,2023,11,24,2.2,3,"26.8%",3,3,"100.0%",22,7.3,0,"18.8%",0,16,25.6,1.6,"38.1%",3,46
Khalil Herbert,2023,14,47,3.4,2,"30.4%",2,4,"50.0%",7,3.5,1,"30.8%",0,12,25.4,2.1,"18.3%",3,54
Antonio Gibson,2023,9,26,2.9,1,"21.4%",4,5,"80.0%",26,6.5,2,"55.6%",1,16,25.2,1.6,"32.7%",3,52
Jaleel McLaughlin,2023,7,21,3.0,1,"11.9%",6,7,"85.7%",39,6.5,1,"50.0%",0,17,24.0,1.4,"23.8%",2,60
Salvon Ahmed,2023,6,21,3.5,1,"7.0%",5,5,"100.0%",33,6.6,1,"23.8%",0,9,22.4,2.5,"0.0%",2,54
AJ Dillon,2023,36,79,2.2,2,"47.4%",1,1,"100.0%",1,1.0,0,"7.7%",0,15,21.0,1.4,"5.4%",2,80
Roschon Johnson,2023,10,26,2.6,2,"21.7%",3,4,"75.0%",15,5.0,0,"30.8%",0,15,19.1,1.3,"4.1%",2,41
Clyde Edwards-Helaire,2023,7,11,1.6,1,"13.5%",3,4,"75.0%",9,3.0,1,"22.2%",0,15,17.0,1.1,"5.5%",2,20
Dameon Pierce,2023,23,26,1.1,2,"38.3%",1,1,"100.0%",9,9.0,0,"11.1%",0,14,16.5,1.2,"6.0%",2,35
Samaje Perine,2023,11,48,4.4,1,"18.6%",3,3,"100.0%",19,6.3,0,"21.4%",0,17,15.7,0.9,"0.9%",1,67
Darrell Henderson,2023,5,9,1.8,2,"6.8%",2,3,"66.7%",8,4.0,0,"18.8%",0,4,15.7,3.9,"5.0%",2,17
Kenneth Gainwell,2023,24,56,2.3,2,"38.1%",0,0,"0%",0,0.0,0,"0.0%",1,16,15.6,1.0,"2.6%",2,56
Cam Akers,2023,7,24,3.4,2,"17.1%",1,2,"50.0%",-3,-3.0,0,"12.5%",0,7,15.1,2.2,"0.8%",2,21
Kyle Juszczyk,2023,2,3,1.5,0,"2.5%",5,5,"100.0%",28,5.6,1,"20.8%",0,17,14.1,0.8,"0.7%",1,31
Chris Rodriguez,2023,7,18,2.6,2,"16.7%",0,0,"0%",0,0.0,0,"0.0%",0,11,13.8,1.3,"0.7%",2,18
Jordan Mason,2023,5,17,3.4,2,"6.2%",0,0,"0%",0,0.0,0,"0.0%",0,16,13.7,0.9,"2.7%",2,17
Tyjae Spears,2023,10,34,3.4,1,"22.7%",3,6,"50.0%",12,4.0,0,"75.0%",0,17,13.6,0.8,"84.1%",1,46
Tank Bigsby,2023,8,14,1.8,2,"15.7%",0,0,"0%",0,0.0,0,"0.0%",0,16,13.4,0.8,"3.5%",2,14
Tony Jones,2023,5,10,2.0,2,"9.4%",0,1,"0.0%",0,0.0,0,"10.0%",0,7,13.0,1.9,"0.0%",2,10
