"Player","year","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rush","rz_Y/R","rz_TD_rush","rz_TGT PCT","rz_ATT","rz_YDS_rec","rz_TD_rec","rz_PCT","rz_FL","rz_G","rz_FPTS","rz_FPTS/G","rz_ROST %","rz_TD_total","rz_YDS_total"
JP Holtz,2020,0,1,"0.0%",0,0.0,0,"3.6%",0,0,0,"0.0%",0,16,0.0,0.0,"0.0%",0,0
Isaac Nauta,2020,0,1,"0.0%",0,0.0,0,"4.0%",0,0,0,"0%",0,7,0.0,0.0,"0.0%",0,0
Luke Willson,2020,0,1,"0.0%",0,0.0,0,"4.2%",0,0,0,"0%",0,8,0.0,0.0,"0.0%",0,0
Tyler Davis,2020,0,1,"0.0%",0,0.0,0,"7.1%",0,0,0,"0%",0,8,0.0,0.0,"0.0%",0,0
Mark Andrews,2021,14,21,"66.7%",102,7.3,9,"87.5%",0,0,0,"0%",0,17,78.2,4.6,"99.8%",9,102
Hunter Henry,2021,9,18,"50.0%",77,8.6,9,"62.1%",0,0,0,"0.0%",0,16,70.7,4.4,"20.3%",9,77
Pat Freiermuth,2021,12,18,"66.7%",81,6.8,7,"69.2%",0,0,0,"0.0%",0,16,62.1,3.9,"69.2%",7,81
Travis Kelce,2021,12,15,"80.0%",64,5.3,6,"65.2%",2,3,1,"66.7%",0,16,60.7,3.8,"99.9%",7,67
Dawson Knox,2021,11,18,"61.1%",64,5.8,6,"94.7%",0,0,0,"0%",0,15,53.4,3.6,"3.8%",6,64
Noah Fant,2021,11,15,"73.3%",91,8.3,4,"71.4%",0,0,0,"0%",0,16,44.1,2.8,"15.6%",4,91
Cameron Brate,2021,11,20,"55.0%",87,7.9,4,"57.1%",0,0,0,"0%",0,16,43.7,2.7,"2.0%",4,87
Rob Gronkowski,2021,6,12,"50.0%",54,9.0,5,"34.3%",0,0,0,"0%",0,12,41.4,3.5,"1.5%",5,54
Tyler Higbee,2021,12,18,"66.7%",86,7.2,3,"90.0%",0,0,0,"0%",0,15,38.6,2.6,"1.4%",3,86
TJ Hockenson,2021,7,10,"70.0%",60,8.6,4,"71.4%",0,0,0,"0%",0,12,37.0,3.1,"78.6%",4,60
Dalton Schultz,2021,7,12,"58.3%",60,8.6,4,"66.7%",0,0,0,"0%",0,17,37.0,2.2,"76.8%",4,60
Taysom Hill,2021,0,0,"0%",0,0.0,0,"0.0%",14,71,4,"100.0%",0,12,36.5,3.0,"16.2%",4,71
George Kittle,2021,7,8,"87.5%",53,7.6,4,"100.0%",0,0,0,"0%",0,14,36.3,2.6,"98.5%",4,53
Tyler Conklin,2021,10,16,"62.5%",65,6.5,3,"94.1%",0,0,0,"0%",0,17,34.5,2.0,"17.0%",3,65
Zach Ertz,2021,7,17,"41.2%",29,4.1,4,"85.0%",1,4,0,"100.0%",0,17,34.3,2.0,"2.5%",4,33
Jared Cook,2021,6,12,"50.0%",35,5.8,4,"60.0%",0,0,0,"0%",0,16,33.5,2.1,"0.0%",4,35
Austin Hooper,2021,9,12,"75.0%",63,7.0,3,"44.4%",0,0,0,"0%",0,15,33.3,2.2,"0.2%",3,63
Hayden Hurst,2021,6,7,"85.7%",62,10.3,3,"30.4%",0,0,0,"0%",0,12,30.2,2.5,"1.6%",3,62
David Njoku,2021,5,9,"55.6%",51,10.2,3,"33.3%",0,0,0,"0%",0,15,28.1,1.9,"92.1%",3,51
Foster Moreau,2021,4,6,"66.7%",45,11.3,3,"30.0%",0,0,0,"0%",0,15,26.5,1.8,"0.1%",3,45
Jimmy Graham,2021,4,8,"50.0%",44,11.0,3,"32.0%",0,0,0,"0.0%",0,11,26.4,2.4,"0.0%",3,44
Mo Alie-Cox,2021,5,9,"55.6%",29,5.8,3,"42.9%",0,0,0,"0%",0,17,25.9,1.5,"0.1%",3,29
Jack Doyle,2021,5,8,"62.5%",26,5.2,3,"38.1%",0,0,0,"0%",0,15,25.6,1.7,"2.0%",3,26
Logan Thomas,2021,4,5,"80.0%",34,8.5,3,"25.0%",0,0,0,"0%",0,5,25.4,5.1,"0.6%",3,34
Brevin Jordan,2021,4,4,"100.0%",31,7.8,3,"36.4%",0,0,0,"0%",0,8,25.1,3.1,"0.1%",3,31
Juwan Johnson,2021,4,5,"80.0%",28,7.0,3,"33.3%",0,0,0,"0.0%",0,13,24.8,1.9,"5.5%",3,28
Geoff Swaim,2021,5,8,"62.5%",15,3.0,3,"40.0%",0,0,0,"0%",0,16,24.5,1.5,"0.0%",3,15
Harrison Bryant,2021,4,4,"100.0%",13,3.3,3,"14.8%",0,0,0,"0%",0,15,23.3,1.6,"0.0%",3,13
MyCole Pruitt,2021,3,6,"50.0%",21,7.0,3,"30.0%",0,0,0,"0%",0,13,23.1,1.8,"0.0%",3,21
Dallas Goedert,2021,5,7,"71.4%",52,10.4,2,"77.8%",0,0,0,"0%",0,15,22.2,1.5,"86.8%",2,52
Mike Gesicki,2021,7,11,"63.6%",31,4.4,2,"45.8%",0,0,0,"0.0%",0,17,22.1,1.3,"3.4%",2,31
Darren Waller,2021,6,13,"46.2%",37,6.2,2,"65.0%",0,0,0,"0%",0,11,21.7,2.0,"3.4%",2,37
Gerald Everett,2021,4,7,"57.1%",16,4.0,3,"63.6%",0,0,0,"0%",1,15,21.6,1.4,"0.7%",3,16
Ricky Seals-Jones,2021,7,13,"53.8%",53,7.6,1,"65.0%",0,0,0,"0%",0,11,18.3,1.7,"0.0%",1,53
Evan Engram,2021,3,5,"60.0%",27,9.0,2,"35.7%",1,-3,0,"100.0%",0,15,17.4,1.2,"95.5%",2,24
Tommy Tremble,2021,3,3,"100.0%",9,3.0,1,"23.1%",2,7,1,"100.0%",0,15,16.6,1.1,"0.2%",2,16
Ryan Griffin,2021,3,6,"50.0%",14,4.7,2,"75.0%",0,0,0,"0%",0,14,16.4,1.2,"0.0%",2,14
Jesper Horsted,2021,2,3,"66.7%",21,10.5,2,"12.0%",0,0,0,"0.0%",0,4,16.1,4.0,"0.0%",2,21
Blake Jarwin,2021,2,4,"50.0%",19,9.5,2,"22.2%",0,0,0,"0%",0,8,15.9,2.0,"4.0%",2,19
Robert Tonyan,2021,5,6,"83.3%",43,8.6,1,"30.0%",0,0,0,"0%",0,8,15.3,1.9,"0.0%",1,43
Albert Okwuegbunam,2021,4,5,"80.0%",13,3.3,2,"23.8%",0,0,0,"0%",1,14,15.3,1.1,"0.1%",2,13
Donald Parham,2021,2,6,"33.3%",12,6.0,2,"30.0%",0,0,0,"0%",0,14,15.2,1.1,"0.6%",2,12
Jody Fortson,2021,2,2,"100.0%",4,2.0,2,"8.7%",0,0,0,"0.0%",0,4,14.4,3.6,"0.0%",2,4
Jonnu Smith,2021,5,10,"50.0%",25,5.0,1,"34.5%",2,7,0,"100.0%",0,16,14.2,0.9,"4.7%",1,32
Kyle Pitts,2021,5,14,"35.7%",31,6.2,1,"60.9%",0,0,0,"0%",0,17,14.1,0.8,"95.4%",1,31
Anthony Firkser,2021,4,5,"80.0%",37,9.3,1,"25.0%",0,0,0,"0%",0,15,13.7,0.9,"0.0%",1,37
Eric Ebron,2021,1,3,"33.3%",5,5.0,1,"11.5%",1,1,1,"100.0%",0,8,13.6,1.7,"0.0%",2,6
Cole Kmet,2021,6,14,"42.9%",50,8.3,0,"56.0%",1,0,0,"100.0%",0,17,11.0,0.6,"64.2%",0,50
Adam Trautman,2021,3,7,"42.9%",20,6.7,1,"46.7%",0,0,0,"0.0%",0,11,11.0,1.0,"0.1%",1,20
Kyle Rudolph,2021,3,8,"37.5%",9,3.0,1,"57.1%",0,0,0,"0.0%",0,15,9.9,0.7,"0.0%",1,9
Tyler Kroft,2021,2,2,"100.0%",18,9.0,1,"25.0%",0,0,0,"0%",0,9,9.8,1.1,"0.0%",1,18
Antony Auclair,2021,2,2,"100.0%",17,8.5,1,"18.2%",0,0,0,"0%",0,4,9.7,2.4,"0.0%",1,17
CJ Uzomah,2021,3,7,"42.9%",7,2.3,1,"100.0%",0,0,0,"0%",0,16,9.7,0.6,"0.1%",1,7
Noah Gray,2021,2,5,"40.0%",6,3.0,1,"21.7%",0,0,0,"0.0%",0,7,8.6,1.2,"0.8%",1,6
Maxx Williams,2021,1,1,"100.0%",14,14.0,1,"5.0%",0,0,0,"0.0%",0,5,8.4,1.7,"0.0%",1,14
Will Dissly,2021,2,3,"66.7%",3,1.5,1,"27.3%",0,0,0,"0%",0,13,8.3,0.6,"0.6%",1,3
John Bates,2021,1,2,"50.0%",13,13.0,1,"10.0%",0,0,0,"0%",0,13,8.3,0.6,"0.0%",1,13
Nick Vannett,2021,1,3,"33.3%",11,11.0,1,"20.0%",0,0,0,"0.0%",0,7,8.1,1.2,"0.0%",1,11
Sean McKeon,2021,1,1,"100.0%",10,10.0,1,"5.6%",0,0,0,"0%",0,5,8.0,1.6,"0.0%",1,10
Jesse James,2021,1,2,"50.0%",8,8.0,1,"7.4%",0,0,0,"0%",0,5,7.8,1.6,"0.0%",1,8
Chris Herndon IV,2021,1,1,"100.0%",2,2.0,1,"5.9%",0,0,0,"0%",0,6,7.2,1.2,"0.0%",1,2
OJ Howard,2021,1,2,"50.0%",2,2.0,1,"5.7%",0,0,0,"0%",0,11,7.2,0.7,"0.0%",1,2
Stephen Anderson,2021,1,2,"50.0%",2,2.0,1,"10.0%",0,0,0,"0%",0,14,7.2,0.5,"0.0%",1,2
Chris Myarick,2021,1,1,"100.0%",1,1.0,1,"7.1%",0,0,0,"0.0%",0,5,7.1,1.4,"0.0%",1,1
Lee Smith,2021,1,2,"50.0%",1,1.0,1,"8.7%",0,0,0,"0%",0,10,7.1,0.7,"0.0%",1,1
Tommy Sweeney,2021,1,1,"100.0%",1,1.0,1,"5.3%",0,0,0,"0%",0,7,7.1,1.0,"0.0%",1,1
Jacob Hollister,2021,1,2,"50.0%",1,1.0,1,"66.7%",0,0,0,"0%",0,7,7.1,1.0,"0.0%",1,1
Eric Saubert,2021,1,1,"100.0%",1,1.0,1,"4.8%",0,0,0,"0%",0,10,7.1,0.7,"0.0%",1,1
Marcedes Lewis,2021,4,6,"66.7%",28,7.0,0,"30.0%",0,0,0,"0%",0,13,6.8,0.5,"0.1%",0,28
Durham Smythe,2021,4,7,"57.1%",16,4.0,0,"29.2%",1,2,0,"100.0%",0,16,5.8,0.4,"0.2%",0,18
Adam Shaheen,2021,3,6,"50.0%",19,6.3,0,"25.0%",0,0,0,"0.0%",0,9,4.9,0.5,"0.0%",0,19
Dan Arnold,2021,2,4,"50.0%",26,13.0,0,"30.8%",0,0,0,"0.0%",0,11,4.6,0.4,"0.0%",0,26
Kylen Granson,2021,3,4,"75.0%",14,4.7,0,"19.0%",0,0,0,"0%",0,10,4.4,0.4,"0.1%",0,14
Josiah Deguara,2021,3,7,"42.9%",13,4.3,0,"35.0%",0,0,0,"0%",0,14,4.3,0.3,"0.0%",0,13
Zach Gentry,2021,2,5,"40.0%",17,8.5,0,"19.2%",0,0,0,"0.0%",0,10,3.7,0.4,"0.0%",0,17
Jack Stoll,2021,2,2,"100.0%",13,6.5,0,"22.2%",0,0,0,"0%",0,6,3.3,0.6,"0.0%",0,13
Blake Bell,2021,1,1,"100.0%",7,7.0,0,"4.3%",1,3,0,"33.3%",0,12,2.0,0.2,"0.0%",0,10
Jeremy Sprinkle,2021,1,1,"100.0%",10,10.0,0,"5.6%",0,0,0,"0%",0,6,2.0,0.3,"0.0%",0,10
Ian Thomas,2021,2,4,"50.0%",0,0.0,0,"30.8%",0,0,0,"0.0%",0,14,2.0,0.1,"0.0%",0,0
Josh Oliver,2021,1,2,"50.0%",9,9.0,0,"8.3%",0,0,0,"0%",0,11,1.9,0.2,"0.2%",0,9
Luke Farrell,2021,1,1,"100.0%",7,7.0,0,"33.3%",0,0,0,"0%",0,9,1.7,0.2,"0.1%",0,7
Jordan Akins,2021,1,5,"20.0%",3,3.0,0,"45.5%",0,0,0,"0%",0,12,1.3,0.1,"0.1%",0,3
Tommy Hudson,2021,1,1,"100.0%",3,3.0,0,"5.0%",0,0,0,"0%",0,4,1.3,0.3,"0.0%",0,3
Kendall Blanton,2021,1,2,"50.0%",2,2.0,0,"10.0%",0,0,0,"0%",0,4,1.2,0.3,"0.0%",0,2
Nick Boyle,2021,1,1,"100.0%",2,2.0,0,"4.2%",0,0,0,"0%",0,2,1.2,0.6,"0.0%",0,2
Tyler Davis,2021,1,1,"100.0%",0,0.0,0,"5.0%",0,0,0,"0%",0,8,1.0,0.1,"0.0%",0,0
Brock Wright,2021,0,2,"0.0%",0,0.0,0,"14.3%",0,0,0,"0%",0,8,0.0,0.0,"0.2%",0,0
Demetrius Harris,2021,0,1,"0.0%",0,0.0,0,"5.0%",0,0,0,"0.0%",0,10,0.0,0.0,"0.0%",0,0
Giovanni Ricci,2021,0,1,"0.0%",0,0.0,0,"7.7%",0,0,0,"0.0%",0,9,0.0,0.0,"0.0%",0,0
Stephen Sullivan,2021,0,1,"0.0%",0,0.0,0,"7.7%",0,0,0,"0.0%",0,1,0.0,0.0,"0.0%",0,0
Colby Parkinson,2021,0,1,"0.0%",0,0.0,0,"9.1%",0,0,0,"0%",0,6,0.0,0.0,"2.5%",0,0
Daniel Helm,2021,0,1,"0.0%",0,0.0,0,"5.0%",0,0,0,"0%",0,3,0.0,0.0,"0.0%",0,0
Codey McElroy,2021,0,1,"0.0%",0,0.0,0,"2.9%",0,0,0,"0%",0,2,0.0,0.0,"0.0%",0,0
Darrell Daniels,2021,0,1,"0.0%",0,0.0,0,"5.0%",0,0,0,"0.0%",0,10,0.0,0.0,"0.0%",0,0
James O'Shaughnessy,2021,0,0,"0%",0,0.0,0,"0.0%",0,0,0,"0%",0,7,0.0,0.0,"0.0%",0,0
Shane Zylstra,2021,0,2,"0.0%",0,0.0,0,"14.3%",0,0,0,"0%",0,3,0.0,0.0,"0.0%",0,0
Travis Kelce,2022,17,29,"58.6%",102,6.0,10,"74.4%",2,5,0,"66.7%",0,17,87.7,5.2,"99.9%",10,107
Taysom Hill,2022,2,3,"66.7%",8,4.0,1,"17.6%",18,69,6,"100.0%",0,16,51.7,3.2,"16.2%",7,77
TJ Hockenson,2022,12,20,"60.0%",74,6.2,5,"66.7%",0,0,0,"0%",0,17,49.4,2.9,"78.6%",5,74
Mark Andrews,2022,11,18,"61.1%",68,6.2,5,"48.6%",0,0,0,"0%",0,15,47.8,3.2,"99.8%",5,68
Mike Gesicki,2022,9,12,"75.0%",77,8.6,5,"80.0%",0,0,0,"0.0%",0,17,46.7,2.7,"3.4%",5,77
Juwan Johnson,2022,7,11,"63.6%",73,10.4,5,"64.7%",0,0,0,"0.0%",0,16,44.3,2.8,"5.5%",5,73
Dalton Schultz,2022,8,16,"50.0%",59,7.4,5,"76.2%",0,0,0,"0.0%",0,15,43.9,2.9,"76.8%",5,59
Cole Kmet,2022,7,9,"77.8%",49,7.0,5,"64.3%",0,0,0,"0%",0,17,41.9,2.5,"64.2%",5,49
David Njoku,2022,11,19,"57.9%",77,7.0,3,"65.5%",0,0,0,"0%",0,14,36.7,2.6,"92.1%",3,77
Zach Ertz,2022,8,15,"53.3%",42,5.3,4,"93.8%",0,0,0,"0%",0,10,36.2,3.6,"2.5%",4,42
Dawson Knox,2022,6,10,"60.0%",48,8.0,4,"83.3%",0,0,0,"0%",0,15,34.8,2.3,"3.8%",4,48
Gerald Everett,2022,9,16,"56.3%",64,7.1,3,"69.6%",0,0,0,"0%",0,15,33.4,2.2,"0.7%",3,64
Noah Fant,2022,6,9,"66.7%",25,4.2,4,"40.9%",0,0,0,"0%",0,17,32.5,1.9,"15.6%",4,25
Tyler Higbee,2022,8,15,"53.3%",61,7.6,3,"93.8%",0,0,0,"0%",0,16,32.1,2.0,"1.4%",3,61
Shane Zylstra,2022,4,4,"100.0%",12,3.0,4,"40.0%",0,0,0,"0%",0,9,29.2,3.2,"0.0%",4,12
George Kittle,2022,6,13,"46.2%",48,8.0,3,"100.0%",0,0,0,"0%",0,15,28.8,1.9,"98.5%",3,48
Daniel Bellinger,2022,5,6,"83.3%",47,9.4,2,"75.0%",1,2,1,"100.0%",0,11,27.9,2.5,"0.5%",3,49
Brock Wright,2022,5,5,"100.0%",34,6.8,3,"50.0%",0,0,0,"0%",0,14,26.4,1.9,"0.2%",3,34
MyCole Pruitt,2022,5,6,"83.3%",24,4.8,3,"42.9%",0,0,0,"0%",0,10,25.4,2.5,"0.0%",3,24
Jelani Woods,2022,4,4,"100.0%",29,7.3,3,"36.4%",0,0,0,"0%",0,12,24.9,2.1,"1.0%",3,29
Pat Freiermuth,2022,6,12,"50.0%",61,10.2,2,"80.0%",0,0,0,"0%",0,15,24.1,1.6,"69.2%",2,61
Tyler Conklin,2022,3,5,"60.0%",20,6.7,3,"71.4%",1,1,0,"100.0%",0,17,23.1,1.4,"17.0%",3,21
Dallas Goedert,2022,6,8,"75.0%",48,8.0,2,"72.7%",0,0,0,"0%",0,12,22.8,1.9,"86.8%",2,48
Peyton Hendershot,2022,2,2,"100.0%",22,11.0,2,"9.5%",1,2,1,"100.0%",0,12,22.4,1.9,"0.1%",3,24
Austin Hooper,2022,5,7,"71.4%",53,10.6,2,"38.9%",0,0,0,"0%",0,17,22.3,1.3,"0.2%",2,53
Will Dissly,2022,5,6,"83.3%",47,9.4,2,"27.3%",0,0,0,"0%",0,15,21.7,1.4,"0.6%",2,47
Jordan Akins,2022,5,9,"55.6%",36,7.2,2,"47.4%",0,0,0,"0%",0,15,20.6,1.4,"0.1%",2,36
Hayden Hurst,2022,5,8,"62.5%",35,7.0,2,"72.7%",0,0,0,"0%",0,14,20.5,1.5,"1.6%",2,35
Isaiah Likely,2022,5,9,"55.6%",24,4.8,2,"24.3%",0,0,0,"0%",0,14,19.4,1.4,"13.3%",2,24
Evan Engram,2022,4,9,"44.4%",30,7.5,2,"75.0%",1,0,0,"100.0%",0,17,19.0,1.1,"95.5%",2,30
Tommy Tremble,2022,4,7,"57.1%",26,6.5,2,"77.8%",0,0,0,"0%",0,15,18.6,1.2,"0.2%",2,26
Cade Otton,2022,5,15,"33.3%",14,2.8,2,"71.4%",0,0,0,"0%",0,16,18.4,1.2,"17.6%",2,14
Josh Oliver,2022,4,10,"40.0%",24,6.0,2,"27.0%",0,0,0,"0%",0,12,18.4,1.5,"0.2%",2,24
Irv Smith,2022,4,6,"66.7%",20,5.0,2,"20.0%",0,0,0,"0%",0,8,18.0,2.3,"0.1%",2,20
Noah Gray,2022,3,4,"75.0%",28,9.3,1,"10.3%",1,1,1,"33.3%",0,17,17.9,1.1,"0.8%",2,29
Chigoziem Okonkwo,2022,3,6,"50.0%",28,9.3,2,"33.3%",0,0,0,"0%",0,16,17.8,1.1,"15.2%",2,28
Jake Ferguson,2022,3,3,"100.0%",15,5.0,2,"14.3%",0,0,0,"0.0%",0,11,16.5,1.5,"91.4%",2,15
Mo Alie-Cox,2022,2,4,"50.0%",21,10.5,2,"36.4%",0,0,0,"0%",0,14,16.1,1.2,"0.1%",2,21
Kyle Pitts,2022,3,5,"60.0%",9,3.0,2,"35.7%",0,0,0,"0%",0,10,15.9,1.6,"95.4%",2,9
Robert Tonyan,2022,6,9,"66.7%",37,6.2,1,"75.0%",0,0,0,"0%",0,17,15.7,0.9,"0.0%",1,37
Jody Fortson,2022,2,5,"40.0%",11,5.5,2,"12.8%",0,0,0,"0.0%",0,10,15.1,1.5,"0.0%",2,11
Durham Smythe,2022,2,3,"66.7%",9,4.5,1,"20.0%",2,1,1,"100.0%",0,13,15.0,1.2,"0.2%",2,10
Teagan Quitoriano,2022,2,5,"40.0%",10,5.0,2,"26.3%",0,0,0,"0%",0,7,15.0,2.1,"0.0%",2,10
Foster Moreau,2022,2,6,"33.3%",9,4.5,2,"42.9%",0,0,0,"0%",0,14,14.9,1.1,"0.1%",2,9
Logan Thomas,2022,5,8,"62.5%",35,7.0,1,"66.7%",0,0,0,"0%",0,13,14.5,1.1,"0.6%",1,35
Marcedes Lewis,2022,2,2,"100.0%",3,1.5,2,"16.7%",0,0,0,"0%",0,6,14.3,2.4,"0.1%",2,3
Darren Waller,2022,4,8,"50.0%",28,7.0,1,"57.1%",0,0,0,"0%",0,9,12.8,1.4,"3.4%",1,28
Harrison Bryant,2022,3,8,"37.5%",14,4.7,1,"27.6%",0,0,0,"0%",0,14,10.4,0.7,"0.0%",1,14
Colby Parkinson,2022,2,6,"33.3%",19,9.5,1,"27.3%",0,0,0,"0%",0,14,9.9,0.7,"2.5%",1,19
Johnny Mundt,2022,2,3,"66.7%",18,9.0,1,"10.0%",0,0,0,"0%",0,13,9.8,0.8,"2.8%",1,18
Geoff Swaim,2022,3,5,"60.0%",7,2.3,1,"27.8%",0,0,0,"0%",0,12,9.7,0.8,"0.0%",1,7
Mitchell Wilcox,2022,2,2,"100.0%",15,7.5,1,"18.2%",0,0,0,"0%",0,9,9.5,1.1,"0.0%",1,15
Connor Heyward,2022,1,1,"100.0%",17,17.0,1,"6.7%",0,0,0,"0%",0,15,8.7,0.6,"0.2%",1,17
Blake Bell,2022,1,1,"100.0%",17,17.0,1,"2.6%",0,0,0,"0.0%",0,2,8.7,4.4,"0.0%",1,17
John Bates,2022,1,3,"33.3%",16,16.0,1,"25.0%",0,0,0,"0%",0,10,8.6,0.9,"0.0%",1,16
OJ Howard,2022,1,3,"33.3%",16,16.0,1,"15.8%",0,0,0,"0%",0,11,8.6,0.8,"0.0%",1,16
Chris Myarick,2022,2,2,"100.0%",5,2.5,1,"25.0%",0,0,0,"0.0%",0,10,8.5,0.9,"0.0%",1,5
Greg Dulcich,2022,1,2,"50.0%",11,11.0,1,"20.0%",0,0,0,"0%",0,10,8.1,0.8,"1.5%",1,11
Tyler Mabry,2022,1,1,"100.0%",7,7.0,1,"4.5%",0,0,0,"0%",0,1,7.7,7.7,"0.0%",1,7
Ko Kieft,2022,1,1,"100.0%",5,5.0,1,"4.8%",0,0,0,"0%",0,14,7.5,0.5,"0.0%",1,5
Trey McBride,2022,1,1,"100.0%",4,4.0,1,"6.3%",0,0,0,"0%",0,12,7.4,0.6,"98.1%",1,4
Quintin Morris,2022,2,2,"100.0%",14,7.0,1,"16.7%",0,0,0,"0%",1,9,7.4,0.8,"0.0%",1,14
Donald Parham,2022,1,2,"50.0%",3,3.0,1,"8.7%",0,0,0,"0%",0,6,7.3,1.2,"0.6%",1,3
James Mitchell,2022,1,1,"100.0%",3,3.0,1,"10.0%",0,0,0,"0%",0,8,7.3,0.9,"0.1%",1,3
Eric Tomlinson,2022,1,3,"33.3%",3,3.0,1,"30.0%",0,0,0,"0%",0,9,7.3,0.8,"0.0%",1,3
CJ Uzomah,2022,1,1,"100.0%",1,1.0,1,"14.3%",0,0,0,"0.0%",0,14,7.1,0.5,"0.1%",1,1
Jonnu Smith,2022,3,4,"75.0%",14,4.7,0,"36.4%",1,5,0,"100.0%",0,12,4.9,0.4,"4.7%",0,19
Albert Okwuegbunam,2022,2,2,"100.0%",19,9.5,0,"20.0%",0,0,0,"0%",0,6,3.9,0.7,"0.1%",0,19
Adam Trautman,2022,2,3,"66.7%",19,9.5,0,"17.6%",0,0,0,"0.0%",0,13,3.9,0.3,"0.1%",0,19
Ian Thomas,2022,2,2,"100.0%",9,4.5,0,"22.2%",0,0,0,"0%",0,14,2.9,0.2,"0.0%",0,9
Kylen Granson,2022,2,3,"66.7%",3,1.5,0,"27.3%",0,0,0,"0%",0,13,2.3,0.2,"0.1%",0,3
Hunter Henry,2022,1,7,"14.3%",13,13.0,0,"63.6%",0,0,0,"0.0%",0,16,2.3,0.1,"20.3%",0,13
Brycen Hopkins,2022,1,1,"100.0%",11,11.0,0,"6.3%",0,0,0,"0%",0,7,2.1,0.3,"0.0%",0,11
Josiah Deguara,2022,1,1,"100.0%",9,9.0,0,"8.3%",0,0,0,"0%",0,9,1.9,0.2,"0.0%",0,9
Cameron Brate,2022,1,4,"25.0%",8,8.0,0,"19.0%",0,0,0,"0%",0,9,1.8,0.2,"2.0%",0,8
Dan Arnold,2022,1,2,"50.0%",8,8.0,0,"16.7%",0,0,0,"0.0%",0,11,1.8,0.2,"0.0%",0,8
Eric Saubert,2022,1,3,"33.3%",7,7.0,0,"30.0%",0,0,0,"0%",0,14,1.7,0.1,"0.0%",0,7
Parker Hesse,2022,1,2,"50.0%",5,5.0,0,"14.3%",0,0,0,"0%",0,12,1.5,0.1,"0.0%",0,5
Pharaoh Brown,2022,1,2,"50.0%",5,5.0,0,"6.9%",0,0,0,"0%",0,9,1.5,0.2,"0.1%",0,5
Tre' McKitty,2022,1,3,"33.3%",3,3.0,0,"13.0%",0,0,0,"0%",0,13,1.3,0.1,"0.0%",0,3
Trevon Wesco,2022,1,2,"50.0%",3,3.0,0,"14.3%",0,0,0,"0%",0,6,1.3,0.2,"0.0%",0,3
Chris Manhertz,2022,1,1,"100.0%",3,3.0,0,"8.3%",0,0,0,"0.0%",0,8,1.3,0.2,"0.0%",0,3
Ben Ellefson,2022,1,1,"100.0%",2,2.0,0,"3.3%",0,0,0,"0%",0,2,1.2,0.6,"0.0%",0,2
Zach Gentry,2022,1,2,"50.0%",2,2.0,0,"13.3%",0,0,0,"0%",0,14,1.2,0.1,"0.0%",0,2
Ryan Griffin,2022,1,2,"50.0%",2,2.0,0,"14.3%",0,0,0,"0%",0,10,1.2,0.1,"0.0%",0,2
Drew Sample,2022,1,1,"100.0%",2,2.0,0,"9.1%",0,0,0,"0%",0,2,1.2,0.6,"0.1%",0,2
Grant Calcaterra,2022,1,2,"50.0%",-2,-2.0,0,"18.2%",0,0,0,"0%",0,6,0.8,0.1,"0.1%",0,-2
Anthony Firkser,2022,0,1,"0.0%",0,0.0,0,"7.1%",0,0,0,"0%",0,8,0.0,0.0,"0.0%",0,0
Kyle Rudolph,2022,0,1,"0.0%",0,0.0,0,"4.8%",0,0,0,"0%",0,5,0.0,0.0,"0.0%",0,0
Richard Rodgers,2022,0,2,"0.0%",0,0.0,0,"8.7%",0,0,0,"0%",0,3,0.0,0.0,"0.0%",0,0
Cole Turner,2022,0,1,"0.0%",0,0.0,0,"8.3%",0,0,0,"0%",0,7,0.0,0.0,"0.0%",0,0
Brevin Jordan,2022,0,2,"0.0%",0,0.0,0,"10.5%",0,0,0,"0%",0,9,0.0,0.0,"0.1%",0,0
Ross Dwelley,2022,0,0,"0%",0,0.0,0,"0.0%",0,0,0,"0%",0,5,0.0,0.0,"0.0%",0,0
Jack Stoll,2022,0,1,"0.0%",0,0.0,0,"9.1%",0,0,0,"0%",0,10,0.0,0.0,"0.0%",0,0
James Winchester,2022,0,0,"0%",0,0.0,0,"0.0%",0,0,0,"0.0%",0,3,0.0,0.0,"0.0%",0,0
Stephen Sullivan,2022,0,0,"0%",0,0.0,0,"0.0%",0,0,0,"0%",0,8,0.0,0.0,"0.0%",0,0
Sam LaPorta,2023,10,15,"66.7%",91,9.1,7,"93.8%",0,0,0,"0%",0,17,61.1,3.6,"99.9%",7,91
Mark Andrews,2023,10,14,"71.4%",77,7.7,6,"60.9%",1,0,0,"100.0%",0,10,53.7,5.4,"99.8%",6,77
Jake Ferguson,2023,12,24,"50.0%",92,7.7,5,"75.0%",0,0,0,"0.0%",0,17,51.2,3.0,"91.4%",5,92
Travis Kelce,2023,13,20,"65.0%",74,5.7,5,"83.3%",0,0,0,"0.0%",1,15,48.4,3.2,"99.9%",5,74
Cole Kmet,2023,10,13,"76.9%",61,6.1,5,"76.5%",1,1,0,"100.0%",0,17,46.2,2.7,"64.2%",5,62
Taysom Hill,2023,2,5,"40.0%",10,5.0,1,"22.7%",27,102,4,"100.0%",1,16,45.6,2.9,"16.2%",5,112
Dalton Schultz,2023,7,14,"50.0%",80,11.4,5,"70.0%",0,0,0,"0.0%",0,15,45.0,3.0,"76.8%",5,80
