"Player","Tm","year","rec_Age","rec_Pos","rec_G","rec_GS","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Kendrick Bourne,NWE,2022,27,WR,16,2,48,35,434,1,22,289,8.3,145,4.1,10.3,2,17.5,4,8,2,90.1,235.0,88.3,81,82,1
Randall Cobb,GNB,2022,32,WR,13,3,50,34,417,1,19,232,6.8,185,5.4,9.5,1,34.0,2,4,1,91.8,224.5,81.7,91,78,-13
Nelson Agholor,NWE,2022,29,WR,16,7,53,31,362,2,12,218,7.0,144,4.6,12.4,1,31.0,3,6,3,68.3,283.0,75.2,94,93,-1
Rashid Shaheed,NOR,2022,24,WR,12,6,34,28,488,2,18,312,11.1,176,6.3,11.6,0,,1,3,0,138.4,999.0,100.5,73,113,40
Laviska Shenault,CAR,2022,24,WR,13,4,32,27,272,1,10,-58,-2.1,330,12.2,-0.7,0,,2,6,0,112.5,275.0,72.7,95,90,-5
Nick Westbrook-Ikhine,TEN,2022,25,WR,17,13,50,25,397,3,18,285,11.4,112,4.5,12.8,1,25.0,2,4,2,80.2,999.0,82.7,89,115,26
David Bell,CLE,2022,22,WR,16,3,35,24,214,0,7,139,5.8,75,3.1,7.1,3,8.0,3,9,4,45.1,243.0,45.4,120,83,-37
Brandon Powell,LAR,2022,27,WR,17,6,32,24,156,0,7,-28,-1.2,184,7.7,1.5,0,,3,9,0,84.9,999.0,47.6,118,117,-1
Jamal Agnew,JAX,2022,27,WR,15,0,30,23,187,3,9,66,2.9,121,5.3,6.1,0,,2,7,0,125.3,999.0,70.3,97,118,21
Scott Miller,TAM,2022,25,WR,15,1,40,23,185,0,8,152,6.6,33,1.4,12.8,0,,3,8,0,69.3,999.0,42.3,123,119,-4
Wan'Dale Robinson,NYG,2022,21,WR,6,3,31,23,227,1,13,101,4.4,126,5.5,6.2,1,23.0,1,3,0,105.2,224.7,51.6,116,79,-37
Robbie Chosen,"2TM",2022,29,WR,16,7,44,20,282,1,10,186,9.3,96,4.8,14.1,0,,2,4,1,64.8,208.5,52.2,113,68,-45
Tutu Atwell,LAR,2022,23,WR,13,4,35,18,298,1,11,238,13.2,60,3.3,17.8,2,9.0,1,3,1,78.0,999.0,63.2,101,126,25
Braxton Berrios,NYJ,2022,27,WR,17,2,32,18,145,0,8,53,2.9,92,5.1,6.8,1,18.0,3,9,1,54.8,252.0,57.7,108,84,-24
Justin Watson,KAN,2022,27,WR,17,5,34,15,315,2,12,255,17.0,60,4.0,18.7,0,,5,15,1,84.8,999.0,58.5,106,131,25
Ray-Ray McCloud,SFO,2022,26,WR,17,2,25,14,243,1,11,151,10.8,92,6.6,11.8,0,,2,8,0,102.6,999.0,58.1,107,132,25
KhaDarel Hodge,ATL,2022,27,WR,17,1,20,13,202,1,7,141,10.8,61,4.7,13.4,0,,1,5,0,115.0,999.0,41.2,124,136,12
Cedrick Wilson,MIA,2022,27,WR,15,0,18,12,136,0,8,91,7.6,45,3.8,10.4,0,,0,0,0,89.1,278.0,26.4,140,91,-49
Khalil Shakir,BUF,2022,22,WR,14,2,20,10,161,1,7,78,7.8,83,8.3,9.8,1,10.0,2,10,0,94.0,999.0,34.1,130,141,11
Kyle Philips,TEN,2022,23,WR,4,0,13,8,78,0,3,57,7.1,21,2.6,7.7,0,,1,8,0,78.4,999.0,11.8,163,148,-15
Jalen Reagor,MIN,2022,23,WR,17,0,13,8,104,1,5,76,9.5,28,3.5,13.5,0,,0,0,2,72.8,999.0,26.9,139,150,11
Jamison Crowder,BUF,2022,29,WR,4,0,13,6,60,0,4,30,5.0,30,5.0,9.3,0,,0,0,1,27.7,253.5,12.0,162,85,-77
Brandon Johnson,DEN,2022,24,WR,7,1,14,6,42,1,2,29,4.8,13,2.2,12.9,0,,0,0,1,44.3,999.0,14.2,157,159,2
Deven Thompkins,TAM,2022,23,WR,5,1,10,5,32,0,1,0,0.0,32,6.4,7.9,2,2.5,1,10,0,57.1,999.0,10.8,168,165,-3
