"Player","Tm","year","rec_Age","rec_Pos","rec_G","rec_GS","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
DeAndre Carter,WAS,2021,28,WR,17,6,44,24,296,3,17,218,9.1,78,3.3,11.0,0,,2,4,2,79.4,999.0,86.5,84,145,61
Jauan Jennings,SFO,2021,24,WR,16,1,38,24,282,5,15,179,7.5,103,4.3,9.1,2,12.0,5,13,1,114.3,999.0,82.2,91,146,55
Chris Moore,HOU,2021,28,WR,12,1,22,21,227,2,6,77,3.7,150,7.1,4.1,1,21.0,0,0,0,140.0,999.0,55.7,117,147,30
Isaiah McKenzie,BUF,2021,26,WR,15,2,26,20,178,1,13,97,4.9,81,4.1,6.0,1,20.0,3,12,0,107.5,999.0,52.5,119,148,29
Antoine Wesley,ARI,2021,24,WR,15,4,32,19,208,3,9,147,7.7,61,3.2,10.5,0,,1,3,1,96.9,999.0,57.8,114,149,35
Brandon Zylstra,CAR,2021,28,WR,13,3,25,18,250,1,10,132,7.3,118,6.6,10.5,1,18.0,0,0,0,117.1,999.0,49.0,125,150,25
James Proche,BAL,2021,25,WR,14,0,20,16,202,0,10,147,9.2,55,3.4,9.6,0,,0,0,1,87.9,999.0,36.2,135,152,17
Kendall Hinton,DEN,2021,24,WR,16,1,23,15,175,1,10,118,7.9,57,3.8,8.0,1,15.0,1,4,1,84.5,999.0,38.5,134,153,19
Mack Hollins,MIA,2021,28,WR,17,3,28,14,223,4,11,186,13.3,37,2.6,15.3,0,,1,4,1,101.6,999.0,60.3,113,154,41
Ashton Dulin,IND,2021,24,WR,17,1,22,13,173,2,9,123,9.5,50,3.8,13.8,0,,2,9,0,114.4,999.0,51.5,120,155,35
Lil'Jordan Humphrey,NOR,2021,23,WR,10,4,18,13,249,2,9,148,11.4,101,7.8,10.7,1,13.0,0,0,1,128.2,999.0,49.9,123,157,34
Isaiah Ford,MIA,2021,25,WR,13,2,17,12,161,2,7,101,8.4,60,5.0,8.1,1,12.0,0,0,0,139.6,999.0,40.1,132,158,26
Malik Turner,DAL,2021,25,WR,14,0,16,12,149,3,8,75,6.3,74,6.2,9.3,2,6.0,1,6,1,116.9,999.0,44.9,129,159,30
Jakeem Grant,"2TM",2021,29,WR,15,0,17,11,132,2,7,29,2.6,103,9.4,4.7,3,3.7,2,12,1,103.1,999.0,39.5,133,160,27
John Ross,NYG,2021,26,WR,10,1,20,11,224,1,8,185,16.8,39,3.5,15.7,1,11.0,1,5,0,111.2,999.0,41.0,131,162,31
D'Wayne Eskridge,SEA,2021,24,WR,10,0,20,10,64,1,4,32,3.2,32,3.2,12.6,2,5.0,0,0,0,73.7,999.0,28.3,149,165,16
Cyril Grayson,TAM,2021,28,WR,5,3,12,10,212,2,8,142,14.2,70,7.0,15.4,0,,0,0,0,158.3,999.0,44.6,130,166,36
Dante Pettis,NYG,2021,26,WR,3,0,16,10,87,1,5,49,4.9,38,3.8,6.4,0,,2,12,1,71.6,999.0,25.3,151,167,16
Marcus Johnson,TEN,2021,27,WR,7,3,19,9,160,0,7,65,7.2,95,10.6,9.0,1,9.0,0,0,1,54.7,999.0,24.8,152,168,16
Scott Miller,TAM,2021,24,WR,9,0,9,5,38,0,2,29,5.8,9,1.8,13.0,0,,0,0,2,26.4,999.0,19.1,161,178,17
Ihmir Smith-Marsette,MIN,2021,22,WR,8,1,6,5,116,2,4,99,19.8,17,3.4,21.3,0,,0,0,0,158.3,999.0,28.6,147,179,32
Kristian Wilkerson,NWE,2021,24,WR,3,1,8,4,42,2,2,37,9.3,5,1.3,16.5,1,4.0,1,12,0,105.2,999.0,20.2,159,186,27
Auden Tate,CIN,2021,24,WR,7,0,4,3,39,1,3,18,6.0,21,7.0,11.3,2,1.5,0,0,1,105.2,999.0,12.9,175,191,16
Jesper Horsted,CHI,2021,24,WR,7,0,3,2,21,2,2,21,10.5,0,0.0,10.3,0,,1,33,0,126.4,999.0,16.1,167,195,28
Dezmon Patmon,IND,2021,23,WR,8,0,4,2,21,1,1,18,9.0,3,1.5,9.0,0,,0,0,0,105.2,999.0,10.1,182,199,17
Amon-Ra St Brown,DET,2022,23,WR,16,16,146,106,1161,6,68,645,6.1,516,4.9,6.3,7,15.1,4,3,1,106.6,63.5,267.6,7,25,18
DeVonta Smith,PHI,2022,24,WR,17,17,136,95,1196,7,57,706,7.4,490,5.2,9.6,5,19.0,8,6,1,111.0,90.3,254.6,9,37,28
Christian Kirk,JAX,2022,26,WR,17,17,133,84,1108,8,55,737,8.8,371,4.4,9.1,5,16.8,7,5,4,96.9,100.3,241.9,12,41,29
Tyler Lockett,SEA,2022,30,WR,16,16,117,84,1033,9,50,759,9.0,274,3.3,10.6,1,84.0,2,2,5,106.5,96.5,237.3,13,38,25
Garrett Wilson,NYJ,2022,22,WR,17,12,147,83,1103,4,56,719,8.7,384,4.6,10.5,10,8.3,5,3,1,86.6,138.0,215.7,21,50,29
Zay Jones,JAX,2022,27,WR,16,15,121,82,823,5,44,541,6.6,282,3.4,8.6,2,41.0,13,11,2,93.8,254.0,198.1,26,87,61
Brandon Aiyuk,SFO,2022,24,WR,17,17,114,78,1015,8,47,627,8.0,388,5.0,9.9,4,19.5,7,6,1,115.9,98.0,227.8,15,39,24
Amari Cooper,CLE,2022,28,WR,17,17,132,78,1160,9,61,835,10.7,325,4.2,12.1,4,19.5,12,9,3,101.2,67.8,246.0,10,28,18
Chris Olave,NOR,2022,22,WR,15,9,119,72,1042,4,48,832,11.6,210,2.9,14.2,2,36.0,7,6,5,82.7,110.8,198.2,25,44,19
Josh Palmer,LAC,2022,23,WR,16,11,107,72,769,3,39,514,7.1,255,3.5,8.7,1,72.0,6,6,2,89.7,202.3,169.3,36,66,30
Jakobi Meyers,NWE,2022,26,WR,14,13,96,67,804,6,38,568,8.5,236,3.5,9.9,1,67.0,4,4,0,116.0,162.3,180.3,29,59,30
Curtis Samuel,WAS,2022,26,WR,17,12,92,64,656,4,36,367,5.7,289,4.5,6.7,8,8.0,5,5,2,95.2,263.3,176.3,33,88,55
Parris Campbell,IND,2022,25,WR,17,16,91,63,623,3,32,346,5.5,277,4.4,6.4,5,12.6,5,6,6,71.8,212.0,149.1,48,72,24
Donovan Peoples-Jones,CLE,2022,23,WR,17,14,96,61,839,3,33,648,10.6,191,3.1,11.7,1,61.0,2,2,1,97.5,253.7,167.1,38,86,48
KJ Osborn,MIN,2022,25,WR,17,9,90,60,650,5,32,350,5.8,300,5.0,8.3,3,20.0,2,2,2,97.0,226.7,155.6,45,80,35
Mack Hollins,LVR,2022,29,WR,17,16,94,57,690,4,34,494,8.7,196,3.4,12.7,2,28.5,5,5,3,84.1,999.0,154.2,46,97,51
Richie James,NYG,2022,27,WR,17,4,70,57,569,4,29,393,6.9,176,3.1,7.2,1,57.0,3,4,0,119.6,999.0,132.5,50,98,48
Greg Dortch,ARI,2022,24,WR,16,4,64,52,467,2,19,174,3.3,293,5.6,4.9,3,17.3,0,0,0,107.5,999.0,113.1,62,99,37
Chris Moore,HOU,2022,29,WR,16,7,74,48,548,2,24,285,5.9,263,5.5,8.8,2,24.0,2,3,3,79.1,999.0,115.1,60,100,40
Demarcus Robinson,BAL,2022,28,WR,17,5,75,48,458,2,23,312,6.5,146,3.0,9.0,1,48.0,3,4,4,67.5,999.0,103.8,69,101,32
Kalif Raymond,DET,2022,28,WR,17,7,64,47,616,0,24,398,8.5,218,4.6,10.0,2,23.5,0,0,0,103.4,999.0,116.2,57,102,45
DeAndre Carter,LAC,2022,29,WR,17,7,65,46,538,3,29,332,7.2,206,4.5,8.9,0,,2,3,1,104.5,999.0,112.3,63,103,40
Marvin Jones,JAX,2022,32,WR,16,10,81,46,529,3,29,434,9.4,95,2.1,13.2,0,,5,6,2,78.7,212.3,116.9,56,74,18
Darius Slayton,NYG,2022,25,WR,16,11,71,46,724,2,30,462,10.0,262,5.7,12.5,2,23.0,7,10,2,96.2,999.0,128.4,52,104,52
Noah Brown,DAL,2022,26,WR,16,13,74,43,555,3,25,427,9.9,128,3.0,10.8,4,10.8,6,8,4,72.7,999.0,114.5,61,105,44
Christian Watson,GNB,2022,23,WR,14,11,66,41,611,7,28,335,8.2,276,6.7,13.8,3,13.7,4,6,1,121.5,188.3,164.1,41,65,24
Olamide Zaccheaus,ATL,2022,25,WR,17,13,61,40,533,3,25,344,8.6,189,4.7,11.5,3,13.3,0,0,0,109.5,999.0,110.0,65,106,41
Ben Skowronek,LAR,2022,25,WR,14,11,61,39,376,0,16,239,6.1,137,3.5,7.9,0,,2,3,2,67.4,999.0,84.3,86,107,21
Josh Reynolds,DET,2022,27,WR,14,11,59,38,479,3,25,364,9.6,115,3.0,11.9,0,,4,7,1,99.5,999.0,103.9,68,108,40
Devin Duvernay,BAL,2022,25,WR,14,13,49,37,407,3,19,251,6.8,156,4.2,9.0,0,,1,2,1,111.5,999.0,116.1,58,109,51
Isaiah Hodgins,"2TM",2022,24,WR,10,5,48,37,392,4,24,304,8.2,88,2.4,9.1,2,18.5,0,0,1,119.4,999.0,100.2,74,110,36
Trent Sherfield,MIA,2022,26,WR,17,4,51,30,417,2,18,272,9.1,145,4.8,10.9,1,30.0,3,6,2,81.9,999.0,83.7,87,111,24
Terrace Marshall,CAR,2022,22,WR,14,9,47,28,490,1,24,349,12.5,141,5.0,12.3,1,28.0,3,6,0,102.3,999.0,83.0,88,112,24
Rashid Shaheed,NOR,2022,24,WR,12,6,34,28,488,2,18,312,11.1,176,6.3,11.6,0,,1,3,0,138.4,999.0,100.5,73,113,40
Marquise Goodwin,SEA,2022,32,WR,13,2,42,27,387,4,18,273,10.1,114,4.2,10.5,2,13.5,2,5,1,115.9,999.0,90.2,80,114,34
Nick Westbrook-Ikhine,TEN,2022,25,WR,17,13,50,25,397,3,18,285,11.4,112,4.5,12.8,1,25.0,2,4,2,80.2,999.0,82.7,89,115,26
Jamal Agnew,JAX,2022,27,WR,15,0,30,23,187,3,9,66,2.9,121,5.3,6.1,0,,2,7,0,125.3,999.0,70.3,97,118,21
Shi Smith,CAR,2022,24,WR,17,6,41,22,296,2,14,164,7.5,132,6.0,7.5,1,22.0,3,7,3,62.7,999.0,61.6,104,120,16
Tyquan Thornton,NWE,2022,22,WR,13,9,45,22,247,2,13,179,8.1,68,3.1,14.2,0,,5,11,2,62.0,999.0,66.3,98,121,23
Equanimeous St Brown,CHI,2022,26,WR,16,16,38,21,323,1,14,234,11.1,89,4.2,13.0,0,,1,3,3,59.4,999.0,64.7,100,122,22
Dante Pettis,CHI,2022,27,WR,17,7,41,19,245,3,9,182,9.6,63,3.3,9.0,1,19.0,4,10,1,79.8,999.0,65.2,99,124,25
Tutu Atwell,LAR,2022,23,WR,13,4,35,18,298,1,11,238,13.2,60,3.3,17.8,2,9.0,1,3,1,78.0,999.0,63.2,101,126,25
Trenton Irwin,CIN,2022,27,WR,9,2,23,15,231,4,12,172,11.5,59,3.9,11.3,0,,1,4,0,137.9,999.0,63.2,102,129,27
Justin Watson,KAN,2022,27,WR,17,5,34,15,315,2,12,255,17.0,60,4.0,18.7,0,,5,15,1,84.8,999.0,58.5,106,131,25
Ray-Ray McCloud,SFO,2022,26,WR,17,2,25,14,243,1,11,151,10.8,92,6.6,11.8,0,,2,8,0,102.6,999.0,58.1,107,132,25
Damiere Byrd,ATL,2022,29,WR,14,4,23,13,268,2,9,163,12.5,105,8.1,20.3,1,13.0,0,0,2,90.5,999.0,51.8,114,134,20
Velus Jones,CHI,2022,25,WR,12,2,14,7,107,1,4,70,10.0,37,5.3,16.7,0,,1,7,0,99.4,999.0,34.0,131,157,26
Dyami Brown,WAS,2022,23,WR,15,0,14,5,143,2,5,112,22.4,31,6.2,25.8,1,5.0,0,0,0,114.0,999.0,32.8,133,163,30
Samori Toure,GNB,2022,24,WR,11,2,10,5,82,1,2,71,14.2,11,2.2,17.4,0,,0,0,0,111.2,999.0,19.2,149,166,17
Anthony Schwartz,CLE,2022,22,WR,11,1,10,4,51,0,2,24,6.0,27,6.8,14.2,0,,2,20,0,56.7,999.0,18.8,153,170,17
Jalen Virgil,DEN,2022,24,WR,9,1,5,2,75,1,2,32,16.0,43,21.5,14.0,0,,0,0,0,127.1,999.0,13.5,159,183,24
John Brown,BUF,2022,32,WR,3,0,2,1,42,1,1,42,42.0,0,0.0,43.0,0,,0,0,0,135.4,999.0,11.2,167,185,18
Michael Pittman,IND,2023,26,WR,16,15,156,109,1152,4,53,639,5.9,513,4.0,7.9,3,36.3,3,2,6,83.6,81.5,250.2,13,33,20
Puka Nacua,LAR,2023,22,WR,17,17,160,105,1486,6,68,854,8.1,632,6.0,9.1,7,15.0,13,8,3,100.2,265.0,298.5,4,89,85
Adam Thielen,CAR,2023,33,WR,17,17,137,103,1014,4,56,669,6.5,345,3.0,7.5,2,51.5,7,5,1,102.3,137.3,231.0,17,50,33
Nico Collins,HOU,2023,24,WR,15,10,109,80,1297,8,53,748,9.4,549,6.0,10.9,16,5.0,2,2,2,129.6,174.0,260.4,12,59,47
Mike Evans,TAM,2023,30,WR,17,17,136,79,1255,13,54,933,11.8,322,4.0,14.0,2,39.5,7,5,3,111.6,75.8,282.5,7,31,24
Rashee Rice,KAN,2023,23,WR,16,8,102,79,938,7,44,285,3.6,653,8.0,4.8,3,26.3,8,8,1,123.7,185.3,212.5,27,63,36
Jakobi Meyers,LVR,2023,27,WR,16,16,106,71,807,8,46,565,8.0,242,3.0,9.7,6,11.8,2,2,4,99.1,150.0,218.6,24,52,28
Josh Downs,IND,2023,22,WR,17,9,98,68,771,2,30,400,5.9,371,5.0,7.2,2,34.0,5,5,1,95.2,252.0,157.1,43,84,41
Jayden Reed,GNB,2023,23,WR,16,13,94,64,793,8,32,458,7.2,335,5.0,10.3,3,21.3,3,3,1,117.9,220.0,217.2,25,72,47
Curtis Samuel,WAS,2023,27,WR,16,13,91,62,613,4,26,353,5.7,260,4.0,6.6,4,15.5,2,2,4,83.3,230.3,157.2,42,76,34
Wan'Dale Robinson,NYG,2023,22,WR,15,8,78,60,525,1,29,238,4.0,287,4.0,5.3,5,12.0,3,4,0,98.5,259.5,133.2,53,86,33
Romeo Doubs,GNB,2023,23,WR,17,16,96,59,674,8,41,540,9.2,134,2.0,11.7,1,59.0,6,6,3,97.3,180.3,174.4,37,61,24
Darius Slayton,NYG,2023,26,WR,17,13,79,50,770,4,29,472,9.4,298,6.0,12.2,5,10.0,3,4,2,101.8,245.5,151.0,46,80,34
Demario Douglas,NWE,2023,23,WR,14,7,79,49,561,0,26,225,4.6,336,6.0,8.2,1,49.0,1,1,4,62.3,999.0,107.2,64,149,85
Tank Dell,HOU,2023,24,WR,11,8,75,47,709,7,34,557,11.9,152,3.0,14.3,0,,4,5,2,113.7,265.8,165.0,39,90,51
Rashid Shaheed,NOR,2023,25,WR,15,8,75,46,719,5,27,568,12.3,151,3.0,14.6,3,15.3,2,3,3,98.7,259.7,155.6,44,87,43
Josh Reynolds,DET,2023,28,WR,17,13,64,40,608,5,32,435,10.9,173,4.0,10.1,2,20.0,4,6,1,113.3,999.0,128.8,55,150,95
Tutu Atwell,LAR,2023,24,WR,16,14,67,39,483,3,26,379,9.7,104,2.0,11.4,0,,4,6,2,83.1,999.0,112.4,62,151,89
Khalil Shakir,BUF,2023,23,WR,17,10,45,39,611,2,26,329,8.4,282,7.0,8.9,0,,0,0,0,133.6,340.0,113.1,61,115,54
Dontayvion Wicks,GNB,2023,22,WR,15,6,58,39,581,4,29,371,9.5,210,5.0,10.1,5,7.8,3,5,1,115.7,356.0,119.8,58,118,60
Josh Palmer,LAC,2023,24,WR,10,6,61,38,581,2,22,385,10.1,196,5.0,11.4,1,38.0,3,5,1,97.8,267.5,106.7,65,92,27
Michael Wilson,ARI,2023,23,WR,13,12,58,38,565,3,29,426,11.2,139,3.0,12.3,3,12.7,0,0,2,100.1,272.0,114.5,60,93,33
Kendrick Bourne,NWE,2023,28,WR,8,5,55,37,406,4,15,203,5.5,203,5.0,10.4,2,18.5,1,2,3,90.4,999.0,100.0,69,152,83
Nelson Agholor,BAL,2023,30,WR,17,3,45,35,381,4,19,240,6.9,141,4.0,9.3,2,17.5,2,4,1,122.3,390.0,97.1,71,127,56
Kalif Raymond,DET,2023,29,WR,17,3,44,35,489,1,20,275,7.9,214,6.0,8.8,1,35.0,2,4,0,120.5,999.0,97.4,70,153,83
Noah Brown,HOU,2023,27,WR,10,7,55,33,567,2,24,344,10.4,223,6.0,12.0,1,33.0,3,6,0,107.2,999.0,101.6,67,154,87
Brandon Powell,MIN,2023,28,WR,17,2,44,29,324,1,18,220,7.6,104,3.0,7.5,1,29.0,1,2,1,85.8,447.0,67.1,92,139,47
Nick Westbrook-Ikhine,TEN,2023,26,WR,14,9,45,28,370,3,18,263,9.4,107,3.0,12.3,1,28.0,4,9,0,110.4,999.0,85.0,80,155,75
Braxton Berrios,MIA,2023,28,WR,16,1,33,27,238,1,15,153,5.7,85,3.0,7.1,1,27.0,1,3,2,81.6,999.0,57.9,104,156,52
Justin Watson,KAN,2023,28,WR,16,8,53,27,460,3,21,413,15.3,47,1.0,17.5,0,,4,8,3,76.0,274.0,89.0,77,95,18
Demarcus Robinson,LAR,2023,29,WR,16,4,39,26,371,4,20,282,10.8,89,3.0,12.3,0,,0,0,1,120.8,450.0,87.4,79,140,61
Greg Dortch,ARI,2023,25,WR,16,4,41,24,280,2,14,128,5.3,152,6.0,9.5,1,24.0,0,0,0,95.6,999.0,64.5,93,157,64
Chris Moore,TEN,2023,30,WR,17,5,35,22,424,0,16,367,16.7,57,2.0,18.3,1,22.0,2,6,1,93.0,999.0,68.3,91,158,67
Cedrick Wilson,MIA,2023,28,WR,15,3,38,22,296,3,14,239,10.9,57,2.0,11.3,0,,1,3,1,98.1,353.0,69.6,90,117,27
Xavier Gipson,NYJ,2023,22,WR,17,3,38,21,229,0,9,120,5.7,109,5.0,9.4,3,7.0,1,3,1,62.3,358.0,58.7,103,119,16
Cedric Tillman,CLE,2023,23,WR,14,3,44,21,224,0,12,136,6.5,88,4.0,10.6,2,10.5,1,2,5,23.5,464.0,44.2,118,144,26
Brandon Johnson,DEN,2023,25,WR,13,2,30,19,284,4,12,195,10.3,89,4.0,10.9,2,9.5,1,3,0,133.9,387.0,73.4,86,125,39
Tre Tucker,LVR,2023,22,WR,16,1,34,19,331,2,12,303,15.9,28,1.0,18.5,0,,1,3,2,84.3,415.0,71.8,88,131,43
Mack Hollins,ATL,2023,30,WR,13,3,30,18,251,0,9,196,10.9,55,3.0,12.3,0,,2,7,0,86.9,999.0,43.1,119,159,40
Calvin Austin,PIT,2023,24,WR,17,1,30,17,180,1,7,107,6.3,73,4.0,12.6,0,,1,3,1,71.5,999.0,52.7,109,160,51
Deven Thompkins,TAM,2023,24,WR,17,1,25,17,83,1,5,-1,-0.1,84,4.0,6.2,1,17.0,0,0,1,69.2,999.0,34.9,134,161,27
Jamison Crowder,WAS,2023,30,WR,17,0,20,16,159,1,8,79,4.9,80,5.0,6.1,2,8.0,1,5,0,116.5,999.0,35.9,130,162,32
Alex Erickson,LAC,2023,31,WR,8,3,29,16,232,1,12,174,10.9,58,3.0,10.2,0,,1,3,0,92.9,999.0,45.2,117,163,46
Bo Melton,GNB,2023,24,WR,5,1,24,16,218,1,13,181,11.3,37,2.0,11.1,0,,1,4,0,109.4,999.0,45.9,116,164,48
John Metchie,HOU,2023,23,WR,16,0,30,16,158,0,7,74,4.6,84,5.0,8.9,1,16.0,3,10,0,68.5,999.0,32.2,138,165,27
Parker Washington,JAX,2023,21,WR,9,1,21,16,132,2,5,98,6.1,34,2.0,7.4,1,16.0,1,5,1,103.7,999.0,39.2,124,166,42
Deonte Harty,BUF,2023,26,WR,16,1,21,15,150,1,9,71,4.7,79,5.0,10.8,0,,1,5,2,67.7,999.0,40.0,122,167,45
Kyle Philips,TEN,2023,24,WR,9,0,22,15,181,0,9,102,6.8,79,5.0,9.0,1,15.0,1,4,0,93.2,999.0,31.1,139,168,29
Jamal Agnew,JAX,2023,28,WR,11,1,21,14,225,1,8,149,10.6,76,5.0,12.0,0,,0,0,1,98.3,999.0,40.3,121,169,48
David Bell,CLE,2023,23,WR,15,3,23,14,167,3,9,94,6.7,73,5.0,6.2,1,14.0,1,4,1,104.5,432.0,48.7,113,136,23
KhaDarel Hodge,ATL,2023,28,WR,17,4,23,14,232,0,13,150,10.7,82,5.0,14.4,1,14.0,0,0,2,58.6,999.0,37.2,127,170,43
Lil'Jordan Humphrey,DEN,2023,25,WR,17,8,19,13,162,3,9,63,4.8,99,7.0,9.8,0,,1,5,0,134.2,485.0,47.2,115,145,30
Ray-Ray McCloud,SFO,2023,27,WR,12,1,15,12,135,0,7,48,4.0,87,7.0,6.3,0,,0,0,1,76.4,999.0,28.5,143,171,28
AT Perry,NOR,2023,24,WR,10,3,18,12,246,4,10,226,18.8,20,1.0,16.3,0,,1,6,0,149.3,422.0,60.6,97,133,36
Lynn Bowden,NOR,2023,26,WR,15,3,16,11,83,0,2,26,2.4,57,5.0,5.0,0,,1,6,0,81.0,999.0,22.5,152,172,20
Scott Miller,ATL,2023,26,WR,17,0,16,11,161,2,6,81,7.4,80,7.0,12.2,0,,0,0,0,140.9,999.0,39.1,125,174,49
Laviska Shenault,CAR,2023,25,WR,8,0,10,10,60,0,2,-25,-2.5,85,8.0,-2.5,1,10.0,0,0,0,91.7,999.0,21.5,155,175,20
Ben Skowronek,LAR,2023,26,WR,17,0,12,8,66,1,3,36,4.5,30,3.0,7.3,0,,0,0,0,108.3,999.0,21.5,156,176,20
Ihmir Smith-Marsette,CAR,2023,24,WR,17,0,10,8,51,0,5,3,0.4,48,6.0,0.9,1,8.0,1,10,0,87.9,999.0,32.5,137,177,40
Jalen Reagor,NWE,2023,24,WR,11,1,23,7,138,0,5,120,17.1,18,2.0,15.6,0,,2,9,2,16.2,999.0,28.5,144,178,34
Randall Cobb,NYJ,2023,33,WR,11,1,17,5,39,1,3,16,3.2,23,4.0,9.7,0,,2,12,2,19.6,999.0,16.9,162,180,18
David Moore,TAM,2023,28,WR,7,0,7,5,94,1,3,32,6.4,62,12.0,7.0,0,,0,0,1,113.7,999.0,20.4,158,182,24
Robbie Chosen,MIA,2023,30,WR,9,0,6,4,126,1,3,95,23.8,31,7.0,23.5,0,,0,0,1,109.7,999.0,22.6,151,183,32
DJ Montgomery,IND,2023,27,WR,7,0,8,3,56,1,3,28,9.3,28,9.0,12.1,0,,1,12,0,102.1,999.0,14.6,167,188,21
