"Player","Tm","year","rush_Age","rush_Pos","rush_G","rush_GS","rush_Att","rush_Yds","rush_TD","rush_1D","rush_YBC","rush_YBC/Att","rush_YAC","rush_YAC/Att","rush_BrkTkl","rush_Att/Br","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Austin Ekeler,LAC,2018,23,RB,14,3,106,554,3,25,206,1.9,348,3,9,11,53,39,404,3,18,-7,-0.2,411,10.5,0.8,7,5.6,2,3,0,114.0,15,43,2.9,2,"31.9%",4,5,"80.0%",28,7.0,1,"25.0%",3,71,178.3,168.8,24,56,32
Devontae Booker,DEN,2018,26,RB,16,0,34,183,1,11,93,2.7,90,2,2,17,51,38,275,0,9,33,0.9,242,6.4,1.5,6,6.3,2,3,0,86.6,2,17,8.5,1,"4.1%",4,6,"66.7%",23,5.8,0,"54.5%",1,40,141.0,87.8,56,44,-12
Jacquizz Rodgers,TAM,2018,28,RB,16,0,33,106,1,7,54,1.6,52,1,2,16,45,38,304,0,13,64,1.7,240,6.3,1.8,5,7.6,0,0,1,85.6,4,13,3.3,1,"8.9%",5,6,"83.3%",28,5.6,0,"37.5%",1,41,316.0,83.0,59,77,18
Javorius Allen,BAL,2018,27,RB,14,0,41,110,3,10,37,0.9,73,1,0,,43,35,196,2,11,19,0.5,177,5.1,1.4,4,8.8,1,2,1,91.5,11,12,1.1,3,"21.2%",6,6,"100.0%",36,6.0,2,"54.5%",5,48,182.3,93.6,52,58,6
Giovani Bernard,CIN,2018,27,RB,12,4,56,211,3,14,124,2.2,87,1,1,56,48,35,218,0,8,-4,-0.1,222,6.3,0.0,2,17.5,2,4,0,81.8,8,23,2.9,3,"19.5%",1,1,"100.0%",14,14.0,0,"11.1%",3,37,141.4,95.9,51,45,-6
Phillip Lindsay,DEN,2018,24,RB,15,8,192,1037,9,49,737,3.8,300,1,10,19,47,35,241,1,12,-57,-1.6,298,8.5,-0.9,1,35.0,4,8,0,92.6,29,87,3.0,6,"59.2%",4,5,"80.0%",23,5.8,0,"45.5%",6,110,323.5,222.8,12,80,68
Mike Davis,SEA,2018,25,RB,15,2,112,514,4,25,328,2.9,186,1,7,16,42,34,214,1,10,-21,-0.6,235,6.9,0.1,5,6.8,4,9,0,95.8,20,76,3.8,3,"28.6%",1,1,"100.0%",3,3.0,1,"16.7%",4,79,389.0,136.8,35,86,51
LeSean McCoy,BUF,2018,30,RB,14,13,161,514,3,22,287,1.8,227,1,2,80,46,34,238,0,10,-50,-1.5,288,8.5,-1.1,4,8.5,2,4,1,76.2,20,37,1.9,1,"52.6%",1,1,"100.0%",3,3.0,0,"33.3%",1,40,26.8,127.2,38,13,-25
Tevin Coleman,ATL,2018,25,RB,16,14,167,800,4,36,497,3.0,303,1,6,27,44,32,276,5,15,1,0.0,275,8.6,0.5,2,16.0,3,6,0,126.7,16,39,2.4,1,"38.1%",8,10,"80.0%",51,6.4,4,"62.5%",5,90,71.8,193.6,17,25,8
Kerryon Johnson,DET,2018,21,RB,10,7,118,641,3,32,376,3.2,265,2,14,8,39,32,213,1,11,-54,-1.7,267,8.3,-0.6,4,8.0,0,0,0,98.0,17,58,3.4,3,"30.4%",3,6,"50.0%",19,6.3,1,"33.3%",4,77,77.8,139.4,33,26,-7
