,pre_breakout_avg,normal_avg,percentage_diff
rec_ADOT,0.5846153846153846,0.5028064992614475,16.27045105305977
rank_adp,63.66153846153846,57.04874446085672,11.59148034400482
ADP,355.7307692307692,332.9462333825702,6.843307886897934
rush_YBC/Att,2.313076923076923,2.1775480059084193,6.2239232752053315
rank_total_ppr_points,60.47692307692308,57.04874446085672,6.009209577642087
rz_Y/R,4.073076923076923,3.9137370753323486,4.071296683389068
rz_Y/A,2.6923076923076925,2.6022156573116693,3.4621279271333223
rush_G,12.861538461538462,12.593796159527326,2.1259856727837114
rush_Att/Br,18.125,17.91549295774648,1.1694182389937051
rush_YAC/Att,1.8692307692307693,1.8552437223042837,0.7539196472317454
rec_YAC/R,7.348062015503875,7.3744427934621095,-0.3577324917568349
rush_Age,25.2,25.376661742983753,-0.6961583236321381
rec_Rat,88.50692307692309,89.91181683899558,-1.5625240501904467
rec_Rec/Br,10.31685393258427,10.628351648351648,-2.9308186826476432
rec_Drop%,6.0,6.5376661742983755,-8.224130140081341
rush_YBC,202.6076923076923,224.24519940915806,-9.649039158241214
rush_1D,19.692307692307693,22.051928783382788,-10.700293449401963
rush_Yds,375.9307692307692,422.52141802067945,-11.02681350644098
rush_Att,86.92307692307692,97.87296898079764,-11.187861338781959
rz_TGT,3.0076923076923077,3.4342688330871494,-12.421174524400335
rush_YAC,173.3230769230769,198.27621861152141,-12.585040134003508
rz_REC,2.146153846153846,2.462333825701625,-12.840662636703437
rush_BrkTkl,5.923076923076923,6.807976366322009,-12.997980539746651
rec_Tgt,24.130769230769232,28.370753323485967,-14.94491191112214
rec_BrkTkl,1.9153846153846155,2.2673559822747413,-15.523427712352783
rec_Yds,139.06153846153848,164.71344165435747,-15.573655030928299
rec_Rec,18.346153846153847,21.821270310192023,-15.925362798035913
PPR_PTS,86.83461538461539,103.42038404726735,-16.037233680230372
rec_Drop,1.4153846153846155,1.6942392909896602,-16.458990007377096
rush_GS,3.9615384615384617,4.768094534711965,-16.91568963873797
rec_YAC,138.5076923076923,166.89217134416543,-17.007675559531542
rz_YDS_rec,11.4,13.772525849335302,-17.226512226512224
rz_YDS_total,46.16923076923077,56.27326440177253,-17.955300336590202
rz_YDS_rush,34.76923076923077,42.50073855243722,-18.191466893374933
rec_1D,6.107692307692307,7.473293768545994,-18.273086849620505
rz_ATT,12.407692307692308,15.304283604135893,-18.926670279821515
rush_TD,2.4153846153846152,3.0782865583456425,-21.534770411929724
rz_TD_rush,1.9923076923076923,2.5568685376661744,-22.080167088832603
rz_TD_total,2.3384615384615386,3.153618906942393,-25.848315618807423
rec_Int,0.2153846153846154,0.29542097488921715,-27.092307692307692
rec_TD,0.5538461538461539,0.8478581979320532,-34.67703028678638
rz_TD_rec,0.34615384615384615,0.5967503692762186,-41.9935262757045
rec_YBC,0.5538461538461539,-2.178729689807976,-125.42059973924383
rec_YBC/R,0.042635658914728654,-0.03164933135215452,-234.71266877752305
