"Player","Tm","year","rush_Age","rush_Pos","rush_G","rush_GS","rush_Att","rush_Yds","rush_TD","rush_1D","rush_YBC","rush_YBC/Att","rush_YAC","rush_YAC/Att","rush_BrkTkl","rush_Att/Br","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Adrian Peterson,WAS,2019,34,RB,15,15,211,898,5,41,374,1.8,524,2,7,30,23,17,142,0,7,-19,-1.1,161,9.5,-1.9,6,2.8,1,4,0,89.4,23,64,2.8,5,"60.5%",2,2,"100.0%",20,10.0,0,"15.4%",5,84,145.5,147.0,32,47,15
Kalen Ballage,MIA,2019,24,RB,12,6,74,135,3,10,50,0.7,85,1,1,74,24,14,63,0,4,-24,-1.7,87,6.2,-0.3,0,,4,17,1,45.8,16,35,2.2,3,"30.8%",2,5,"40.0%",-2,-1.0,0,"31.3%",3,33,134.3,51.8,70,44,-26
Frank Gore,BUF,2019,36,RB,16,8,166,599,2,30,260,1.6,339,2,10,17,16,13,100,0,5,12,0.9,88,6.8,0.9,1,13.0,1,6,0,92.7,26,33,1.3,2,"56.5%",0,0,"0%",0,0.0,0,"0.0%",2,33,220.0,94.9,49,57,8
Chase Edmonds,ARI,2019,23,RB,13,2,60,303,4,12,180,3.0,123,2,4,15,21,12,105,1,5,-3,-0.3,108,9.0,0.1,2,6.0,5,24,1,66.6,7,45,6.4,2,"29.2%",4,6,"66.7%",18,4.5,1,"50.0%",3,63,407.8,82.8,56,76,20
Wayne Gallman,NYG,2019,25,RB,10,2,29,110,2,6,72,2.5,38,1,0,,15,11,102,1,4,-2,-0.2,104,9.5,2.1,2,5.5,0,0,0,113.7,6,10,1.7,2,"13.6%",3,3,"100.0%",22,7.3,1,"33.3%",3,32,471.0,48.2,75,82,7
Travis Homer,SEA,2019,21,RB,16,1,18,114,0,6,82,4.6,32,2,0,,13,11,56,0,3,-4,-0.4,60,5.5,-0.3,1,11.0,0,0,0,84.6,4,1,0.3,0,"7.0%",1,1,"100.0%",10,10.0,0,"16.7%",0,11,575.0,28.0,90,94,4
Brian Hill,ATL,2019,24,RB,12,2,78,323,2,19,157,2.0,166,2,3,26,14,10,69,1,4,15,1.5,54,5.4,1.5,2,5.0,1,7,0,106.0,10,37,3.7,1,"20.0%",1,3,"33.3%",10,10.0,1,"23.1%",2,47,566.0,67.2,63,93,30
Mike Davis,"2TM",2019,26,RB,12,1,13,27,0,0,15,1.2,12,1,0,,8,7,22,0,1,-5,-0.7,27,3.9,0.8,0,,0,0,0,79.2,0,0,0.0,0,"0.0%",1,2,"50.0%",5,5.0,0,"11.1%",0,5,377.2,11.9,100,68,-32
Gus Edwards,BAL,2019,24,RB,16,1,133,711,2,46,335,2.5,376,3,7,19,7,7,45,0,2,0,0.0,45,6.4,0.0,0,,0,0,0,93.5,23,62,2.7,1,"31.9%",1,1,"100.0%",6,6.0,0,"10.0%",1,68,433.0,92.6,51,80,29
Myles Gaskin,MIA,2019,22,RB,7,0,36,133,1,7,28,0.8,105,3,0,,12,7,51,0,2,5,0.7,46,6.6,0.2,0,,2,17,0,68.4,5,4,0.8,1,"9.6%",1,2,"50.0%",0,0.0,0,"12.5%",1,4,624.0,31.4,85,96,11
Jordan Wilkins,IND,2019,25,RB,14,1,51,307,2,12,140,2.7,167,3,4,13,11,7,43,0,1,11,1.6,32,4.6,1.4,1,7.0,1,9,0,71.4,11,35,3.2,2,"19.0%",0,1,"0.0%",0,0.0,0,"14.3%",2,35,682.0,54.0,69,102,33
Devontae Booker,DEN,2019,27,RB,16,0,2,9,0,0,0,0.0,9,4,1,2,9,6,57,0,1,13,2.2,44,7.3,4.0,0,,1,11,0,84.0,0,0,0.0,0,"0.0%",1,1,"100.0%",-1,-1.0,0,"6.3%",0,-1,634.0,12.6,98,98,0
Darrell Henderson,LAR,2019,22,RB,13,0,39,147,0,10,84,2.2,63,2,7,6,6,4,37,0,1,0,0.0,37,9.3,0.5,0,,1,17,0,83.3,2,4,2.0,0,"3.0%",0,0,"0%",0,0.0,0,"0.0%",0,4,106.8,22.4,92,37,-55
Jeff Wilson,SFO,2019,24,RB,10,0,27,105,4,9,66,2.4,39,1,0,,5,3,34,1,1,13,4.3,21,7.0,2.4,0,,1,20,0,120.0,16,41,2.6,4,"26.2%",0,1,"0.0%",0,0.0,0,"5.3%",4,41,530.0,46.9,76,90,14
Malcolm Brown,LAR,2019,26,RB,14,1,69,255,5,16,110,1.6,145,2,10,7,6,2,16,0,0,9,4.5,7,3.5,0.0,0,,1,17,2,2.8,15,43,2.9,4,"22.4%",0,0,"0%",0,0.0,0,"0.0%",4,43,367.0,59.1,66,64,-2
Troymaine Pope,LAC,2019,26,RB,14,0,10,20,0,0,11,1.1,9,1,0,,3,2,14,1,1,3,1.5,11,5.5,0.0,0,,1,33,0,116.7,2,-1,-0.5,0,"3.6%",1,1,"100.0%",13,13.0,1,"4.5%",1,12,518.0,9.4,104,89,-15
Devin Singletary,BUF,2020,23,RB,16,16,156,687,2,40,238,1.5,449,3,9,17,50,38,269,0,8,0,0.0,269,7.1,1.0,4,9.5,3,6,0,87.8,22,56,2.5,1,"43.1%",5,7,"71.4%",22,4.4,0,"70.0%",1,78,53.8,143.6,30,21,-9
Leonard Fournette,TAM,2020,25,RB,13,3,97,367,6,21,169,1.7,198,2,0,,47,36,233,0,9,-2,-0.1,235,6.5,0.1,5,7.2,7,15,0,86.6,20,42,2.1,5,"37.7%",7,8,"87.5%",39,5.6,0,"44.4%",5,81,59.3,132.0,34,26,-8
Jonathan Taylor,IND,2020,21,RB,15,13,232,1169,11,69,690,3.0,479,2,15,16,39,36,299,1,12,-68,-1.9,367,10.2,-1.3,3,12.0,1,3,0,107.2,40,89,2.2,8,"53.3%",4,6,"66.7%",10,2.5,0,"33.3%",8,99,42.8,252.8,6,20,14
James Conner,PIT,2020,25,RB,13,11,169,721,6,42,385,2.3,336,2,17,10,43,35,215,0,10,-15,-0.4,230,6.6,-0.1,3,11.7,4,9,0,87.5,27,68,2.5,6,"52.9%",3,5,"60.0%",17,5.7,0,"62.5%",6,85,34.8,164.6,26,17,-9
Duke Johnson,HOU,2020,27,RB,11,5,77,235,1,11,119,1.5,116,2,5,15,35,28,249,1,8,29,1.0,220,7.9,1.9,2,14.0,2,6,0,105.8,5,7,1.4,1,"18.5%",7,8,"87.5%",2,0.3,0,"38.1%",1,9,131.5,84.4,57,44,-13
Tony Pollard,DAL,2020,23,RB,16,2,101,435,4,23,186,1.8,249,2,8,13,40,28,193,1,9,-39,-1.4,232,8.3,-0.4,4,7.0,4,10,0,88.9,13,32,2.5,2,"23.2%",5,7,"71.4%",34,6.8,1,"50.0%",3,66,136.5,120.8,40,46,6
Rex Burkhead,NWE,2020,30,RB,10,0,67,274,3,18,178,2.7,96,1,5,13,33,25,192,3,11,-9,-0.4,201,8.0,0.9,2,12.5,0,0,1,107.1,13,45,3.5,3,"25.0%",3,6,"50.0%",30,10.0,2,"40.0%",5,75,259.5,107.6,43,76,33
Boston Scott,PHI,2020,25,RB,16,4,80,374,1,16,220,2.8,154,2,10,8,36,25,212,1,8,31,1.2,181,7.2,2.6,1,25.0,0,0,0,93.7,8,20,2.5,0,"16.7%",3,5,"60.0%",25,8.3,1,"83.3%",1,45,135.0,95.6,49,45,-4
