"Player","Tm","year","rush_Age","rush_Pos","rush_G","rush_GS","rush_Att","rush_Yds","rush_TD","rush_1D","rush_YBC","rush_YBC/Att","rush_YAC","rush_YAC/Att","rush_BrkTkl","rush_Att/Br","rec_Tgt","rec_Rec","rec_Yds","rec_TD","rec_1D","rec_YBC","rec_YBC/R","rec_YAC","rec_YAC/R","rec_ADOT","rec_BrkTkl","rec_Rec/Br","rec_Drop","rec_Drop%","rec_Int","rec_Rat","rz_ATT","rz_YDS_rush","rz_Y/A","rz_TD_rush","rz_PCT","rz_REC","rz_TGT","rz_REC PCT","rz_YDS_rec","rz_Y/R","rz_TD_rec","rz_TGT PCT","rz_TD_total","rz_YDS_total","ADP","PPR_PTS","rank_total_ppr_points","rank_adp","breakout_score"
Alfred Blue,HOU,2018,27,RB,16,2,150,499,2,25,307,2.0,192,1,7,21,27,20,154,0,4,47,2.4,107,5.4,2.7,2,10.0,1,3,0,87.6,14,16,1.1,2,"31.8%",2,3,"66.7%",7,3.5,0,"50.0%",2,23,321.7,97.3,50,79,29
Chris Carson,SEA,2018,24,RB,14,14,247,1151,9,61,556,2.3,595,2,23,10,24,20,163,0,7,0,0.0,163,8.2,0.0,2,10.0,1,4,0,95.0,40,101,2.5,8,"57.1%",3,3,"100.0%",15,5.0,0,"50.0%",8,116,90.4,201.4,14,32,18
Nick Chubb,CLE,2018,23,RB,16,9,192,996,8,47,398,2.1,598,3,22,8,29,20,149,2,5,-32,-1.6,181,9.1,1.6,0,,3,10,0,104.0,26,57,2.2,5,"50.0%",4,4,"100.0%",39,9.8,2,"30.8%",7,96,127.4,194.5,16,41,25
Adrian Peterson,WAS,2018,33,RB,16,16,251,1042,7,47,572,2.3,470,1,20,12,26,20,208,1,9,7,0.4,201,10.1,0.3,7,2.9,3,11,0,112.3,31,55,1.8,5,"73.8%",2,3,"66.7%",15,7.5,1,"33.3%",6,70,125.4,189.0,18,40,22
Elijah McGuire,NYJ,2018,24,RB,8,3,92,276,3,15,100,1.1,176,1,5,18,31,19,193,1,10,34,1.8,159,8.4,4.9,5,3.8,4,12,0,89.9,12,28,2.3,3,"28.6%",1,2,"50.0%",20,20.0,1,"40.0%",4,48,280.5,85.9,58,72,14
Doug Martin,OAK,2018,29,RB,16,9,172,723,4,37,376,2.2,347,2,10,17,24,18,116,0,6,22,1.2,94,5.2,0.9,1,18.0,2,8,0,84.7,31,91,2.9,3,"50.0%",1,2,"50.0%",6,6.0,0,"16.7%",3,97,173.3,119.9,40,55,15
Trenton Cannon,NYJ,2018,24,RB,16,0,38,113,1,7,26,0.7,87,2,5,7,25,17,144,0,4,26,1.5,118,6.9,6.3,1,17.0,3,12,1,66.1,4,7,1.8,1,"9.5%",0,1,"0.0%",0,0.0,0,"20.0%",1,7,367.0,48.7,77,85,8
Marlon Mack,IND,2018,22,RB,12,10,195,908,9,50,490,2.5,418,2,10,19,26,17,103,1,3,-23,-1.4,126,7.4,-1.1,0,,3,11,1,69.9,32,96,3.0,8,"53.3%",2,2,"100.0%",11,5.5,0,"12.5%",8,107,104.8,178.1,20,34,14
Kapri Bibbs,"2TM",2018,25,RB,12,0,21,103,3,8,71,3.4,32,1,2,10,23,16,115,1,4,7,0.4,108,6.8,1.7,0,,3,13,2,59.1,7,23,3.3,3,"16.7%",0,0,"0%",0,0.0,0,"0.0%",3,23,999.0,61.8,69,92,23
Justin Jackson,LAC,2018,22,RB,13,1,50,206,2,13,107,2.1,99,2,5,10,19,15,135,0,5,-17,-1.1,152,10.1,-1.0,1,15.0,1,5,0,96.3,5,30,6.0,2,"10.6%",0,2,"0.0%",0,0.0,0,"10.0%",2,30,999.0,61.1,70,93,23
Frank Gore,MIA,2018,35,RB,14,14,156,722,0,25,353,2.3,369,2,11,14,16,12,124,1,8,9,0.8,115,9.6,1.3,5,2.4,0,0,0,117.7,13,41,3.2,0,"46.4%",3,3,"100.0%",22,7.3,1,"25.0%",1,63,208.7,102.6,45,60,15
Jeff Wilson,SFO,2018,23,RB,6,2,66,266,0,13,131,2.0,135,2,4,16,15,12,98,0,5,1,0.1,97,8.1,0.5,1,12.0,1,6,1,66.1,11,48,4.4,0,"18.3%",4,5,"80.0%",18,4.5,0,"33.3%",0,66,999.0,44.4,79,94,15
Anthony Sherman,KAN,2018,30,RB,16,1,1,2,0,1,1,1.0,1,1,0,,9,8,96,1,5,40,5.0,56,7.0,4.9,1,8.0,1,11,0,148.1,0,0,0.0,0,"0.0%",2,3,"66.7%",14,7.0,0,"13.6%",0,14,999.0,23.8,87,97,10
Josh Adams,PHI,2018,22,RB,14,5,120,511,3,23,256,2.1,255,2,8,15,13,7,58,0,3,-7,-1.0,65,9.3,-0.7,0,,2,15,0,65.5,17,40,2.4,2,"27.0%",0,0,"0%",0,0.0,0,"0.0%",2,40,999.0,81.9,60,98,38
Zach Zenner,DET,2018,27,RB,8,1,55,265,3,14,114,2.1,151,2,2,27,10,7,56,0,3,-3,-0.4,59,8.4,0.6,0,,2,20,0,83.7,6,25,4.2,2,"10.7%",0,0,"0%",0,0.0,0,"0.0%",2,25,999.0,57.1,74,99,25
Raheem Mostert,SFO,2018,26,RB,9,0,34,261,1,13,143,4.2,118,3,5,6,7,6,25,0,1,-19,-3.2,44,7.3,-0.6,0,,0,0,0,81.5,1,0,0.0,0,"1.7%",0,0,"0%",0,0.0,0,"0.0%",0,0,999.0,38.6,83,100,17
Zach Line,NOR,2018,28,RB,16,6,9,41,0,6,22,2.4,19,2,0,,10,5,14,2,2,7,1.4,7,1.4,2.5,0,,3,30,0,95.8,1,-1,-1.0,0,"1.2%",5,6,"83.3%",14,2.8,2,"18.2%",2,13,999.0,22.5,89,101,12
Brandon Bolden,MIA,2018,28,RB,16,0,8,91,2,4,84,10.5,7,0,0,,3,3,13,1,1,-6,-2.0,19,6.3,-2.0,0,,0,0,0,124.3,2,13,6.5,1,"7.1%",1,1,"100.0%",4,4.0,1,"8.3%",2,17,999.0,29.4,86,104,18
Darrel Williams,KAN,2018,23,RB,6,0,13,44,0,3,13,1.0,31,2,5,2,3,3,27,1,1,-7,-2.3,34,11.3,-2.3,0,,0,0,0,143.7,1,5,5.0,0,"2.1%",1,1,"100.0%",11,11.0,1,"4.5%",1,16,999.0,16.1,93,106,13
Gus Edwards,BAL,2018,23,RB,11,6,137,718,2,37,356,2.6,362,2,7,19,2,2,20,0,1,3,1.5,17,8.5,1.5,0,,0,0,0,108.3,15,52,3.5,2,"28.8%",0,0,"0%",0,0.0,0,"0.0%",2,52,999.0,89.8,54,109,55
Brian Hill,ATL,2018,23,RB,10,0,20,157,0,5,125,6.3,32,1,1,20,2,1,9,0,0,4,4.0,5,5.0,3.5,2,0.5,0,0,0,62.5,2,4,2.0,0,"4.8%",0,1,"0.0%",0,0.0,0,"6.3%",0,4,999.0,15.6,94,112,18
Austin Ekeler,LAC,2019,24,RB,16,8,132,557,3,32,233,1.8,324,2,12,11,108,92,993,8,42,53,0.6,940,10.2,1.3,15,6.1,1,1,2,122.0,16,20,1.3,3,"28.6%",9,12,"75.0%",60,6.7,4,"54.5%",7,80,70.8,309.0,4,28,24
Kenyan Drake,"2TM",2019,25,RB,14,10,170,817,8,48,479,2.8,338,2,12,14,68,50,345,0,15,-79,-1.6,424,8.5,-0.6,2,25.0,3,4,1,78.4,19,52,2.7,6,"36.5%",2,3,"66.7%",18,9.0,0,"18.8%",6,70,76.7,214.2,17,30,13
Miles Sanders,PHI,2019,22,RB,16,11,179,818,3,30,445,2.5,373,2,16,11,63,50,509,3,19,89,1.8,420,8.4,2.0,4,12.5,3,5,0,116.2,26,76,2.9,2,"43.3%",8,10,"80.0%",46,5.8,2,"71.4%",4,122,73.5,218.7,15,29,14
Aaron Jones,GNB,2019,25,RB,16,16,236,1084,16,55,569,2.4,515,2,32,7,68,49,474,3,18,41,0.8,433,8.8,2.8,10,4.9,2,3,0,105.9,32,113,3.5,14,"69.6%",10,11,"90.9%",42,4.2,1,"55.0%",15,155,32.3,314.8,2,15,13
Nyheim Hines,IND,2019,23,RB,16,2,52,199,2,16,118,2.3,81,2,2,26,58,44,320,0,15,5,0.1,315,7.2,1.3,4,11.0,2,3,0,88.3,7,23,3.3,2,"12.1%",3,5,"60.0%",11,3.7,0,"71.4%",2,34,156.3,117.9,41,52,11
Chris Thompson,WAS,2019,29,RB,11,0,37,138,0,7,74,2.0,64,2,2,18,58,42,378,0,16,41,1.0,337,8.0,1.7,3,14.0,2,3,0,89.6,6,13,2.2,0,"15.8%",2,5,"40.0%",22,11.0,0,"38.5%",0,35,319.4,93.6,50,62,12
