"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Todd Gurley II (FA)","64","204","3.2","17","87.7%","9","19","47.4%","78","8.7","3","95.0%","0","14","157.2","11.2","0.1%"
"2","Alvin Kamara (NO)","51","174","3.4","13","63.0%","21","26","80.8%","128","6.1","3","78.8%","0","15","147.2","9.8","97.1%"
"3","Christian McCaffrey (SF)","46","134","2.9","7","82.1%","14","16","87.5%","90","6.4","5","94.1%","1","16","106.4","6.7","100.0%"
"4","Melvin Gordon III (FA)","23","128","5.6","8","48.9%","8","13","61.5%","33","4.1","3","65.0%","0","12","90.1","7.5","0.0%"
"5","James Conner (ARI)","34","90","2.6","10","75.6%","6","7","85.7%","36","6.0","1","53.8%","0","13","84.6","6.5","91.2%"
"6","Saquon Barkley (PHI)","44","82","1.9","6","83.0%","11","15","73.3%","69","6.3","3","78.9%","0","16","80.1","5.0","100.0%"
"7","James White (FA)","21","30","1.4","3","26.3%","14","20","70.0%","88","6.3","6","66.7%","0","16","79.8","5.0","0.1%"
"8","Derrick Henry (BAL)","43","168","3.9","10","65.2%","2","2","100.0%","2","1.0","0","20.0%","0","16","79.0","4.9","99.9%"
"9","Kareem Hunt (FA)","27","69","2.6","7","56.3%","6","9","66.7%","54","9.0","3","40.9%","0","11","78.3","7.1","0.7%"
"10","Ezekiel Elliott (DAL)","39","105","2.7","5","90.7%","12","17","70.6%","70","5.8","2","85.0%","0","15","71.5","4.8","80.7%"
"11","Joe Mixon (HOU)","32","82","2.6","8","78.0%","5","8","62.5%","36","7.2","1","88.9%","0","14","70.8","5.1","98.8%"
"12","David Johnson (FA)","27","76","2.8","7","77.1%","6","10","60.0%","32","5.3","1","83.3%","0","16","64.8","4.1","0.0%"
"13","Chris Carson (FA)","40","101","2.5","8","57.1%","3","3","100.0%","15","5.0","0","50.0%","0","14","62.6","4.5","0.3%"
"14","Marlon Mack (FA)","32","96","3.0","8","53.3%","2","2","100.0%","11","5.5","0","12.5%","0","12","60.7","5.1","0.0%"
"15","Alex Collins (FA)","21","94","4.5","7","40.4%","3","5","60.0%","17","5.7","1","45.5%","1","10","60.1","6.0","19.0%"
"16","Tarik Cohen (FA)","11","51","4.6","1","26.2%","11","14","78.6%","76","6.9","4","66.7%","0","16","57.7","3.6","0.0%"
"17","Nick Chubb (CLE)","26","57","2.2","5","50.0%","4","4","100.0%","39","9.8","2","30.8%","0","16","55.6","3.5","82.9%"
"18","Jordan Howard (FA)","30","95","3.2","7","71.4%","3","5","60.0%","6","2.0","0","23.8%","1","16","53.1","3.3","0.0%"
"19","Phillip Lindsay (FA)","29","87","3.0","6","59.2%","4","5","80.0%","23","5.8","0","45.5%","0","15","51.0","3.4","0.0%"
"20","Aaron Jones (MIN)","18","88","4.9","6","47.4%","2","3","66.7%","9","4.5","0","30.0%","0","12","47.7","4.0","94.7%"
"21","Tevin Coleman (FA)","16","39","2.4","1","38.1%","8","10","80.0%","51","6.4","4","62.5%","0","16","47.0","2.9","0.0%"
"22","Mark Ingram II (FA)","26","92","3.5","6","32.1%","1","1","100.0%","1","1.0","0","3.0%","0","12","46.3","3.9","0.1%"
"23","Peyton Barber (FA)","36","78","2.2","5","80.0%","2","5","40.0%","12","6.0","1","31.3%","1","16","45.0","2.8","1.0%"
"24","Leonard Fournette (FA)","22","40","1.8","5","61.1%","3","3","100.0%","17","5.7","1","25.0%","0","8","44.7","5.6","2.1%"
"25","Adrian Peterson (FA)","31","55","1.8","5","73.8%","2","3","66.7%","15","7.5","1","33.3%","1","16","43.0","2.7","2.4%"
"26","Nyheim Hines (CLE)","22","54","2.5","2","36.7%","8","9","88.9%","47","5.9","2","56.3%","0","16","42.1","2.6","0.8%"
"27","Sony Michel (FA)","41","103","2.5","5","51.3%","1","1","100.0%","7","7.0","0","3.3%","0","13","42.0","3.2","0.0%"
"28","Damien Williams (FA)","7","24","3.4","3","14.6%","7","7","100.0%","24","3.4","2","31.8%","0","16","41.8","2.6","0.0%"
"29","Javorius Allen (FA)","11","12","1.1","3","21.2%","6","6","100.0%","36","6.0","2","54.5%","0","14","40.8","2.9","0.1%"
"30","Matt Breida (SF)","23","62","2.7","2","38.3%","4","4","100.0%","37","9.3","2","26.7%","0","14","37.9","2.7","0.1%"
"31","Ito Smith (FA)","21","58","2.8","4","50.0%","3","4","75.0%","21","7.0","0","25.0%","0","14","34.9","2.5","0.0%"
"32","Royce Freeman (DAL)","18","49","2.7","5","36.7%","0","0","0%","0","0","0","0.0%","0","14","34.9","2.5","0.4%"
"33","Kerryon Johnson (FA)","17","58","3.4","3","30.4%","3","6","50.0%","19","6.3","1","33.3%","0","10","34.7","3.5","0.0%"
"34","Wendell Smallwood (FA)","14","43","3.1","3","22.2%","3","5","60.0%","28","9.3","1","38.5%","0","16","34.1","2.1","0.0%"
"35","Carlos Hyde (FA)","22","38","1.7","5","42.3%","0","1","0.0%","0","0","0","7.7%","0","14","33.8","2.4","0.0%"
"36","T.J. Yeldon (FA)","12","44","3.7","1","33.3%","3","6","50.0%","21","7.0","3","50.0%","0","14","33.5","2.4","0.0%"
"37","Mike Davis (FA)","20","76","3.8","3","28.6%","1","1","100.0%","3","3.0","1","16.7%","0","15","32.9","2.2","1.0%"
"38","LeGarrette Blount (FA)","25","25","1.0","5","44.6%","0","0","0%","0","0","0","0.0%","0","16","32.5","2.0","0.1%"
"39","Latavius Murray (FA)","21","52","2.5","4","53.8%","2","2","100.0%","10","5.0","0","28.6%","0","16","32.2","2.0","0.0%"
"40","Kenyan Drake (FA)","12","49","4.1","3","42.9%","3","7","42.9%","16","5.3","1","58.3%","1","16","31.5","2.0","0.0%"
"41","Elijah McGuire (FA)","12","28","2.3","3","28.6%","1","2","50.0%","20","20.0","1","40.0%","0","8","29.8","3.7","0.0%"
"42","Duke Johnson Jr. (FA)","4","9","2.3","0","7.7%","6","8","75.0%","43","7.2","3","61.5%","0","16","29.2","1.8","0.0%"
"43","Lamar Miller (FA)","29","35","1.2","3","65.9%","1","2","50.0%","4","4.0","1","33.3%","0","14","28.9","2.1","0.0%"
"44","Doug Martin (FA)","31","91","2.9","3","50.0%","1","2","50.0%","6","6.0","0","16.7%","0","16","28.7","1.8","0.0%"
"45","Jaylen Samuels (FA)","7","19","2.7","0","15.6%","5","5","100.0%","35","7.0","3","38.5%","0","14","28.4","2.0","0.0%"
"46","Isaiah Crowell (FA)","16","43","2.7","4","38.1%","0","1","0.0%","0","0","0","20.0%","0","13","28.3","2.2","0.1%"
"47","Austin Ekeler (WAS)","15","43","2.9","2","31.9%","4","5","80.0%","28","7.0","1","25.0%","1","14","27.1","1.9","84.3%"
"48","Dion Lewis (FA)","23","41","1.8","1","34.8%","7","8","87.5%","38","5.4","1","80.0%","0","16","26.9","1.7","2.0%"
"49","James Develin (FA)","4","6","1.5","4","5.0%","1","1","100.0%","-1","-1.0","0","3.3%","0","16","25.5","1.6","0.0%"
"50","Marshawn Lynch (FA)","15","29","1.9","3","24.2%","4","5","80.0%","5","1.3","0","41.7%","0","6","25.4","4.2","0.3%"
"51","Jamaal Williams (NO)","14","25","1.8","3","36.8%","2","3","66.7%","12","6.0","0","30.0%","0","16","23.7","1.5","2.8%"
"52","Giovani Bernard (FA)","8","23","2.9","3","19.5%","1","1","100.0%","14","14.0","0","11.1%","0","12","22.7","1.9","0.0%"
"53","Corey Clement (FA)","16","57","3.6","2","25.4%","2","2","100.0%","13","6.5","0","15.4%","0","11","21.0","1.9","0.0%"
"54","Kapri Bibbs (FA)","7","23","3.3","3","16.7%","0","0","0%","0","0","0","0.0%","0","12","20.3","1.7","0.1%"
"55","Jay Ajayi (FA)","11","28","2.5","3","17.5%","1","2","50.0%","4","4.0","0","15.4%","1","4","20.2","5.1","7.0%"
"56","Rashaad Penny (FA)","9","52","5.8","2","12.9%","1","1","100.0%","4","4.0","0","16.7%","0","14","18.6","1.3","0.1%"
"57","Zach Line (FA)","1","-1","-1.0","0","1.2%","5","6","83.3%","14","2.8","2","18.2%","0","16","18.3","1.1","0.0%"
"58","Gus Edwards (LAC)","15","52","3.5","2","28.8%","0","0","0%","0","0","0","0.0%","0","11","17.2","1.6","75.4%"
"59","Darren Sproles (FA)","5","21","4.2","1","7.9%","2","4","50.0%","9","4.5","1","30.8%","0","6","17.0","2.8","0.1%"
"60","Alfred Blue (FA)","14","16","1.1","2","31.8%","2","3","66.7%","7","3.5","0","50.0%","0","16","16.3","1.0","0.0%"
"61","Josh Adams (FA)","17","40","2.4","2","27.0%","0","0","0%","0","0","0","0.0%","0","16","16.0","1.0","0.0%"
"62","Cordarrelle Patterson (PIT)","9","25","2.8","1","11.3%","1","3","33.3%","1","1.0","1","10.0%","0","15","15.6","1.0","0.9%"
