"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"63","Spencer Ware (FA)","12","21","1.8","2","25.0%","1","2","50.0%","4","4.0","0","9.1%","0","13","15.5","1.2","0.0%"
"64","Frank Gore (FA)","13","41","3.2","0","46.4%","3","3","100.0%","22","7.3","1","25.0%","0","14","15.3","1.1","12.1%"
"65","Jordan Wilkins (FA)","4","25","6.3","1","6.7%","5","5","100.0%","17","3.4","0","31.3%","0","16","15.2","1.0","0.0%"
"66","Jacquizz Rodgers (FA)","4","13","3.3","1","8.9%","5","6","83.3%","28","5.6","0","37.5%","0","16","15.1","0.9","0.0%"
"67","Dalvin Cook (FA)","15","25","1.7","1","38.5%","2","2","100.0%","6","3.0","1","28.6%","1","11","15.1","1.4","0.7%"
"68","Justin Jackson (FA)","5","30","6.0","2","10.6%","0","2","0.0%","0","0","0","10.0%","0","13","15.0","1.2","0.0%"
"69","Chase Edmonds (TB)","8","28","3.5","2","22.9%","0","0","0%","0","0","0","0.0%","0","16","14.8","0.9","0.5%"
"70","Brandon Bolden (FA)","2","13","6.5","1","7.1%","1","1","100.0%","4","4.0","1","8.3%","0","16","14.7","0.9","0.0%"
"71","Zach Zenner (FA)","6","25","4.2","2","10.7%","0","0","0%","0","0","0","0.0%","0","8","14.5","1.8","0.0%"
"72","Jalen Richard (FA)","8","34","4.3","1","12.9%","3","4","75.0%","20","6.7","0","33.3%","0","16","14.4","0.9","1.0%"
"73","Devontae Booker (FA)","2","17","8.5","1","4.1%","4","6","66.7%","23","5.8","0","54.5%","0","16","14.0","0.9","0.0%"
"74","Theo Riddick (FA)","8","21","2.6","0","14.3%","8","10","80.0%","39","4.9","0","55.6%","0","14","14.0","1.0","0.0%"
"75","Kenneth Dixon (FA)","5","12","2.4","2","9.6%","0","0","0%","0","0","0","0.0%","0","6","13.2","2.2","0.1%"
"76","Alex Armah Jr. (FA)","4","2","0.5","2","7.1%","0","0","0%","0","0","0","0.0%","0","16","12.2","0.8","0.0%"
"77","Chris Thompson (FA)","3","1","0.3","0","7.1%","3","4","75.0%","24","8.0","1","44.4%","0","10","11.5","1.2","0.0%"
"78","LeSean McCoy (FA)","20","37","1.9","1","52.6%","1","1","100.0%","3","3.0","0","33.3%","0","14","11.0","0.8","2.0%"
"79","Malcolm Brown (FA)","8","16","2.0","0","11.0%","1","1","100.0%","18","18.0","1","5.0%","0","12","10.4","0.9","0.0%"
"80","C.J. Anderson (FA)","6","28","4.7","1","10.7%","1","1","100.0%","-5","-5.0","0","5.9%","0","11","9.3","0.8","1.0%"
"81","Ronald Jones II (FA)","5","13","2.6","1","11.1%","1","2","50.0%","5","5.0","0","12.5%","0","9","8.8","1.0","0.0%"
"82","Ty Montgomery II (FA)","6","28","4.7","1","15.8%","0","3","0.0%","0","0","0","30.0%","0","13","8.8","0.7","0.0%"
"83","D'Onta Foreman (CLE)","1","-3","-3.0","0","2.3%","1","1","100.0%","20","20.0","1","16.7%","0","1","8.7","8.7","2.8%"
"84","Darrel Williams (FA)","1","5","5.0","0","2.1%","1","1","100.0%","11","11.0","1","4.5%","0","6","8.6","1.4","0.0%"
"85","Jeff Wilson Jr. (MIA)","11","48","4.4","0","18.3%","4","5","80.0%","18","4.5","0","33.3%","1","6","8.6","1.4","0.6%"
"86","Taquan Mizzell (NYG)","1","0","0.0","0","2.4%","1","2","50.0%","10","10.0","1","9.5%","0","9","8.0","0.9","0.0%"
"87","Chris Ivory (FA)","9","7","0.8","1","23.7%","0","0","0%","0","0","0","0.0%","0","13","6.7","0.5","0.0%"
"88","Trenton Cannon (FA)","4","7","1.8","1","9.5%","0","1","0.0%","0","0","0","20.0%","0","16","6.7","0.4","0.0%"
"89","Alfred Morris (FA)","22","22","1.0","1","36.7%","0","0","0%","0","0","0","0.0%","1","12","6.2","0.5","0.0%"
"90","Stevan Ridley (FA)","4","2","0.5","1","8.9%","0","0","0%","0","0","0","0.0%","0","10","6.2","0.6","0.0%"
"91","Kyle Juszczyk (SF)","3","2","0.7","0","5.0%","3","6","50.0%","19","6.3","0","40.0%","0","16","5.1","0.3","0.7%"
"92","Marcus Murphy (FA)","8","15","1.9","0","21.1%","2","2","100.0%","5","2.5","0","66.7%","0","11","4.0","0.4","0.0%"
"93","Anthony Sherman (FA)","0","0","0","0","0.0%","2","3","66.7%","14","7.0","0","13.6%","0","16","3.4","0.2","0.0%"
"94","Corey Grant (FA)","0","0","0","0","0.0%","2","2","100.0%","11","5.5","0","16.7%","0","5","3.1","0.6","0.0%"
"95","Wayne Gallman Jr. (FA)","9","27","3.0","0","17.0%","0","3","0.0%","0","0","0","15.8%","0","15","2.7","0.2","0.0%"
"96","DeAndre Washington (FA)","7","21","3.0","0","11.3%","0","0","0%","0","0","0","0.0%","0","10","2.1","0.2","11.0%"
"97","Rex Burkhead (FA)","2","5","2.5","0","2.5%","1","5","20.0%","6","6.0","0","16.7%","0","8","2.1","0.3","10.0%"
"98","Ameer Abdullah (LV)","0","0","0","0","0.0%","1","1","100.0%","10","10.0","0","14.3%","0","10","2.0","0.2","0.5%"
"99","Rod Smith (FA)","4","7","1.8","0","9.3%","1","1","100.0%","0","0.0","0","5.0%","0","16","1.7","0.1","0.0%"
"100","Byron Marshall (FA)","1","1","1.0","0","2.4%","1","1","100.0%","6","6.0","0","11.1%","0","6","1.7","0.3","0.1%"
"101","Shaun Wilson (FA)","0","0","0","0","0.0%","1","3","33.3%","5","5.0","0","18.8%","0","5","1.5","0.3","0.0%"
"102","Jamize Olawale (FA)","0","0","0","0","0.0%","1","2","50.0%","3","3.0","0","10.0%","0","16","1.3","0.1","0.0%"
"103","T.J. Logan (FA)","0","0","0","0","0.0%","1","1","100.0%","3","3.0","0","8.3%","0","10","1.3","0.1","0.0%"
"104","Elijhaa Penny (FA)","0","0","0","0","0.0%","1","1","100.0%","3","3.0","0","5.3%","0","14","1.3","0.1","0.0%"
"105","Keith Smith (FA)","1","0","0.0","0","1.6%","1","1","100.0%","2","2.0","0","8.3%","0","16","1.2","0.1","0.0%"
"106","Samaje Perine (DEN)","0","0","0","0","0.0%","1","1","100.0%","0","0.0","0","11.1%","0","5","1.0","0.2","0.9%"
"107","Kenjon Barner (FA)","3","8","2.7","0","3.8%","0","0","0%","0","0","0","0.0%","0","9","0.8","0.1","0.0%"
"108","Mike Gillislee (FA)","2","8","4.0","0","2.5%","0","0","0%","0","0","0","0.0%","0","4","0.8","0.2","0.0%"
"109","Detrez Newsome (FA)","3","7","2.3","0","6.4%","0","0","0%","0","0","0","0.0%","0","9","0.7","0.1","0.0%"
"110","Jeremy McNichols (WAS)","1","7","7.0","0","1.7%","0","0","0%","0","0","0","0.0%","0","1","0.7","0.7","0.0%"
"111","J.D. McKissic (FA)","1","6","6.0","0","1.4%","0","1","0.0%","0","0","0","16.7%","0","5","0.6","0.1","0.0%"
"112","Kalen Ballage (FA)","1","-2","-2.0","0","3.6%","1","1","100.0%","-3","-3.0","0","8.3%","0","12","0.5","0.0","0.0%"
"113","Mark Walton (FA)","1","4","4.0","0","2.4%","0","0","0%","0","0","0","0.0%","0","14","0.4","0.0","2.0%"
"114","John Kelly Jr. (BAL)","1","4","4.0","0","1.4%","0","0","0%","0","0","0","0.0%","0","4","0.4","0.1","0.0%"
"115","Brandon Wilds (FA)","1","4","4.0","0","2.8%","0","0","0%","0","0","0","0.0%","0","3","0.4","0.1","0.0%"
"116","Devonta Freeman (FA)","3","4","1.3","0","7.1%","0","1","0.0%","0","0","0","6.3%","0","2","0.4","0.2","0.0%"
"117","Bilal Powell (FA)","10","4","0.4","0","23.8%","0","1","0.0%","0","0","0","20.0%","0","7","0.4","0.1","0.0%"
"118","Brian Hill (FA)","2","4","2.0","0","4.8%","0","1","0.0%","0","0","0","6.3%","0","10","0.4","0.0","0.0%"
"119","Robert Turbin (FA)","1","3","3.0","0","1.7%","0","0","0%","0","0","0","0.0%","0","2","0.3","0.2","0.0%"
"120","Roc Thomas (FA)","2","2","1.0","0","5.1%","0","2","0.0%","0","0","0","28.6%","0","5","0.2","0.0","0.0%"
"121","Charcandrick West (FA)","1","1","1.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","3","0.1","0.0","0.0%"
"122","Danny Vitale (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","10.0%","0","5","0.0","0.0","0.0%"
"123","Tommy Bohanon (FA)","1","0","0.0","0","2.8%","0","1","0.0%","0","0","0","8.3%","0","16","0.0","0.0","0.0%"
"124","Patrick Ricard (BAL)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","10","0.0","0.0","0.1%"
"125","Derrick Coleman (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","8.3%","0","16","0.0","0.0","0.1%"
"126","Senorise Perry (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","16","0.0","0.0","0.0%"
"127","Roosevelt Nix (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","7.7%","0","16","0.0","0.0","0.0%"
"128","Raheem Mostert (MIA)","1","0","0.0","0","1.7%","0","0","0%","0","0","0","0.0%","0","9","0.0","0.0","89.8%"
"129","Derek Watt (FA)","1","0","0.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","16","0.0","0.0","0.0%"
"130","C.J. Ham (MIN)","1","0","0.0","0","2.6%","0","0","0%","0","0","0","0.0%","0","15","0.0","0.0","0.1%"
"131","Keith Ford (FA)","1","0","0.0","0","2.6%","0","0","0%","0","0","0","0.0%","0","2","0.0","0.0","0.1%"
"132","Jonathan Williams (FA)","1","-1","-1.0","0","1.2%","0","0","0%","0","0","0","0.0%","0","3","-0.1","0.0","0.0%"
""
""
