"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"49","Brian Robinson Jr. (WAS)","24","52","2.2","2","45.3%","1","1","100.0%","14","14.0","1","9.1%","0","12","25.6","2.1","86.7%"
"50","Eno Benjamin (FA)","14","65","4.6","2","21.9%","4","5","80.0%","27","6.8","0","26.3%","0","13","25.2","1.9","0.0%"
"51","James Robinson (NO)","19","41","2.2","1","29.7%","2","3","66.7%","10","5.0","2","17.6%","0","11","25.1","2.3","0.0%"
"52","Nyheim Hines (CLE)","6","4","0.7","1","12.2%","7","8","87.5%","54","7.7","1","50.0%","0","16","24.8","1.6","0.8%"
"53","Chase Edmonds (TB)","5","4","0.8","2","13.9%","3","4","75.0%","28","9.3","1","28.6%","0","13","24.2","1.9","0.5%"
"54","Darrell Henderson Jr. (FA)","10","36","3.6","3","24.4%","1","2","50.0%","7","7.0","0","25.0%","0","10","23.3","2.3","5.0%"
"55","J.K. Dobbins (LAC)","14","36","2.6","2","26.9%","1","2","50.0%","1","1.0","1","25.0%","0","8","22.7","2.8","54.8%"
"56","Gus Edwards (LAC)","14","30","2.1","3","26.9%","0","0","0%","0","0","0","0.0%","0","9","21.0","2.3","75.4%"
"57","Raheem Blackshear (CAR)","5","19","3.8","3","9.4%","1","1","100.0%","0","0.0","0","33.3%","0","13","20.9","1.6","0.1%"
"58","Justin Jackson (FA)","5","27","5.4","1","6.1%","3","4","75.0%","19","6.3","1","20.0%","0","15","19.6","1.3","0.0%"
"59","Deon Jackson (NYJ)","7","28","4.0","1","14.3%","3","3","100.0%","16","5.3","1","18.8%","0","12","19.4","1.6","0.0%"
"60","Chuba Hubbard (CAR)","11","42","3.8","2","20.8%","1","1","100.0%","6","6.0","0","33.3%","0","14","17.8","1.3","41.3%"
"61","Joshua Kelley (NYG)","13","24","1.8","2","19.7%","1","1","100.0%","8","8.0","0","3.6%","0","12","16.2","1.4","0.1%"
"62","Kyle Juszczyk (SF)","4","19","4.8","1","6.6%","2","2","100.0%","3","1.5","1","12.5%","0","13","16.2","1.2","0.7%"
"63","Jaylen Warren (PIT)","12","40","3.3","1","24.0%","4","4","100.0%","20","5.0","0","30.8%","0","16","16.0","1.0","86.6%"
"64","Alec Ingold (MIA)","2","1","0.5","1","3.9%","2","2","100.0%","15","7.5","1","12.5%","0","12","15.6","1.3","0.1%"
"65","Melvin Gordon III (FA)","14","18","1.3","2","38.9%","2","2","100.0%","14","7.0","0","14.3%","1","10","15.2","1.5","0.0%"
"66","Caleb Huntley (FA)","20","91","4.6","1","24.1%","0","0","0%","0","0","0","0.0%","0","12","15.1","1.3","0.0%"
"67","C.J. Ham (MIN)","2","4","2.0","2","4.0%","2","2","100.0%","7","3.5","0","11.8%","0","11","15.1","1.4","0.1%"
"68","Rex Burkhead (FA)","3","0","0.0","0","4.7%","6","9","66.7%","30","5.0","1","47.4%","0","15","15.0","1.0","10.0%"
"69","James Cook (BUF)","13","32","2.5","0","22.4%","3","6","50.0%","24","8.0","1","35.3%","0","17","14.6","0.9","98.4%"
"70","Zander Horvath (MIA)","1","3","3.0","0","1.5%","2","2","100.0%","2","1.0","2","7.1%","0","8","14.5","1.8","0.0%"
"71","Boston Scott (LAR)","10","23","2.3","2","14.7%","0","0","0%","0","0","0","0.0%","0","15","14.3","1.0","0.1%"
"72","Tevin Coleman (FA)","4","3","0.8","1","6.6%","1","1","100.0%","9","9.0","1","6.3%","0","3","14.2","4.7","0.0%"
"73","Ameer Abdullah (LV)","1","3","3.0","0","2.3%","4","5","80.0%","38","9.5","1","50.0%","0","16","14.1","0.9","0.5%"
"74","Reggie Gilliam (BUF)","0","0","0","0","0.0%","3","3","100.0%","26","8.7","1","17.6%","0","8","11.6","1.5","0.0%"
"75","Mark Ingram II (FA)","7","23","3.3","1","19.4%","4","5","80.0%","11","2.8","0","31.3%","1","10","11.4","1.1","0.1%"
"76","Zonovan Knight (DET)","9","25","2.8","1","14.1%","2","2","100.0%","9","4.5","0","11.8%","0","7","11.4","1.6","0.1%"
"77","Avery Williams (ATL)","2","6","3.0","1","2.4%","3","3","100.0%","11","3.7","0","42.9%","0","17","10.7","0.6","0.1%"
"78","Gary Brightwell (JAC)","4","7","1.8","1","7.8%","2","2","100.0%","18","9.0","0","50.0%","0","15","10.5","0.7","0.0%"
"79","Matt Breida (SF)","10","42","4.2","1","19.6%","0","0","0%","0","0","0","0.0%","0","17","10.2","0.6","0.1%"
"80","Brandon Bolden (FA)","3","7","2.3","0","6.8%","1","1","100.0%","18","18.0","1","10.0%","0","12","9.5","0.8","0.0%"
"81","JaMycal Hasty (NE)","8","15","1.9","1","16.0%","1","1","100.0%","9","9.0","0","14.3%","0","14","9.4","0.7","0.1%"
"82","Travis Homer (CHI)","3","4","1.3","0","5.7%","1","1","100.0%","18","18.0","1","16.7%","0","12","9.2","0.8","0.1%"
"83","Dare Ogunbowale (HOU)","7","25","3.6","1","10.9%","0","2","0.0%","0","0","0","10.5%","0","15","8.5","0.6","0.3%"
"84","Derek Watt (FA)","1","2","2.0","0","2.0%","2","2","100.0%","2","1.0","1","15.4%","0","12","8.4","0.7","0.0%"
"85","Keaontay Ingram (KC)","8","11","1.4","1","21.6%","1","1","100.0%","-1","-1.0","0","16.7%","0","11","8.0","0.7","0.1%"
"86","Chris Evans (CIN)","0","0","0","0","0.0%","1","1","100.0%","8","8.0","1","4.8%","0","10","7.8","0.8","0.1%"
"87","Kevin Harris (NE)","3","18","6.0","1","6.0%","0","0","0%","0","0","0","0.0%","0","5","7.8","1.6","0.1%"
"88","Ty Montgomery II (FA)","0","0","0","0","0.0%","1","1","100.0%","6","6.0","1","7.7%","0","1","7.6","7.6","0.0%"
"89","Salvon Ahmed (FA)","2","16","8.0","1","3.9%","0","0","0%","0","0","0","0.0%","0","7","7.6","1.1","0.0%"
"90","Jordan Mason (SF)","2","13","6.5","1","3.3%","0","0","0%","0","0","0","0.0%","0","12","7.3","0.6","2.7%"
"91","Darrel Williams (FA)","4","8","2.0","1","10.8%","0","1","0.0%","0","0","0","16.7%","0","5","6.8","1.4","0.0%"
"92","Pierre Strong Jr. (CLE)","3","5","1.7","1","6.0%","0","0","0%","0","0","0","0.0%","0","10","6.5","0.7","0.1%"
"93","Benny Snell Jr. (FA)","2","4","2.0","1","4.0%","0","0","0%","0","0","0","0.0%","0","9","6.4","0.7","0.0%"
"94","Snoop Conner (DAL)","1","3","3.0","1","2.0%","0","0","0%","0","0","0","0.0%","0","5","6.3","1.3","0.0%"
"95","Marlon Mack (FA)","1","3","3.0","1","2.8%","0","0","0%","0","0","0","0.0%","0","8","6.3","0.8","0.0%"
"96","Malik Davis (DAL)","3","16","5.3","0","4.6%","2","2","100.0%","15","7.5","0","15.4%","0","6","5.1","0.9","0.1%"
"97","Elijah Mitchell (SF)","10","39","3.9","0","16.4%","1","1","100.0%","-1","-1.0","0","6.3%","0","5","4.8","1.0","11.2%"
"98","Jordan Wilkins (FA)","4","13","3.3","0","8.2%","2","2","100.0%","6","3.0","0","12.5%","0","4","3.9","1.0","0.0%"
"99","DeeJay Dallas (ARI)","2","4","2.0","0","3.8%","2","2","100.0%","11","5.5","0","33.3%","0","15","3.5","0.2","0.1%"
"100","Javonte Williams (DEN)","4","8","2.0","0","11.1%","3","6","50.0%","12","4.0","0","42.9%","1","4","3.0","0.8","84.6%"
"101","Ronnie Rivers (LAR)","1","1","1.0","0","2.4%","1","1","100.0%","14","14.0","0","12.5%","0","2","2.5","1.3","0.1%"
"102","Royce Freeman (DAL)","7","25","3.6","0","10.9%","0","0","0%","0","0","0","0.0%","0","5","2.5","0.5","0.4%"
"103","Patrick Ricard (BAL)","2","3","1.5","0","3.8%","1","1","100.0%","12","12.0","0","12.5%","0","13","2.5","0.2","0.1%"
"104","Rashaad Penny (FA)","5","5","1.0","0","9.4%","1","1","100.0%","4","4.0","0","16.7%","0","5","1.9","0.4","0.1%"
"105","Trestan Ebner (FA)","6","16","2.7","0","10.2%","0","0","0%","0","0","0","0.0%","0","11","1.6","0.1","0.0%"
"106","Justice Hill (BAL)","4","15","3.8","0","7.7%","0","0","0%","0","0","0","0.0%","0","15","1.5","0.1","2.1%"
"107","Tony Jones Jr. (ARI)","0","0","0","0","0.0%","1","1","100.0%","5","5.0","0","16.7%","0","3","1.5","0.5","0.0%"
"108","Malcolm Brown (FA)","4","1","0.3","0","9.8%","1","2","50.0%","3","3.0","0","25.0%","0","7","1.4","0.2","0.0%"
"109","Jonathan Ward (PIT)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","0","7.1%","0","4","1.4","0.4","0.0%"
"110","Mike Boone (CAR)","1","1","1.0","0","2.8%","1","2","50.0%","2","2.0","0","14.3%","0","8","1.3","0.2","0.0%"
"111","Myles Gaskin (MIN)","0","0","0","0","0.0%","1","3","33.3%","2","2.0","0","18.8%","0","2","1.2","0.6","0.1%"
"112","Sony Michel (FA)","6","11","1.8","0","9.1%","0","0","0%","0","0","0","0.0%","0","10","1.1","0.1","0.0%"
"113","Craig Reynolds (DET)","1","5","5.0","0","1.2%","0","0","0%","0","0","0","0.0%","0","7","0.5","0.1","0.3%"
"114","Spencer Brown (ATL)","2","5","2.5","0","3.8%","0","0","0%","0","0","0","0.0%","0","2","0.5","0.3","0.0%"
"115","Mike Davis (FA)","3","4","1.3","0","5.8%","0","0","0%","0","0","0","0.0%","0","5","0.4","0.1","1.0%"
"116","Duke Johnson Jr. (FA)","1","4","4.0","0","1.7%","0","0","0%","0","0","0","0.0%","0","1","0.4","0.4","0.0%"
"117","Adam Prentice (NO)","2","4","2.0","0","5.6%","0","0","0%","0","0","0","0.0%","0","6","0.4","0.1","0.0%"
"118","D'Ernest Johnson (JAC)","1","4","4.0","0","1.5%","0","0","0%","0","0","0","0.0%","0","10","0.4","0.0","0.4%"
"119","Anthony McFarland Jr. (MIA)","1","3","3.0","0","2.0%","0","0","0%","0","0","0","0.0%","0","1","0.3","0.3","0.0%"
"120","Jonathan Williams (FA)","2","3","1.5","0","3.8%","0","0","0%","0","0","0","0.0%","0","9","0.3","0.0","0.0%"
"121","Ronald Jones II (FA)","1","3","3.0","0","1.6%","0","0","0%","0","0","0","0.0%","0","5","0.3","0.1","0.0%"
"122","Dwayne Washington (DEN)","1","3","3.0","0","2.8%","0","0","0%","0","0","0","0.0%","0","7","0.3","0.0","0.0%"
"123","Michael Burton (DEN)","1","2","2.0","0","1.6%","0","0","0%","0","0","0","0.0%","0","12","0.2","0.0","0.0%"
"124","Patrick Taylor Jr. (SF)","1","2","2.0","0","1.8%","0","0","0%","0","0","0","0.0%","0","7","0.2","0.0","0.0%"
"125","Tyrion Davis-Price (PHI)","6","2","0.3","0","9.8%","0","0","0%","0","0","0","0.0%","0","5","0.2","0.0","0.1%"
"126","J.D. McKissic (FA)","1","1","1.0","0","1.9%","0","4","0.0%","0","0","0","36.4%","0","9","0.1","0.0","0.0%"
"127","Ty Johnson (BUF)","2","0","0.0","0","3.1%","0","0","0%","0","0","0","0.0%","0","12","0.0","0.0","0.6%"
"128","Phillip Lindsay (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","3","0.0","0.0","0.0%"
"129","Kyren Williams (LAR)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","12.5%","0","8","0.0","0.0","99.8%"
"130","Isaiah Spiller (LAC)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","5","0.0","0.0","0.2%"
"131","Sandro Platzgummer (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","1","0.0","0.0","0.0%"
"132","Jakob Johnson (NYG)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","11","0.0","0.0","0.0%"
"133","Keith Smith (FA)","0","0","0","0","0.0%","0","1","0.0%","0","0","0","14.3%","0","10","0.0","0.0","0.0%"
"134","J.J. Taylor (HOU)","1","-1","-1.0","0","2.0%","0","0","0%","0","0","0","0.0%","0","1","-0.1","-0.1","0.1%"
"135","Devine Ozigbo (FA)","1","-2","-2.0","0","2.8%","0","0","0%","0","0","0","0.0%","0","3","-0.2","-0.1","0.0%"
"136","Zamir White (LV)","2","-5","-2.5","0","4.5%","0","0","0%","0","0","0","0.0%","0","11","-0.5","0.0","90.3%"
"137","Julius Chestnut (TEN)","3","-5","-1.7","0","7.0%","0","0","0%","0","0","0","0.0%","0","6","-0.5","-0.1","0.2%"
"138","Zack Moss (CIN)","10","12","1.2","0","17.2%","0","0","0%","0","0","0","0.0%","1","13","-0.8","-0.1","83.9%"
"139","David Johnson (FA)","2","4","2.0","0","5.6%","0","0","0%","0","0","0","0.0%","1","4","-1.6","-0.4","0.0%"
""
""
