"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Austin Ekeler (WAS)","46","194","4.2","11","69.7%","18","25","72.0%","65","3.6","5","89.3%","0","17","139.9","8.2","84.3%"
"2","Jamaal Williams (NO)","53","104","2.0","14","64.6%","2","2","100.0%","5","2.5","0","10.0%","1","17","94.9","5.6","2.8%"
"3","Derrick Henry (BAL)","40","134","3.4","11","93.0%","4","6","66.7%","17","4.3","0","42.9%","0","16","89.2","5.6","99.9%"
"4","Ezekiel Elliott (DAL)","39","111","2.8","12","60.0%","2","2","100.0%","3","1.5","0","15.4%","0","15","85.4","5.7","80.7%"
"5","Christian McCaffrey (SF)","35","93","2.7","7","57.4%","7","12","58.3%","50","7.1","3","75.0%","0","17","81.3","4.8","100.0%"
"6","Josh Jacobs (GB)","38","129","3.4","10","86.4%","2","4","50.0%","7","3.5","0","40.0%","0","17","75.6","4.4","99.0%"
"7","Miles Sanders (CAR)","44","134","3.0","10","64.7%","0","0","0%","0","0","0","0.0%","0","17","73.4","4.3","5.3%"
"8","Najee Harris (PIT)","34","121","3.6","6","68.0%","4","7","57.1%","19","4.8","3","53.8%","0","17","72.2","4.2","90.3%"
"9","Joe Mixon (HOU)","38","97","2.6","6","70.4%","8","12","66.7%","39","4.9","2","57.1%","0","15","69.6","4.6","98.8%"
"10","Jerick McKinnon (FA)","20","48","2.4","0","31.7%","11","15","73.3%","68","6.2","7","68.2%","0","17","64.6","3.8","0.6%"
"11","Nick Chubb (CLE)","41","96","2.3","9","62.1%","0","0","0%","0","0","0","0.0%","0","17","63.6","3.7","82.9%"
"12","D'Andre Swift (CHI)","23","111","4.8","5","28.0%","9","13","69.2%","62","6.9","1","65.0%","0","14","62.3","4.5","92.0%"
"13","Tony Pollard (TEN)","23","99","4.3","6","35.4%","5","9","55.6%","38","7.6","1","69.2%","0","16","60.7","3.8","87.2%"
"14","Saquon Barkley (PHI)","37","105","2.8","8","72.5%","0","2","0.0%","0","0","0","50.0%","0","16","58.5","3.7","100.0%"
"15","Kenneth Walker III (SEA)","43","148","3.4","7","81.1%","1","1","100.0%","4","4.0","0","16.7%","0","15","58.2","3.9","97.0%"
"16","Dalvin Cook (FA)","39","88","2.3","6","78.0%","5","10","50.0%","40","8.0","1","58.8%","1","17","57.8","3.4","0.7%"
"17","Cordarrelle Patterson (PIT)","28","129","4.6","7","33.7%","1","3","33.3%","2","2.0","0","42.9%","0","13","56.1","4.3","0.9%"
"18","Leonard Fournette (FA)","27","42","1.6","3","73.0%","10","10","100.0%","51","5.1","3","55.6%","0","16","55.3","3.5","2.1%"
"19","James Conner (ARI)","25","82","3.3","6","67.6%","3","4","75.0%","19","6.3","1","66.7%","0","13","55.1","4.2","91.2%"
"20","David Montgomery (DET)","34","120","3.5","5","57.6%","3","3","100.0%","15","5.0","1","60.0%","0","16","52.5","3.3","93.4%"
"21","Aaron Jones (MIN)","29","101","3.5","2","50.9%","9","10","90.0%","34","3.8","3","76.9%","1","17","50.5","3.0","94.7%"
"22","Cam Akers (HOU)","26","76","2.9","7","63.4%","1","2","50.0%","1","1.0","0","25.0%","1","15","48.7","3.2","0.8%"
"23","AJ Dillon (GB)","27","92","3.4","6","47.4%","2","3","66.7%","12","6.0","0","23.1%","0","17","48.4","2.8","5.4%"
"24","Clyde Edwards-Helaire (KC)","11","27","2.5","3","17.5%","6","6","100.0%","28","4.7","3","27.3%","0","10","47.5","4.8","5.5%"
"25","Jeff Wilson Jr. (MIA)","27","88","3.3","4","52.9%","4","5","80.0%","33","8.3","1","31.3%","0","16","46.1","2.9","0.6%"
"26","Devin Singletary (NYG)","34","88","2.6","4","58.6%","5","8","62.5%","16","3.2","1","47.1%","0","17","45.4","2.7","84.1%"
"27","Samaje Perine (DEN)","16","35","2.2","2","29.6%","6","8","75.0%","40","6.7","3","38.1%","0","16","43.5","2.7","0.9%"
"28","D'Onta Foreman (CLE)","35","112","3.2","5","66.0%","1","1","100.0%","-4","-4.0","0","33.3%","0","16","41.8","2.6","2.8%"
"29","Travis Etienne Jr. (JAC)","41","148","3.6","4","82.0%","4","6","66.7%","3","0.8","0","85.7%","1","17","41.1","2.4","99.8%"
"30","Antonio Gibson (NE)","26","52","2.0","3","49.1%","3","6","50.0%","29","9.7","2","54.5%","0","15","41.1","2.7","32.7%"
"31","Raheem Mostert (MIA)","20","60","3.0","2","39.2%","5","6","83.3%","24","4.8","2","37.5%","0","16","37.4","2.3","89.8%"
"32","Alexander Mattison (LV)","9","40","4.4","3","18.0%","5","5","100.0%","33","6.6","1","29.4%","0","17","36.3","2.1","6.2%"
"33","Rhamondre Stevenson (NE)","32","53","1.7","3","64.0%","5","6","83.3%","20","4.0","1","46.2%","1","17","34.3","2.0","92.4%"
"34","Latavius Murray (FA)","10","33","3.3","5","27.8%","0","0","0%","0","0","0","0.0%","0","14","33.3","2.4","0.0%"
"35","Alvin Kamara (NO)","24","56","2.3","2","66.7%","7","11","63.6%","41","5.9","1","68.8%","1","15","32.7","2.2","97.1%"
"36","Isiah Pacheco (KC)","30","84","2.8","4","47.6%","1","1","100.0%","9","9.0","0","4.5%","1","17","32.3","1.9","99.8%"
"37","Khalil Herbert (CHI)","19","66","3.5","4","32.2%","1","2","50.0%","-2","-2.0","0","40.0%","0","13","31.4","2.4","18.3%"
"38","Kenneth Gainwell (PHI)","14","53","3.8","4","20.6%","1","3","33.3%","5","5.0","0","100.0%","0","17","30.8","1.8","2.6%"
"39","Dameon Pierce (HOU)","33","62","1.9","3","51.6%","2","2","100.0%","5","2.5","1","10.5%","1","13","30.7","2.4","6.0%"
"40","Tyler Allgeier (ATL)","33","116","3.5","3","39.8%","0","0","0%","0","0","0","0.0%","0","16","29.6","1.9","44.6%"
"41","Kareem Hunt (FA)","24","56","2.3","2","36.4%","4","8","50.0%","14","3.5","1","100.0%","0","17","29.0","1.7","0.7%"
"42","Michael Carter (ARI)","19","46","2.4","3","29.7%","4","7","57.1%","19","4.8","0","41.2%","0","16","28.5","1.8","0.8%"
"43","Rachaad White (TB)","10","21","2.1","1","27.0%","6","8","75.0%","19","3.2","2","44.4%","0","17","28.0","1.6","98.0%"
"44","Kenyan Drake (FA)","15","28","1.9","2","28.8%","4","5","80.0%","30","7.5","1","62.5%","0","12","27.8","2.3","0.0%"
"45","Dontrell Hilliard (FA)","0","0","0","0","0.0%","5","7","71.4%","46","9.2","3","50.0%","0","12","27.6","2.3","0.0%"
"46","Breece Hall (NYJ)","15","49","3.3","2","23.4%","3","5","60.0%","17","5.7","1","29.4%","0","7","27.6","3.9","99.9%"
"47","Jonathan Taylor (IND)","32","65","2.0","3","65.3%","2","3","66.7%","5","2.5","0","18.8%","0","12","27.0","2.3","99.9%"
"48","Damien Harris (FA)","11","42","3.8","3","22.0%","4","6","66.7%","4","1.0","0","46.2%","0","11","26.6","2.4","4.6%"
