"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"82","Austin Walter (FA)","9","31","3.4","1","15.3%","0","0","0%","0","0","0","0.0%","0","4","9.1","2.3","0.0%"
"83","Carlos Hyde (FA)","12","32","2.7","1","30.0%","1","1","100.0%","4","4.0","0","20.0%","1","12","8.6","0.7","0.0%"
"84","Alec Ingold (MIA)","1","0","0.0","0","1.8%","2","3","66.7%","4","2.0","1","15.8%","0","7","8.4","1.2","0.1%"
"85","James White (FA)","2","14","7.0","1","2.5%","1","1","100.0%","-1","-1.0","0","7.1%","0","3","8.3","2.8","0.1%"
"86","Michael Burton (DEN)","3","12","4.0","1","5.1%","1","1","100.0%","0","0.0","0","5.9%","0","10","8.2","0.8","0.0%"
"87","Alex Armah Jr. (FA)","1","3","3.0","0","1.7%","1","1","100.0%","1","1.0","1","10.0%","0","10","7.4","0.7","0.0%"
"88","Deon Jackson (NYJ)","3","13","4.3","1","3.1%","0","0","0%","0","0","0","0.0%","0","5","7.3","1.5","0.0%"
"89","Phillip Lindsay (FA)","6","12","2.0","1","10.9%","0","1","0.0%","0","0","0","6.7%","0","14","7.2","0.5","0.0%"
"90","Jonathan Williams (FA)","4","11","2.8","1","6.8%","0","0","0%","0","0","0","0.0%","0","5","7.1","1.4","0.0%"
"91","Johnny Stanton IV (FA)","1","0","0.0","0","1.4%","1","1","100.0%","1","1.0","1","12.5%","0","3","7.1","2.4","0.0%"
"92","Patrick Ricard (BAL)","0","0","0","0","0.0%","1","2","50.0%","1","1.0","1","11.8%","0","8","7.1","0.9","0.1%"
"93","Miles Sanders (CAR)","21","31","1.5","0","28.0%","3","3","100.0%","9","3.0","0","23.1%","0","12","7.0","0.6","5.3%"
"94","Jermar Jefferson (DET)","2","8","4.0","1","4.2%","0","0","0%","0","0","0","0.0%","0","5","6.8","1.4","0.1%"
"95","Dare Ogunbowale (HOU)","4","8","2.0","1","10.0%","0","2","0.0%","0","0","0","40.0%","0","13","6.8","0.5","0.3%"
"96","Larry Rountree III (FA)","7","7","1.0","1","9.0%","0","0","0%","0","0","0","0.0%","0","10","6.7","0.7","0.0%"
"97","Dontrell Hilliard (FA)","3","2","0.7","0","4.8%","4","5","80.0%","22","5.5","0","33.3%","0","8","6.4","0.8","0.0%"
"98","Trey Sermon (IND)","1","1","1.0","1","2.7%","0","0","0%","0","0","0","0.0%","0","6","6.1","1.0","0.9%"
"99","Andy Janovich (FA)","2","0","0.0","1","2.7%","0","0","0%","0","0","0","0.0%","0","6","6.0","1.0","0.0%"
"100","Ty'Son Williams (FA)","4","21","5.3","0","8.0%","2","3","66.7%","15","7.5","0","17.6%","0","8","5.6","0.7","0.0%"
"101","Ameer Abdullah (LV)","4","5","1.3","0","8.5%","3","5","60.0%","10","3.3","0","45.5%","0","17","4.5","0.3","0.5%"
"102","Travis Homer (CHI)","3","11","3.7","0","5.6%","2","3","66.7%","9","4.5","0","42.9%","0","14","4.0","0.3","0.1%"
"103","Jerick McKinnon (FA)","0","0","0","0","0.0%","2","3","66.7%","19","9.5","0","17.6%","0","9","3.9","0.4","0.6%"
"104","Salvon Ahmed (FA)","3","17","5.7","0","5.5%","1","3","33.3%","9","9.0","0","20.0%","0","11","3.6","0.3","0.0%"
"105","Tony Jones Jr. (ARI)","4","19","4.8","0","6.3%","1","1","100.0%","3","3.0","0","4.5%","0","10","3.2","0.3","0.0%"
"106","Ty Montgomery II (FA)","0","0","0","0","0.0%","2","2","100.0%","8","4.0","0","9.1%","0","14","2.8","0.2","0.0%"
"107","Chris Evans (CIN)","1","1","1.0","0","2.1%","1","2","50.0%","14","14.0","0","14.3%","0","9","2.5","0.3","0.1%"
"108","Malcolm Brown (FA)","7","10","1.4","0","12.7%","1","1","100.0%","4","4.0","0","6.7%","0","6","2.4","0.4","0.0%"
"109","C.J. Ham (MIN)","2","1","0.5","0","2.5%","1","1","100.0%","9","9.0","0","7.7%","0","15","2.0","0.1","0.1%"
"110","Qadree Ollison (FA)","2","5","2.5","0","3.6%","1","1","100.0%","4","4.0","0","5.3%","0","6","1.9","0.3","0.0%"
"111","Royce Freeman (DAL)","6","16","2.7","0","21.4%","0","0","0%","0","0","0","0.0%","0","12","1.6","0.1","0.4%"
"112","Reggie Bonnafon (FA)","0","0","0","0","0.0%","1","1","100.0%","6","6.0","0","9.1%","0","1","1.6","1.6","0.0%"
"113","Jalen Richard (FA)","1","1","1.0","0","1.8%","1","2","50.0%","5","5.0","0","10.5%","0","9","1.6","0.2","1.0%"
"114","Corey Clement (FA)","2","3","1.5","0","3.6%","1","1","100.0%","2","2.0","0","4.0%","0","11","1.5","0.1","0.0%"
"115","Patrick Laird (FA)","0","0","0","0","0.0%","1","1","100.0%","5","5.0","0","6.7%","0","3","1.5","0.5","0.0%"
"116","Ke'Shawn Vaughn (SF)","3","12","4.0","0","5.1%","0","0","0%","0","0","0","0.0%","0","6","1.2","0.2","0.0%"
"117","Jakob Johnson (NYG)","0","0","0","0","0.0%","1","1","100.0%","2","2.0","0","7.1%","0","7","1.2","0.2","0.0%"
"118","Marlon Mack (FA)","2","11","5.5","0","2.1%","0","0","0%","0","0","0","0.0%","0","6","1.1","0.2","0.0%"
"119","Demetric Felton Jr. (IND)","0","0","0","0","0.0%","1","1","100.0%","0","0.0","0","12.5%","0","15","1.0","0.1","0.0%"
"120","Patrick Taylor Jr. (SF)","3","8","2.7","0","4.0%","0","0","0%","0","0","0","0.0%","0","5","0.8","0.2","0.0%"
"121","Damarea Crockett (FA)","3","7","2.3","0","4.3%","0","0","0%","0","0","0","0.0%","0","1","0.7","0.7","0.0%"
"122","Godwin Igwebuike (FA)","1","6","6.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","15","0.6","0.0","0.0%"
"123","Craig Reynolds (DET)","3","4","1.3","0","6.3%","0","0","0%","0","0","0","0.0%","0","5","0.4","0.1","0.3%"
"124","Benny Snell Jr. (FA)","1","4","4.0","0","3.4%","0","0","0%","0","0","0","0.0%","0","16","0.4","0.0","0.0%"
"125","Kene Nwangwu (MIN)","3","2","0.7","0","3.7%","0","1","0.0%","0","0","0","7.7%","0","9","0.2","0.0","0.2%"
"126","Eno Benjamin (FA)","1","2","2.0","0","1.6%","0","0","0%","0","0","0","0.0%","0","8","0.2","0.0","0.0%"
"127","Reggie Gilliam (BUF)","2","2","1.0","0","3.1%","0","1","0.0%","0","0","0","6.7%","0","8","0.2","0.0","0.0%"
"128","Wayne Gallman Jr. (FA)","1","1","1.0","0","1.8%","0","0","0%","0","0","0","0.0%","0","9","0.1","0.0","0.0%"
