"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"51","Clyde Edwards-Helaire (KC)","7","11","1.6","1","13.5%","3","4","75.0%","9","3.0","1","22.2%","0","15","17.0","1.1","5.5%"
"52","Dameon Pierce (HOU)","23","26","1.1","2","38.3%","1","1","100.0%","9","9.0","0","11.1%","0","14","16.5","1.2","6.0%"
"53","Samaje Perine (DEN)","11","48","4.4","1","18.6%","3","3","100.0%","19","6.3","0","21.4%","0","17","15.7","0.9","0.9%"
"54","Darrell Henderson Jr. (FA)","5","9","1.8","2","6.8%","2","3","66.7%","8","4.0","0","18.8%","0","4","15.7","3.9","5.0%"
"55","Kenneth Gainwell (PHI)","24","56","2.3","2","38.1%","0","0","0%","0","0","0","0.0%","1","16","15.6","1.0","2.6%"
"56","Cam Akers (HOU)","7","24","3.4","2","17.1%","1","2","50.0%","-3","-3.0","0","12.5%","0","7","15.1","2.2","0.8%"
"57","Kyle Juszczyk (SF)","2","3","1.5","0","2.5%","5","5","100.0%","28","5.6","1","20.8%","0","17","14.1","0.8","0.7%"
"58","Chris Rodriguez Jr. (WAS)","7","18","2.6","2","16.7%","0","0","0%","0","0","0","0.0%","0","11","13.8","1.3","0.7%"
"59","Jordan Mason (SF)","5","17","3.4","2","6.2%","0","0","0%","0","0","0","0.0%","0","16","13.7","0.9","2.7%"
"60","Tyjae Spears (TEN)","10","34","3.4","1","22.7%","3","6","50.0%","12","4.0","0","75.0%","0","17","13.6","0.8","84.1%"
"61","Tank Bigsby (JAC)","8","14","1.8","2","15.7%","0","0","0%","0","0","0","0.0%","0","16","13.4","0.8","3.5%"
"62","Tony Jones Jr. (ARI)","5","10","2.0","2","9.4%","0","1","0.0%","0","0","0","10.0%","0","7","13.0","1.9","0.0%"
"63","Michael Carter (ARI)","4","18","4.5","0","11.4%","3","4","75.0%","13","4.3","1","36.4%","0","15","12.1","0.8","0.8%"
"64","Joshua Kelley (NYG)","13","40","3.1","1","27.1%","1","1","100.0%","0","0.0","0","8.3%","0","17","11.0","0.6","0.1%"
"65","Darrynton Evans (BUF)","5","30","6.0","1","10.9%","1","2","50.0%","8","8.0","0","15.4%","0","6","10.8","1.8","0.1%"
"66","Miles Sanders (CAR)","11","10","0.9","1","22.4%","2","3","66.7%","4","2.0","0","75.0%","0","16","9.4","0.6","5.3%"
"67","Royce Freeman (DAL)","13","33","2.5","1","17.8%","0","0","0%","0","0","0","0.0%","0","11","9.3","0.8","0.4%"
"68","Patrick Ricard (BAL)","0","0","0","0","0.0%","2","3","66.7%","7","3.5","1","42.9%","0","17","8.7","0.5","0.1%"
"69","Elijah Mitchell (SF)","9","19","2.1","1","11.1%","1","2","50.0%","-5","-5.0","0","8.3%","0","11","8.4","0.8","11.2%"
"70","Cordarrelle Patterson (PIT)","8","12","1.5","0","12.3%","1","2","50.0%","2","2.0","1","14.3%","0","14","8.4","0.6","0.9%"
"71","J.K. Dobbins (LAC)","1","4","4.0","1","1.4%","1","1","100.0%","5","5.0","0","14.3%","0","1","7.9","7.9","54.8%"
"72","Emari Demercado (ARI)","3","19","6.3","1","8.1%","0","1","0.0%","0","0","0","16.7%","0","14","7.9","0.6","0.6%"
"73","Kevin Harris (NE)","1","18","18.0","1","2.4%","0","0","0%","0","0","0","0.0%","0","4","7.8","2.0","0.1%"
"74","Zamir White (LV)","10","9","0.9","1","20.4%","2","2","100.0%","7","3.5","0","18.2%","1","15","7.6","0.5","90.3%"
"75","Damien Harris (FA)","6","16","2.7","1","9.4%","0","0","0%","0","0","0","0.0%","0","7","7.6","1.1","4.6%"
"76","Zach Charbonnet (SEA)","21","15","0.7","1","34.4%","0","1","0.0%","0","0","0","25.0%","0","16","7.5","0.5","57.2%"
"77","Matt Breida (SF)","8","15","1.9","1","16.7%","0","0","0%","0","0","0","0.0%","0","17","7.5","0.4","0.1%"
"78","Hunter Luepke (DAL)","2","4","2.0","1","2.5%","0","0","0%","0","0","0","0.0%","0","17","6.4","0.4","0.0%"
"79","Craig Reynolds (DET)","7","23","3.3","1","7.4%","0","0","0%","0","0","0","0.0%","1","15","6.3","0.4","0.3%"
"80","Nick Bawden (HOU)","1","1","1.0","1","2.9%","0","0","0%","0","0","0","0.0%","0","16","6.1","0.4","0.0%"
"81","Melvin Gordon III (FA)","6","1","0.2","1","8.1%","0","0","0%","0","0","0","0.0%","0","4","6.1","1.5","0.0%"
"82","Pierre Strong Jr. (CLE)","6","0","0.0","1","10.0%","0","0","0%","0","0","0","0.0%","0","17","6.0","0.4","0.1%"
"83","Isaiah Spiller (LAC)","7","24","3.4","0","14.6%","2","2","100.0%","14","7.0","0","16.7%","0","9","5.8","0.6","0.2%"
"84","Alec Ingold (MIA)","0","0","0","0","0.0%","3","3","100.0%","22","7.3","0","14.3%","0","17","5.2","0.3","0.1%"
"85","Jamaal Williams (NO)","10","33","3.3","0","18.9%","1","1","100.0%","3","3.0","0","10.0%","0","13","4.6","0.4","2.8%"
"86","Ty Montgomery II (FA)","0","0","0","0","0.0%","2","2","100.0%","20","10.0","0","18.2%","0","13","4.0","0.3","0.0%"
"87","Patrick Taylor Jr. (SF)","8","17","2.1","0","10.5%","2","3","66.7%","-4","-2.0","0","23.1%","0","11","3.3","0.3","0.0%"
"88","Jeff Wilson Jr. (MIA)","8","33","4.1","0","9.3%","0","1","0.0%","0","0","0","4.8%","0","10","3.3","0.3","0.6%"
"89","Anthony McFarland Jr. (MIA)","0","0","0","0","0.0%","2","2","100.0%","11","5.5","0","25.0%","0","3","3.1","1.0","0.0%"
"90","Tyler Goodson (IND)","4","10","2.5","0","4.9%","1","1","100.0%","7","7.0","0","8.3%","0","6","2.7","0.5","0.1%"
"91","Chase Brown (CIN)","7","3","0.4","0","11.1%","1","1","100.0%","8","8.0","0","6.7%","0","12","2.1","0.2","74.3%"
"92","Nick Chubb (CLE)","3","20","6.7","0","5.0%","0","0","0%","0","0","0","0.0%","0","2","2.0","1.0","82.9%"
"93","Ty Johnson (BUF)","5","10","2.0","0","7.8%","1","1","100.0%","-1","-1.0","0","10.0%","0","9","1.9","0.2","0.6%"
"94","Leonard Fournette (FA)","4","17","4.3","0","6.3%","0","0","0%","0","0","0","0.0%","0","2","1.7","0.9","2.1%"
"95","Trayveon Williams (CIN)","1","2","2.0","0","1.6%","1","1","100.0%","3","3.0","0","6.7%","0","17","1.5","0.1","0.3%"
"96","Khari Blasingame (CHI)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","0","7.7%","0","16","1.4","0.1","0.1%"
"97","Michael Burton (DEN)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","0","7.1%","0","17","1.4","0.1","0.0%"
"98","Deon Jackson (NYJ)","4","13","3.3","0","4.9%","0","0","0%","0","0","0","0.0%","0","2","1.3","0.7","0.0%"
"99","Ameer Abdullah (LV)","0","0","0","0","0.0%","1","2","50.0%","1","1.0","0","18.2%","0","17","1.1","0.1","0.5%"
"100","Deuce Vaughn (DAL)","5","11","2.2","0","6.3%","0","0","0%","0","0","0","0.0%","0","7","1.1","0.2","0.9%"
"101","D'Ernest Johnson (JAC)","5","10","2.0","0","9.8%","0","0","0%","0","0","0","0.0%","0","17","1.0","0.1","0.4%"
"102","Dalvin Cook (FA)","8","10","1.3","0","22.9%","0","0","0%","0","0","0","0.0%","0","15","1.0","0.1","0.7%"
"103","Keith Smith (FA)","0","0","0","0","0.0%","1","1","100.0%","-1","-1.0","0","7.1%","0","13","0.9","0.1","0.0%"
"104","Keaontay Ingram (KC)","2","7","3.5","0","5.4%","0","0","0%","0","0","0","0.0%","0","7","0.7","0.1","0.1%"
"105","Brandon Bolden (FA)","2","6","3.0","0","4.1%","0","0","0%","0","0","0","0.0%","0","5","0.6","0.1","0.0%"
"106","Trey Sermon (IND)","2","4","2.0","0","2.5%","0","0","0%","0","0","0","0.0%","0","12","0.4","0.0","0.9%"
"107","Emanuel Wilson (GB)","1","3","3.0","0","1.3%","0","0","0%","0","0","0","0.0%","0","7","0.3","0.0","0.1%"
"108","Dare Ogunbowale (HOU)","2","3","1.5","0","3.3%","0","0","0%","0","0","0","0.0%","0","10","0.3","0.0","0.3%"
"109","Keaton Mitchell (BAL)","4","2","0.5","0","5.4%","0","1","0.0%","0","0","0","14.3%","0","7","0.2","0.0","8.3%"
"110","Raheem Blackshear (CAR)","2","2","1.0","0","4.1%","0","0","0%","0","0","0","0.0%","0","11","0.2","0.0","0.1%"
"111","Eric Gray (NYG)","1","2","2.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","14","0.2","0.0","1.7%"
"112","Jashaun Corbin (FA)","1","1","1.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","3","0.1","0.0","0.0%"
"113","Elijah Dotson (LAC)","1","1","1.0","0","2.1%","0","0","0%","0","0","0","0.0%","0","4","0.1","0.0","0.0%"
"114","Corey Clement (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","2","0.0","0.0","0.0%"
"115","Chris Brooks (MIA)","2","0","0.0","0","2.3%","0","0","0%","0","0","0","0.0%","0","4","0.0","0.0","0.1%"
"116","Derrick Gore (FA)","1","0","0.0","0","2.4%","0","0","0%","0","0","0","0.0%","0","5","0.0","0.0","0.0%"
"117","Mike Boone (CAR)","1","0","0.0","0","1.7%","0","0","0%","0","0","0","0.0%","0","9","0.0","0.0","0.0%"
"118","Bryant Koback (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","1","0.0","0.0","0.0%"
"119","Ke'Shawn Vaughn (SF)","1","-2","-2.0","0","2.4%","0","1","0.0%","0","0","0","11.1%","0","5","-0.2","0.0","0.0%"
"120","DeeJay Dallas (ARI)","2","-2","-1.0","0","3.3%","0","0","0%","0","0","0","0.0%","0","17","-0.2","0.0","0.1%"
"121","Chase Edmonds (TB)","4","-4","-1.0","0","9.5%","0","0","0%","0","0","0","0.0%","0","13","-0.4","0.0","0.5%"
"122","Boston Scott (LAR)","1","-7","-7.0","0","1.6%","0","0","0%","0","0","0","0.0%","0","12","-0.7","-0.1","0.1%"
""
""
