"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Christian McCaffrey (SF)","65","205","3.2","13","80.2%","13","17","76.5%","67","5.2","5","70.8%","2","16","144.2","9.0","100.0%"
"2","Raheem Mostert (MIA)","47","163","3.5","16","54.7%","6","6","100.0%","36","6.0","3","28.6%","0","15","139.9","9.3","89.8%"
"3","Kyren Williams (LAR)","55","218","4.0","11","75.3%","5","13","38.5%","22","4.4","3","81.3%","0","12","113.0","9.4","99.8%"
"4","Joe Mixon (HOU)","55","150","2.7","8","87.3%","11","13","84.6%","68","6.2","2","86.7%","0","17","92.8","5.5","98.8%"
"5","Gus Edwards (LAC)","39","101","2.6","13","52.7%","0","0","0%","0","0","0","0.0%","0","17","88.1","5.2","75.4%"
"6","Isiah Pacheco (KC)","42","145","3.5","6","80.8%","8","9","88.9%","46","5.8","2","50.0%","0","14","75.1","5.4","99.8%"
"7","David Montgomery (DET)","51","145","2.8","10","54.3%","1","1","100.0%","-7","-7.0","0","12.5%","0","14","74.8","5.3","93.4%"
"8","Derrick Henry (BAL)","34","88","2.6","9","77.3%","1","2","50.0%","4","4.0","0","25.0%","0","17","72.8","4.3","99.9%"
"9","Jahmyr Gibbs (DET)","36","120","3.3","7","38.3%","4","7","57.1%","26","6.5","1","87.5%","0","15","66.6","4.4","99.8%"
"10","De'Von Achane (MIA)","23","98","4.3","5","26.7%","5","6","83.3%","33","6.6","3","28.6%","0","11","66.1","6.0","99.0%"
"11","James Conner (ARI)","32","93","2.9","6","86.5%","4","5","80.0%","29","7.3","2","83.3%","0","13","64.2","4.9","91.2%"
"12","Kareem Hunt (FA)","35","85","2.4","9","58.3%","1","1","100.0%","3","3.0","0","14.3%","0","15","63.8","4.3","0.7%"
"13","Alvin Kamara (NO)","38","122","3.2","5","71.7%","8","8","100.0%","47","5.9","1","80.0%","0","13","60.9","4.7","97.1%"
"14","Travis Etienne Jr. (JAC)","38","116","3.1","7","74.5%","2","2","100.0%","6","3.0","0","100.0%","0","17","56.2","3.3","99.8%"
"15","Jonathan Taylor (IND)","31","90","2.9","6","38.3%","3","4","75.0%","18","6.0","1","33.3%","0","10","55.8","5.6","99.9%"
"16","Rachaad White (TB)","37","88","2.4","6","88.1%","7","8","87.5%","38","5.4","0","88.9%","0","17","55.6","3.3","98.0%"
"17","D'Andre Swift (CHI)","38","123","3.2","5","60.3%","5","5","100.0%","21","4.2","1","100.0%","0","16","55.4","3.5","92.0%"
"18","Zack Moss (CIN)","40","111","2.8","4","49.4%","4","7","57.1%","37","9.3","2","58.3%","0","14","54.8","3.9","83.9%"
"19","Najee Harris (PIT)","38","96","2.5","7","67.9%","1","1","100.0%","4","4.0","0","12.5%","0","17","53.0","3.1","90.3%"
"20","Tony Pollard (TEN)","57","161","2.8","4","72.2%","10","11","90.9%","29","2.9","0","73.3%","0","17","53.0","3.1","87.2%"
"21","Bijan Robinson (ATL)","22","67","3.0","4","33.8%","6","9","66.7%","39","6.5","2","64.3%","0","17","52.6","3.1","99.9%"
"22","Kenneth Walker III (SEA)","38","76","2.0","7","62.3%","2","3","66.7%","-4","-2.0","0","75.0%","0","15","51.2","3.4","97.0%"
"23","Brian Robinson Jr. (WAS)","25","96","3.8","5","59.5%","4","4","100.0%","-2","-0.5","1","44.4%","0","15","49.4","3.3","86.7%"
"24","Jerome Ford (CLE)","16","24","1.5","3","26.7%","5","6","83.3%","32","6.4","3","85.7%","0","17","46.6","2.7","71.3%"
"25","Saquon Barkley (PHI)","38","59","1.6","4","79.2%","4","5","80.0%","11","2.8","2","100.0%","1","14","45.0","3.2","100.0%"
"26","Josh Jacobs (GB)","37","69","1.9","5","75.5%","5","7","71.4%","22","4.4","0","63.6%","0","13","44.1","3.4","99.0%"
"27","Jerick McKinnon (FA)","3","6","2.0","1","5.8%","5","5","100.0%","40","8.0","4","27.8%","0","12","43.8","3.7","0.6%"
"28","Ezekiel Elliott (DAL)","22","47","2.1","3","52.4%","3","5","60.0%","32","10.7","2","45.5%","0","17","40.9","2.4","80.7%"
"29","Austin Ekeler (WAS)","27","47","1.7","5","56.3%","6","9","66.7%","12","2.0","0","75.0%","1","14","39.9","2.9","84.3%"
"30","James Cook (BUF)","29","86","3.0","1","45.3%","4","6","66.7%","32","8.0","3","60.0%","0","17","39.8","2.3","98.4%"
"31","Breece Hall (NYJ)","22","56","2.5","2","62.9%","5","7","71.4%","42","8.4","2","63.6%","0","17","38.8","2.3","99.9%"
"32","Chuba Hubbard (CAR)","36","86","2.4","5","73.5%","0","1","0.0%","0","0","0","25.0%","0","17","38.6","2.3","41.3%"
"33","D'Onta Foreman (CLE)","17","47","2.8","4","37.0%","2","2","100.0%","14","7.0","1","15.4%","0","9","38.1","4.2","2.8%"
"34","Javonte Williams (DEN)","41","96","2.3","2","69.5%","3","3","100.0%","10","3.3","2","21.4%","0","16","37.6","2.4","84.6%"
"35","Devin Singletary (NYG)","31","87","2.8","3","51.7%","3","4","75.0%","15","5.0","0","44.4%","0","17","35.4","2.1","84.1%"
"36","Justice Hill (BAL)","24","69","2.9","3","32.4%","2","2","100.0%","22","11.0","1","28.6%","0","16","35.1","2.2","2.1%"
"37","Rico Dowdle (DAL)","15","34","2.3","2","19.0%","3","4","75.0%","28","9.3","2","26.7%","0","16","33.2","2.1","31.3%"
"38","Latavius Murray (FA)","20","41","2.1","4","31.3%","3","3","100.0%","10","3.3","0","30.0%","0","16","32.1","2.0","0.0%"
"39","Jaylen Warren (PIT)","18","71","3.9","3","32.1%","5","5","100.0%","16","3.2","0","62.5%","1","17","29.7","1.7","86.6%"
"40","Rhamondre Stevenson (NE)","19","59","3.1","3","45.2%","3","4","75.0%","25","8.3","0","36.4%","0","12","29.4","2.5","92.4%"
"41","Tyler Allgeier (ATL)","35","103","2.9","3","53.8%","1","2","50.0%","0","0.0","0","14.3%","0","17","29.3","1.7","44.6%"
"42","Aaron Jones (MIN)","31","101","3.3","2","40.8%","6","9","66.7%","10","1.7","0","69.2%","0","11","29.1","2.6","94.7%"
"43","Alexander Mattison (LV)","23","21","0.9","0","56.1%","5","11","45.5%","26","5.2","3","68.8%","0","16","27.7","1.7","6.2%"
"44","Ty Chandler (MIN)","11","24","2.2","3","26.8%","3","3","100.0%","22","7.3","0","18.8%","0","16","25.6","1.6","38.1%"
"45","Khalil Herbert (CHI)","14","47","3.4","2","30.4%","2","4","50.0%","7","3.5","1","30.8%","0","12","25.4","2.1","18.3%"
"46","Antonio Gibson (NE)","9","26","2.9","1","21.4%","4","5","80.0%","26","6.5","2","55.6%","1","16","25.2","1.6","32.7%"
"47","Jaleel McLaughlin (DEN)","7","21","3.0","1","11.9%","6","7","85.7%","39","6.5","1","50.0%","0","17","24.0","1.4","23.8%"
"48","Salvon Ahmed (FA)","6","21","3.5","1","7.0%","5","5","100.0%","33","6.6","1","23.8%","0","9","22.4","2.5","0.0%"
"49","AJ Dillon (GB)","36","79","2.2","2","47.4%","1","1","100.0%","1","1.0","0","7.7%","0","15","21.0","1.4","5.4%"
"50","Roschon Johnson (CHI)","10","26","2.6","2","21.7%","3","4","75.0%","15","5.0","0","30.8%","0","15","19.1","1.3","4.1%"
