"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"1","Alvin Kamara (NO)","45","144","3.2","15","62.5%","12","17","70.6%","98","8.2","4","73.9%","0","15","150.2","10.0","97.1%"
"2","Dalvin Cook (FA)","64","257","4.0","13","71.1%","2","2","100.0%","16","8.0","0","33.3%","0","14","107.3","7.7","0.7%"
"3","Derrick Henry (BAL)","59","185","3.1","12","80.8%","1","1","100.0%","5","5.0","0","11.1%","0","16","92.0","5.8","99.9%"
"4","Nick Chubb (CLE)","32","139","4.3","11","42.1%","2","2","100.0%","11","5.5","0","16.7%","0","12","83.0","6.9","82.9%"
"5","Kareem Hunt (FA)","41","113","2.8","6","53.9%","7","9","77.8%","45","6.4","4","75.0%","0","16","82.8","5.2","0.7%"
"6","James Robinson (NO)","31","119","3.8","7","91.2%","6","6","100.0%","49","8.2","3","50.0%","1","14","80.8","5.8","0.0%"
"7","Josh Jacobs (GB)","63","163","2.6","10","74.1%","0","3","0.0%","0","0","0","23.1%","1","15","74.3","5.0","99.0%"
"8","Mike Davis (FA)","41","99","2.4","6","64.1%","8","11","72.7%","29","3.6","2","64.7%","0","15","68.8","4.6","1.0%"
"9","Antonio Gibson (NE)","28","98","3.5","9","48.3%","2","3","66.7%","12","6.0","0","21.4%","0","14","67.0","4.8","32.7%"
"10","Kenyan Drake (FA)","55","117","2.1","9","78.6%","1","2","50.0%","3","3.0","0","15.4%","0","15","67.0","4.5","0.0%"
"11","D'Andre Swift (CHI)","18","41","2.3","7","26.1%","6","9","66.7%","39","6.5","2","69.2%","1","13","66.0","5.1","92.0%"
"12","Aaron Jones (MIN)","36","100","2.8","6","55.4%","5","10","50.0%","21","4.2","2","66.7%","0","14","65.1","4.7","94.7%"
"13","David Montgomery (DET)","42","126","3.0","6","79.2%","5","10","50.0%","30","6.0","1","55.6%","0","15","62.6","4.2","93.4%"
"14","Jonathan Taylor (IND)","40","89","2.2","8","53.3%","4","6","66.7%","10","2.5","0","33.3%","0","15","61.9","4.1","99.9%"
"15","Ezekiel Elliott (DAL)","42","96","2.3","5","75.0%","6","7","85.7%","37","6.2","2","50.0%","0","15","61.3","4.1","80.7%"
"16","David Johnson (FA)","18","60","3.3","5","66.7%","8","11","72.7%","42","5.3","2","52.4%","0","12","60.2","5.0","0.0%"
"17","Chris Carson (FA)","19","75","3.9","4","40.4%","5","6","83.3%","52","10.4","3","60.0%","0","12","59.7","5.0","0.3%"
"18","Melvin Gordon III (FA)","25","95","3.8","7","73.5%","1","3","33.3%","16","16.0","1","37.5%","1","15","58.1","3.9","0.0%"
"19","Todd Gurley II (FA)","48","92","1.9","8","77.4%","0","0","0%","0","0","0","0.0%","0","15","57.2","3.8","0.1%"
"20","Giovani Bernard (FA)","19","57","3.0","3","35.8%","9","11","81.8%","58","6.4","3","55.0%","0","16","56.5","3.5","0.0%"
"21","Jeff Wilson Jr. (MIA)","22","78","3.5","6","34.9%","2","3","66.7%","35","17.5","1","15.0%","0","12","55.3","4.6","0.6%"
"22","Jerick McKinnon (FA)","17","71","4.2","5","27.0%","6","6","100.0%","38","6.3","1","30.0%","0","16","52.9","3.3","0.6%"
"23","Nyheim Hines (CLE)","27","79","2.9","3","36.0%","8","10","80.0%","53","6.6","2","55.6%","0","16","51.2","3.2","0.8%"
"24","J.K. Dobbins (LAC)","26","89","3.4","7","39.4%","0","1","0.0%","0","0","0","10.0%","0","15","50.9","3.4","54.8%"
"25","James Conner (ARI)","27","68","2.5","6","52.9%","3","5","60.0%","17","5.7","0","62.5%","0","13","47.5","3.7","91.2%"
"26","Kyle Juszczyk (SF)","5","17","3.4","2","7.9%","6","9","66.7%","35","5.8","4","45.0%","0","16","47.2","3.0","0.7%"
"27","Chase Edmonds (TB)","15","46","3.1","0","21.4%","10","11","90.9%","78","7.8","4","84.6%","0","16","46.4","2.9","0.5%"
"28","Leonard Fournette (FA)","20","42","2.1","5","37.7%","7","8","87.5%","39","5.6","0","44.4%","0","13","45.1","3.5","2.1%"
"29","Adrian Peterson (FA)","34","83","2.4","6","49.3%","0","1","0.0%","0","0","0","7.7%","0","16","44.3","2.8","2.4%"
"30","Wayne Gallman Jr. (FA)","19","40","2.1","6","48.7%","4","5","80.0%","1","0.3","0","29.4%","0","15","44.1","2.9","0.0%"
"31","Darrell Henderson Jr. (FA)","32","88","2.8","4","41.6%","3","4","75.0%","20","6.7","1","44.4%","0","15","43.8","2.9","5.0%"
"32","Christian McCaffrey (SF)","14","52","3.7","5","21.9%","1","1","100.0%","9","9.0","1","5.9%","0","3","43.1","14.4","100.0%"
"33","Gus Edwards (LAC)","25","75","3.0","6","37.9%","1","1","100.0%","2","2.0","0","10.0%","1","16","42.7","2.7","75.4%"
"34","Rex Burkhead (FA)","13","45","3.5","3","25.0%","3","6","50.0%","30","10.0","2","40.0%","0","10","40.5","4.1","10.0%"
"35","Ronald Jones II (FA)","30","83","2.8","5","56.6%","1","4","25.0%","9","9.0","0","22.2%","0","14","40.2","2.9","0.0%"
"36","Myles Gaskin (MIN)","34","99","2.9","2","47.2%","6","7","85.7%","46","7.7","1","70.0%","0","10","38.5","3.9","0.1%"
"37","Zack Moss (CIN)","28","68","2.4","4","54.9%","1","2","50.0%","4","4.0","1","20.0%","0","13","38.2","2.9","83.9%"
