"Rank","Player","ATT","YDS","Y/A","TD","PCT","REC","TGT","REC PCT","YDS","Y/R","TD","TGT PCT","FL","G","FPTS","FPTS/G","ROST %"
"38","Clyde Edwards-Helaire (KC)","29","89","3.1","3","87.9%","3","6","50.0%","20","6.7","1","66.7%","0","13","37.9","2.9","5.5%"
"39","Malcolm Brown (FA)","19","55","2.9","5","24.7%","2","4","50.0%","1","0.5","0","44.4%","0","16","37.6","2.4","0.0%"
"40","Latavius Murray (FA)","25","91","3.6","3","34.7%","4","5","80.0%","33","8.3","0","21.7%","0","15","34.4","2.3","0.0%"
"41","Miles Sanders (CAR)","25","94","3.8","4","52.1%","1","1","100.0%","11","11.0","0","16.7%","1","12","33.5","2.8","5.3%"
"42","Tony Pollard (TEN)","13","32","2.5","2","23.2%","5","7","71.4%","34","6.8","1","50.0%","0","16","29.6","1.9","87.2%"
"43","Jamaal Williams (NO)","22","67","3.0","2","33.8%","3","3","100.0%","8","2.7","1","20.0%","0","14","28.5","2.0","2.8%"
"44","Benny Snell Jr. (FA)","21","20","1.0","4","41.2%","1","3","33.3%","13","13.0","0","37.5%","0","16","28.3","1.8","0.0%"
"45","Austin Ekeler (WAS)","15","66","4.4","1","25.4%","6","7","85.7%","35","5.8","1","35.0%","0","10","28.1","2.8","84.3%"
"46","Peyton Barber (FA)","16","28","1.8","4","27.6%","0","0","0%","0","0","0","0.0%","0","16","26.8","1.7","1.0%"
"47","Cam Akers (HOU)","26","74","2.8","2","33.8%","1","1","100.0%","4","4.0","1","11.1%","0","12","26.8","2.2","0.8%"
"48","Dion Lewis (FA)","6","25","4.2","2","15.4%","4","5","80.0%","12","3.0","1","29.4%","0","16","25.7","1.6","2.0%"
"49","Jordan Howard (FA)","11","11","1.0","4","22.9%","0","0","0%","0","0","0","0.0%","0","7","25.1","3.6","0.0%"
"50","DeeJay Dallas (ARI)","12","20","1.7","2","25.5%","3","3","100.0%","9","3.0","1","30.0%","0","12","23.9","2.0","0.1%"
"51","J.D. McKissic (FA)","14","29","2.1","1","24.1%","5","11","45.5%","32","6.4","1","78.6%","0","16","23.1","1.4","0.0%"
"52","Kerryon Johnson (FA)","9","26","2.9","2","13.0%","1","2","50.0%","9","9.0","1","15.4%","0","16","22.5","1.4","0.0%"
"53","Samaje Perine (DEN)","15","32","2.1","2","28.3%","5","5","100.0%","21","4.2","0","25.0%","0","16","22.3","1.4","0.9%"
"54","Kalen Ballage (FA)","19","51","2.7","2","32.2%","2","5","40.0%","12","6.0","0","25.0%","0","11","20.3","1.8","0.0%"
"55","Le'Veon Bell (FA)","13","54","4.2","2","26.5%","3","5","60.0%","-2","-0.7","0","62.5%","0","11","20.2","1.8","0.2%"
"56","Frank Gore (FA)","26","63","2.4","2","53.1%","1","2","50.0%","6","6.0","0","25.0%","0","15","19.9","1.3","12.1%"
"57","Salvon Ahmed (FA)","20","60","3.0","2","27.8%","1","1","100.0%","5","5.0","0","10.0%","0","6","19.5","3.3","0.0%"
"58","Devin Singletary (NYG)","22","56","2.5","1","43.1%","5","7","71.4%","22","4.4","0","70.0%","0","16","18.8","1.2","84.1%"
"59","Joe Mixon (HOU)","18","35","1.9","1","34.0%","2","3","66.7%","9","4.5","1","15.0%","0","6","18.4","3.1","98.8%"
"60","James White (FA)","4","16","4.0","2","7.7%","4","5","80.0%","6","1.5","0","33.3%","0","14","18.2","1.3","0.1%"
"61","Joshua Kelley (NYG)","22","38","1.7","2","37.3%","2","2","100.0%","1","0.5","0","10.0%","0","14","17.9","1.3","0.1%"
"62","Ty Johnson (BUF)","8","18","2.3","1","11.6%","1","1","100.0%","18","18.0","1","7.7%","0","13","16.6","1.3","0.6%"
"63","Carlos Hyde (FA)","12","41","3.4","2","25.5%","0","0","0%","0","0","0","0.0%","0","10","16.1","1.6","0.0%"
"64","Alfred Morris (FA)","4","21","5.3","1","10.3%","1","1","100.0%","6","6.0","1","5.9%","0","9","15.7","1.7","0.0%"
"65","La'Mical Perine (PIT)","7","18","2.6","2","14.3%","1","1","100.0%","7","7.0","0","12.5%","0","10","15.5","1.6","0.1%"
"66","Ito Smith (FA)","7","22","3.1","1","11.3%","6","7","85.7%","6","1.0","0","77.8%","0","14","14.8","1.1","0.0%"
"67","Gabe Nabers (FA)","0","0","0","0","0.0%","2","3","66.7%","6","3.0","2","15.0%","0","16","14.6","0.9","0.1%"
"68","Devontae Booker (FA)","17","43","2.5","1","20.0%","3","3","100.0%","6","2.0","0","23.1%","0","16","13.9","0.9","0.0%"
"69","Duke Johnson Jr. (FA)","5","7","1.4","1","18.5%","7","8","87.5%","2","0.3","0","38.1%","0","11","13.9","1.3","0.0%"
"70","Jeremy McNichols (WAS)","8","17","2.1","1","11.0%","4","6","66.7%","22","5.5","0","66.7%","0","16","13.9","0.9","0.0%"
"71","Boston Scott (LAR)","8","20","2.5","0","16.7%","3","5","60.0%","25","8.3","1","83.3%","0","16","13.5","0.8","0.1%"
"72","Damien Harris (FA)","21","72","3.4","1","40.4%","0","1","0.0%","0","0","0","6.7%","0","10","13.2","1.3","4.6%"
"73","Cordarrelle Patterson (PIT)","7","20","2.9","1","13.2%","3","3","100.0%","21","7.0","0","16.7%","0","16","13.1","0.8","0.9%"
"74","Jalen Richard (FA)","3","24","8.0","1","3.5%","3","4","75.0%","13","4.3","0","30.8%","0","13","12.7","1.0","1.0%"
"75","Alexander Mattison (LV)","19","62","3.3","1","21.1%","0","0","0%","0","0","0","0.0%","0","13","12.2","0.9","6.2%"
"76","Chris Thompson (FA)","1","3","3.0","0","2.9%","3","4","75.0%","25","8.3","1","33.3%","0","8","11.8","1.5","0.0%"
"77","Mark Ingram II (FA)","12","40","3.3","1","18.2%","1","2","50.0%","4","4.0","0","20.0%","0","11","11.4","1.0","0.1%"
"78","Devonta Freeman (FA)","6","11","1.8","1","15.4%","3","3","100.0%","3","1.0","0","17.6%","0","5","10.4","2.1","0.0%"
"79","C.J. Ham (MIN)","4","18","4.5","0","4.4%","1","2","50.0%","12","12.0","1","33.3%","0","15","10.0","0.7","0.1%"
"80","Darrel Williams (FA)","4","17","4.3","1","12.1%","1","2","50.0%","9","9.0","0","22.2%","0","16","9.6","0.6","0.0%"
"81","Sony Michel (FA)","10","34","3.4","1","19.2%","0","0","0%","0","0","0","0.0%","0","9","9.4","1.0","0.0%"
"82","Raheem Mostert (MIA)","11","32","2.9","1","17.5%","0","0","0%","0","0","0","0.0%","0","8","9.2","1.2","89.8%"
"83","Ke'Shawn Vaughn (SF)","3","12","4.0","0","5.7%","1","2","50.0%","9","9.0","1","11.1%","0","10","9.1","0.9","0.0%"
"84","AJ Dillon (GB)","4","16","4.0","1","6.2%","1","1","100.0%","5","5.0","0","6.7%","0","11","9.1","0.8","5.4%"
"85","Jordan Wilkins (FA)","8","15","1.9","1","10.7%","1","2","50.0%","4","4.0","0","11.1%","0","15","8.9","0.6","0.0%"
"86","Patrick Ricard (BAL)","1","-1","-1.0","0","1.5%","4","4","100.0%","10","2.5","1","40.0%","1","15","8.9","0.6","0.1%"
"87","Darrynton Evans (BUF)","5","15","3.0","0","6.8%","1","1","100.0%","3","3.0","1","11.1%","0","5","8.8","1.8","0.1%"
"88","Ryan Nall (FA)","0","0","0","0","0.0%","2","2","100.0%","8","4.0","1","11.1%","0","15","8.8","0.6","0.0%"
"89","Alec Ingold (MIA)","1","2","2.0","0","1.2%","2","3","66.7%","3","1.5","1","23.1%","0","16","8.5","0.5","0.1%"
"90","Jakob Johnson (NYG)","0","0","0","0","0.0%","2","2","100.0%","1","0.5","1","13.3%","0","16","8.1","0.5","0.0%"
"91","D'Onta Foreman (CLE)","1","3","3.0","0","1.4%","1","1","100.0%","5","5.0","1","11.1%","0","6","7.8","1.3","2.8%"
"92","Reggie Bonnafon (FA)","1","3","3.0","0","1.6%","1","1","100.0%","3","3.0","1","5.9%","0","2","7.6","3.8","0.0%"
"93","Corey Clement (FA)","4","15","3.8","1","8.3%","0","0","0%","0","0","0","0.0%","0","15","7.5","0.5","0.0%"
"94","Anthony Sherman (FA)","0","0","0","0","0.0%","1","1","100.0%","5","5.0","1","11.1%","0","12","7.5","0.6","0.0%"
"95","Travis Homer (CHI)","2","1","0.5","0","4.3%","1","1","100.0%","3","3.0","1","10.0%","0","9","7.4","0.8","0.1%"
"96","C.J. Prosise (FA)","3","1","0.3","0","11.1%","1","1","100.0%","2","2.0","1","4.8%","0","10","7.3","0.7","0.0%"
"97","Reggie Gilliam (BUF)","0","0","0","0","0.0%","1","1","100.0%","1","1.0","1","10.0%","0","14","7.1","0.5","0.0%"
"98","Alex Collins (FA)","2","10","5.0","1","4.3%","0","0","0%","0","0","0","0.0%","0","3","7.0","2.3","19.0%"
"99","Artavis Pierce (FA)","1","3","3.0","1","1.9%","0","0","0%","0","0","0","0.0%","0","5","6.3","1.3","0.0%"
"100","JaMycal Hasty (NE)","5","3","0.6","1","7.9%","0","0","0%","0","0","0","0.0%","0","8","6.3","0.8","0.1%"
"101","Mike Boone (CAR)","2","3","1.5","1","2.2%","0","0","0%","0","0","0","0.0%","0","16","6.3","0.4","0.0%"
"102","Josh Adams (FA)","3","2","0.7","1","6.1%","0","0","0%","0","0","0","0.0%","0","8","6.2","0.8","0.0%"
"103","Royce Freeman (DAL)","2","3","1.5","0","5.9%","4","4","100.0%","18","4.5","0","50.0%","0","16","6.1","0.4","0.4%"
"104","LeSean McCoy (FA)","0","0","0","0","0.0%","3","4","75.0%","14","4.7","0","22.2%","0","10","4.4","0.4","2.0%"
"105","Matt Breida (SF)","8","43","5.4","0","11.1%","0","0","0%","0","0","0","0.0%","0","12","4.3","0.4","0.1%"
"106","Alex Armah Jr. (FA)","2","3","1.5","0","3.1%","2","3","66.7%","14","7.0","0","17.6%","0","16","3.7","0.2","0.0%"
"107","Phillip Lindsay (FA)","7","15","2.1","0","20.6%","1","1","100.0%","11","11.0","0","12.5%","0","11","3.6","0.3","0.0%"
"108","Justice Hill (BAL)","2","6","3.0","0","3.0%","2","2","100.0%","7","3.5","0","20.0%","0","12","3.3","0.3","2.1%"
"109","Tyler Ervin (FA)","3","18","6.0","0","4.6%","1","1","100.0%","3","3.0","0","6.7%","0","8","3.1","0.4","0.0%"
"110","Troymaine Pope (FA)","1","0","0.0","0","1.7%","2","2","100.0%","10","5.0","0","10.0%","0","6","3.0","0.5","0.0%"
"111","Brian Hill (FA)","6","16","2.7","0","9.7%","1","1","100.0%","4","4.0","0","11.1%","0","16","3.0","0.2","0.0%"
"112","Tevin Coleman (FA)","3","0","0.0","0","4.8%","2","2","100.0%","10","5.0","0","10.0%","0","8","3.0","0.4","0.0%"
"113","DeAndre Washington (FA)","9","17","1.9","0","12.5%","1","1","100.0%","2","2.0","0","10.0%","0","4","2.9","0.7","11.0%"
"114","Saquon Barkley (PHI)","3","10","3.3","0","7.7%","1","2","50.0%","7","7.0","0","11.8%","0","2","2.7","1.4","100.0%"
"115","Rodney Smith (FA)","6","24","4.0","0","9.4%","0","1","0.0%","0","0","0","5.9%","0","7","2.4","0.3","0.0%"
"116","Ameer Abdullah (LV)","1","4","4.0","0","1.1%","1","2","50.0%","6","6.0","0","33.3%","0","16","2.0","0.1","0.5%"
"117","Tarik Cohen (FA)","3","5","1.7","0","5.7%","2","2","100.0%","-5","-2.5","0","11.1%","0","3","2.0","0.7","0.0%"
"118","Patrick Laird (FA)","1","5","5.0","0","1.4%","1","1","100.0%","4","4.0","0","10.0%","0","16","1.9","0.1","0.0%"
"119","Justin Jackson (FA)","2","6","3.0","0","3.4%","1","1","100.0%","3","3.0","0","5.0%","0","9","1.9","0.2","0.0%"
"120","Keith Smith (FA)","1","3","3.0","0","1.6%","1","1","100.0%","4","4.0","0","11.1%","0","16","1.7","0.1","0.0%"
"121","Scottie Phillips (FA)","0","0","0","0","0.0%","1","1","100.0%","7","7.0","0","4.8%","0","8","1.7","0.2","0.0%"
"122","D'Ernest Johnson (JAC)","0","0","0","0","0.0%","1","1","100.0%","5","5.0","0","8.3%","0","16","1.5","0.1","0.4%"
"123","Michael Burton (DEN)","1","1","1.0","0","1.4%","1","1","100.0%","4","4.0","0","4.3%","0","15","1.5","0.1","0.0%"
"124","Devine Ozigbo (FA)","0","0","0","0","0.0%","1","1","100.0%","4","4.0","0","8.3%","0","8","1.4","0.2","0.0%"
"125","Dontrell Hilliard (FA)","2","13","6.5","0","2.6%","0","0","0%","0","0","0","0.0%","0","7","1.3","0.2","0.0%"
"126","J.J. Taylor (HOU)","4","13","3.3","0","7.7%","0","1","0.0%","0","0","0","6.7%","0","6","1.3","0.2","0.1%"
"127","Jaylen Samuels (FA)","3","8","2.7","0","5.9%","0","0","0%","0","0","0","0.0%","0","14","0.8","0.1","0.0%"
"128","Dare Ogunbowale (HOU)","2","3","1.5","0","5.9%","0","1","0.0%","0","0","0","8.3%","0","14","0.3","0.0","0.3%"
"129","Buddy Howell (FA)","1","2","2.0","0","3.7%","0","0","0%","0","0","0","0.0%","0","14","0.2","0.0","0.0%"
"130","Theo Riddick (FA)","1","2","2.0","0","1.2%","0","0","0%","0","0","0","0.0%","0","5","0.2","0.0","0.0%"
"131","Rico Dowdle (DAL)","1","2","2.0","0","1.8%","0","0","0%","0","0","0","0.0%","0","15","0.2","0.0","31.3%"
"132","Andy Janovich (FA)","1","2","2.0","0","1.3%","0","0","0%","0","0","0","0.0%","0","14","0.2","0.0","0.0%"
"133","T.J. Yeldon (FA)","1","1","1.0","0","2.0%","0","0","0%","0","0","0","0.0%","0","3","0.1","0.0","0.0%"
"134","Trenton Cannon (FA)","0","0","0","0","0.0%","0","0","0%","0","0","0","0.0%","0","14","0.0","0.0","0.0%"
"135","Elijhaa Penny (FA)","1","0","0.0","0","2.6%","0","1","0.0%","0","0","0","5.9%","0","14","0.0","0.0","0.0%"
"136","Ty Montgomery II (FA)","1","-4","-4.0","0","1.4%","0","0","0%","0","0","0","0.0%","0","6","-0.4","-0.1","0.0%"
"137","Trayveon Williams (CIN)","1","-2","-2.0","0","1.9%","0","0","0%","0","0","0","0.0%","1","10","-2.2","-0.2","0.3%"
""
""
