"name","position","team","season","carries","rushing_yards","rushing_tds","rushing_fumbles","rushing_fumbles_lost","rushing_first_downs","rushing_2pt_conversions","receptions","targets","receiving_yards","receiving_tds","receiving_fumbles","receiving_fumbles_lost","receiving_air_yards","receiving_yards_after_catch","receiving_first_downs","receiving_2pt_conversions","target_share","air_yards_share","fantasy_points_ppr","total_yards","games","offense_snaps","teams_offense_snaps","ypa","ypc","ypr","touches","rush_td_percentage","rec_td_percentage","total_tds","td_percentage","offense_pct","rush_ypg","rec_ypg","ppr_ppg","yps","ypg","years_played","ppr_fp_ps"
Amon-Ra St. Brown,WR,DET,2023,4,24.0,0,0.0,0.0,2.0,0,119,164,1515.0,10,1.0,1.0,1271.0,668.0,75.0,0,0.3,0.33,330.9,1539.0,16,1010.0,1126.0,0.0,6.0,12.73,123,0.0,0.08,10,0.08,0.9,1.5,94.69,20.68,"1.52",96.19,3,"0.33"
Andre Baccellia,WR,ARI,2022,0,0.0,0,0.0,0.0,0.0,0,7,10,45.0,0,0.0,0.0,91.0,11.0,4.0,0,0.05,0.06,11.5,45.0,5,92.0,349.0,0.0,0.0,6.43,7,0.0,0.0,0,0.0,0.26,0.0,9.0,2.3,"0.49",9.0,3,"0.12"
Andre Brown,RB,NYG,2013,139,492.0,3,3.0,3.0,31.0,1,20,29,103.0,0,0.0,0.0,12.0,117.0,3.0,0,0.12,0.0,93.5,595.0,8,361.0,500.0,0.0,3.54,5.15,159,0.02,0.0,3,0.02,0.72,61.5,12.88,11.69,"1.65",74.38,5,"0.26"
Andre Caldwell,WR,DEN,2013,1,7.0,0,0.0,0.0,0.0,0,16,29,200.0,3,0.0,0.0,416.0,41.0,11.0,0,0.06,0.11,54.7,207.0,12,233.0,895.0,0.0,7.0,12.5,17,0.0,0.19,3,0.18,0.26,0.58,16.67,4.56,"0.89",17.25,6,"0.23"
Andre Caldwell,WR,DEN,2014,0,0.0,0,0.0,0.0,0.0,0,5,15,47.0,0,0.0,0.0,155.0,18.0,4.0,0,0.05,0.06,9.7,47.0,8,145.0,601.0,0.0,0.0,9.4,5,0.0,0.0,0,0.0,0.24,0.0,5.88,1.21,"0.32",5.88,7,"0.07"
Andre Caldwell,WR,DEN,2015,1,3.0,0,0.0,0.0,1.0,0,10,22,72.0,2,0.0,0.0,217.0,16.0,4.0,0,0.05,0.05,29.5,75.0,12,227.0,833.0,0.0,3.0,7.2,11,0.0,0.2,2,0.18,0.27,0.25,6.0,2.46,"0.33",6.25,8,"0.13"
Andre Ellington,RB,ARI,2016,34,96.0,0,0.0,0.0,4.0,0,12,19,85.0,0,0.0,0.0,56.0,72.0,4.0,0,0.03,0.01,30.1,181.0,13,144.0,945.0,0.0,2.82,7.08,46,0.0,0.0,0,0.0,0.15,7.38,6.54,2.32,"1.26",13.92,4,"0.21"
Andre Ellington,RB,HOU,2017,5,2.0,0,0.0,0.0,0.0,0,6,9,72.0,0,0.0,0.0,88.0,30.0,3.0,0,0.07,0.09,13.4,74.0,3,64.0,199.0,0.0,0.4,12.0,11,0.0,0.0,0,0.0,0.32,0.67,24.0,4.47,"1.16",24.67,5,"0.21"
Andre Holmes,WR,BUF,2017,0,0.0,0,0.0,0.0,0.0,0,13,23,120.0,3,0.0,0.0,308.0,11.0,10.0,0,0.08,0.11,43.0,120.0,10,288.0,674.0,0.0,0.0,9.23,13,0.0,0.23,3,0.23,0.43,0.0,12.0,4.3,"0.42",12.0,7,"0.15"
Andre Holmes,WR,DEN,2018,0,0.0,0,0.0,0.0,0.0,0,1,1,5.0,0,0.0,0.0,-3.0,8.0,1.0,0,0.02,-0.01,1.5,5.0,1,8.0,73.0,0.0,0.0,5.0,1,0.0,0.0,0,0.0,0.11,0.0,5.0,1.5,"0.62",5.0,8,"0.19"
Andre Johnson,WR,IND,2015,0,0.0,0,0.0,0.0,0.0,0,41,77,503.0,4,0.0,0.0,792.0,147.0,31.0,0,0.13,0.15,115.3,503.0,16,707.0,1103.0,0.0,0.0,12.27,41,0.0,0.1,4,0.1,0.64,0.0,31.44,7.21,"0.71",31.44,13,"0.16"
Andre Johnson,WR,TEN,2016,0,0.0,0,0.0,0.0,0.0,0,9,23,85.0,2,0.0,0.0,268.0,15.0,4.0,0,0.12,0.15,29.5,85.0,6,172.0,421.0,0.0,0.0,9.44,9,0.0,0.22,2,0.22,0.41,0.0,14.17,4.92,"0.49",14.17,14,"0.17"
Andre Patton,WR,LAC,2019,0,0.0,0,0.0,0.0,0.0,0,6,17,56.0,0,0.0,0.0,272.0,28.0,4.0,0,0.07,0.12,11.6,56.0,7,342.0,488.0,0.0,0.0,9.33,6,0.0,0.0,0,0.0,0.7,0.0,8.0,1.66,"0.16",8.0,3,"0.03"
Andre Roberts,WR,WAS,2014,2,21.0,0,0.0,0.0,1.0,0,36,73,453.0,2,1.0,1.0,733.0,207.0,28.0,0,0.14,0.18,93.4,474.0,16,696.0,1061.0,0.0,10.5,12.58,38,0.0,0.06,2,0.05,0.66,1.31,28.31,5.84,"0.68",29.62,5,"0.13"
Andre Roberts,WR,WAS,2015,0,0.0,0,0.0,0.0,0.0,0,11,21,135.0,0,0.0,0.0,246.0,38.0,5.0,0,0.07,0.1,30.5,135.0,8,248.0,529.0,0.0,0.0,12.27,11,0.0,0.0,0,0.0,0.47,0.0,16.88,3.81,"0.54",16.88,6,"0.12"
Andre Roberts,WR,DET,2016,0,0.0,0,0.0,0.0,0.0,0,14,25,188.0,1,0.0,0.0,359.0,63.0,9.0,0,0.05,0.1,50.8,188.0,13,227.0,836.0,0.0,0.0,13.43,14,0.0,0.07,1,0.07,0.27,0.0,14.46,3.91,"0.83",14.46,7,"0.22"
Andre Roberts,WR,ATL,2017,0,0.0,0,0.0,0.0,0.0,0,1,4,12.0,0,0.0,0.0,20.0,7.0,1.0,0,0.03,0.02,2.2,12.0,4,11.0,283.0,0.0,0.0,12.0,1,0.0,0.0,0,0.0,0.04,0.0,3.0,0.55,"1.09",3.0,8,"0.2"
Andre Roberts,WR,NYJ,2018,2,20.0,0,0.0,0.0,1.0,0,10,18,79.0,1,0.0,0.0,153.0,17.0,4.0,0,0.07,0.05,37.9,99.0,8,178.0,511.0,0.0,10.0,7.9,12,0.0,0.1,1,0.08,0.35,2.5,9.88,4.74,"0.56",12.38,9,"0.21"
Andre Roberts,WR,BUF,2019,1,7.0,0,0.0,0.0,0.0,0,3,7,20.0,0,0.0,0.0,109.0,5.0,1.0,0,0.04,0.07,5.7,27.0,5,57.0,333.0,0.0,7.0,6.67,4,0.0,0.0,0,0.0,0.17,1.4,4.0,1.14,"0.47",5.4,10,"0.1"
Andre Roberts,WR,BUF,2020,1,-3.0,0,0.0,0.0,0.0,0,4,5,34.0,0,0.0,0.0,48.0,5.0,2.0,0,0.04,0.05,7.1,31.0,3,41.0,207.0,0.0,-3.0,8.5,5,0.0,0.0,0,0.0,0.2,-1.0,11.33,2.37,"0.76",10.33,11,"0.17"
Andre Roberts,WR,LAC,2021,3,19.0,0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.9,19.0,4,4.0,267.0,0.0,6.33,0.0,3,0.0,0.0,0,0.0,0.01,4.75,0.0,1.98,"4.75",4.75,12,"1.98"
Andre Williams,RB,NYG,2014,217,721.0,7,1.0,0.0,30.0,0,18,37,130.0,0,0.0,0.0,-22.0,147.0,6.0,0,0.06,-0.01,145.1,851.0,16,519.0,1136.0,0.0,3.32,7.22,235,0.03,0.0,7,0.03,0.46,45.06,8.12,9.07,"1.64",53.19,1,"0.28"
